 
TRANSIENT_NAME:     DES15S2eak 
SNID:               1306029    
OBS_DATE:           2015-09-18
MJD:                57283. 
PHASE:              +3.    
MJD_MAX:            57278.9
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4300  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3200.00  -4.2547e-18   3.1754e-18
 3205.00   8.7237e-19   2.9836e-18
 3210.00   1.1577e-18   2.8471e-18
 3215.00  -9.0811e-19   2.5858e-18
 3220.00   2.3780e-18   2.4446e-18
 3225.00  -1.2085e-18   2.2822e-18
 3230.00   2.5034e-18   2.1400e-18
 3235.00   3.6656e-18   2.0102e-18
 3240.00   6.4107e-19   1.9378e-18
 3245.00   2.9399e-19   1.8789e-18
 3250.00  -2.7102e-18   1.8805e-18
 3255.00   3.2534e-20   1.8520e-18
 3260.00  -2.5982e-18   1.8719e-18
 3265.00  -1.5649e-18   1.8607e-18
 3270.00  -2.8685e-18   1.8874e-18
 3275.00  -9.5575e-19   1.9244e-18
 3280.00  -2.4513e-18   1.9501e-18
 3285.00  -1.3559e-18   2.0459e-18
 3290.00   1.3414e-18   2.0780e-18
 3295.00  -3.7477e-18   2.2067e-18
 3300.00   3.4909e-18   2.2418e-18
 3305.00   1.1741e-18   2.2860e-18
 3310.00  -8.7191e-19   2.2965e-18
 3315.00  -4.8093e-18   2.2992e-18
 3320.00  -1.5113e-18   2.2600e-18
 3325.00  -2.8071e-18   2.1686e-18
 3330.00   1.2318e-18   2.0721e-18
 3335.00   7.4480e-19   1.9564e-18
 3340.00  -5.5879e-18   1.8280e-18
 3345.00   1.4776e-18   1.6985e-18
 3350.00   1.7988e-18   1.6202e-18
 3355.00  -2.7978e-18   1.5279e-18
 3360.00  -1.6758e-18   1.4619e-18
 3365.00  -2.0576e-18   1.3958e-18
 3370.00  -3.1306e-19   1.4969e-18
 3375.00  -1.2166e-19   1.3581e-18
 3380.00   1.1425e-18   1.2920e-18
 3385.00   6.9066e-19   1.2209e-18
 3390.00  -1.3922e-18   1.1931e-18
 3395.00  -9.4836e-19   1.1716e-18
 3400.00   1.2025e-18   1.1664e-18
 3405.00  -2.3106e-18   1.1507e-18
 3410.00  -1.4732e-18   1.1325e-18
 3415.00  -2.6733e-19   1.1642e-18
 3420.00  -4.5986e-19   1.1959e-18
 3425.00   9.8755e-19   1.2340e-18
 3430.00  -3.0770e-19   1.2650e-18
 3435.00   1.2125e-18   1.3410e-18
 3440.00  -2.2466e-18   1.3678e-18
 3445.00  -3.1019e-19   1.3934e-18
 3450.00  -3.6272e-18   1.4684e-18
 3455.00  -1.2495e-18   1.5303e-18
 3460.00  -8.5934e-19   1.5425e-18
 3465.00   9.8775e-20   1.5380e-18
 3470.00  -1.2865e-18   1.5403e-18
 3475.00   1.6173e-20   1.4929e-18
 3480.00   9.0090e-19   1.4954e-18
 3485.00  -1.3747e-18   1.4332e-18
 3490.00   2.0122e-18   1.3634e-18
 3495.00  -1.6364e-18   1.2611e-18
 3500.00  -8.2951e-19   1.1943e-18
 3505.00   3.2313e-19   1.1322e-18
 3510.00  -9.2588e-19   1.0979e-18
 3515.00  -1.0495e-18   1.0190e-18
 3520.00  -1.6071e-18   9.4730e-19
 3525.00  -1.5444e-20   9.2860e-19
 3530.00   1.3701e-19   8.8986e-19
 3535.00  -8.2420e-19   8.4243e-19
 3540.00   2.2205e-19   8.6895e-19
 3545.00  -1.2695e-18   8.9735e-19
 3550.00   1.2747e-18   8.5035e-19
 3555.00  -3.5354e-19   8.3936e-19
 3560.00   9.1249e-19   7.8979e-19
 3565.00   4.8367e-19   7.3503e-19
 3570.00  -1.2049e-18   6.9205e-19
 3575.00  -1.2251e-18   6.8677e-19
 3580.00  -6.7218e-19   6.6989e-19
 3585.00  -1.2955e-18   6.8530e-19
 3590.00  -7.6917e-20   7.1551e-19
 3595.00  -6.0953e-19   7.7274e-19
 3600.00   3.8496e-19   8.3597e-19
 3605.00  -2.6152e-18   8.6198e-19
 3610.00  -4.4139e-19   9.0097e-19
 3615.00  -4.2065e-19   9.5399e-19
 3620.00  -8.7137e-20   1.0052e-18
 3625.00   1.1450e-18   1.0171e-18
 3630.00   2.5095e-20   1.0540e-18
 3635.00   4.9023e-19   1.0814e-18
 3640.00  -2.7576e-18   1.0672e-18
 3645.00   1.9689e-19   1.0311e-18
 3650.00   7.3947e-20   9.9090e-19
 3655.00   6.0695e-19   9.3924e-19
 3660.00  -2.0670e-19   8.9463e-19
 3665.00  -6.0699e-19   8.2912e-19
 3670.00  -6.6602e-19   7.6767e-19
 3675.00  -4.4520e-19   7.2869e-19
 3680.00  -1.3117e-18   6.8199e-19
 3685.00   2.6313e-19   6.4827e-19
 3690.00  -5.0362e-19   6.0875e-19
 3695.00   5.0688e-19   5.8826e-19
 3700.00   4.6781e-19   5.9974e-19
 3705.00  -5.0120e-19   5.6853e-19
 3710.00   6.8449e-19   5.4562e-19
 3715.00  -9.2583e-19   5.3054e-19
 3720.00  -7.7350e-19   5.0153e-19
 3725.00  -6.9050e-19   5.0321e-19
 3730.00  -1.4947e-18   5.1108e-19
 3735.00   2.9473e-20   5.1859e-19
 3740.00   3.2490e-19   5.3334e-19
 3745.00  -1.4327e-18   5.0097e-19
 3750.00   4.3663e-19   5.0335e-19
 3755.00  -1.6008e-18   4.9112e-19
 3760.00  -1.3547e-19   4.9563e-19
 3765.00  -1.2467e-18   4.9041e-19
 3770.00  -3.8756e-19   5.1251e-19
 3775.00   3.2524e-19   5.5277e-19
 3780.00   9.4506e-19   5.7538e-19
 3785.00   2.4569e-19   5.9115e-19
