 
TRANSIENT_NAME:     DES15S2eco 
SNID:               1307277    
OBS_DATE:           2015-09-18
MJD:                57283. 
PHASE:              -1.    
MJD_MAX:            57284.2
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4117  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4251.79   5.3182e-17  ---
 4253.79   6.5866e-17  ---
 4255.79   1.2253e-16  ---
 4257.80   4.6711e-17  ---
 4259.80   5.7372e-17  ---
 4261.80   4.8959e-17  ---
 4263.81  -1.0148e-17  ---
 4265.81   6.4474e-17  ---
 4267.81  -2.0173e-19  ---
 4269.82   3.5576e-17  ---
 4271.82   6.8918e-17  ---
 4273.82  -2.0352e-17  ---
 4275.83   6.2210e-17  ---
 4277.83   3.4724e-17  ---
 4279.83   4.3686e-17  ---
 4281.84   9.3362e-17  ---
 4283.84  -3.9039e-17  ---
 4285.84   5.6979e-17  ---
 4287.85   4.5202e-17  ---
 4289.85  -5.6669e-17  ---
 4291.85   9.9707e-17  ---
 4293.85   1.7064e-17  ---
 4295.86   4.2067e-17  ---
 4297.86   7.2603e-17  ---
 4299.86   2.1193e-17  ---
 4301.87   1.3763e-16  ---
 4303.87   5.3134e-17  ---
 4305.87   4.0397e-17  ---
 4307.88   1.1861e-16  ---
 4309.88   2.1906e-17  ---
 4311.88   9.0503e-17  ---
 4313.89   5.8609e-17  ---
 4315.89   2.6105e-17  ---
 4317.89   6.8644e-17  ---
 4319.90   1.5027e-17  ---
 4321.90   4.1126e-17  ---
 4323.90   8.5245e-17  ---
 4325.91  -7.8179e-18  ---
 4327.91   6.3684e-17  ---
 4329.91  -2.6835e-17  ---
 4331.92  -7.6345e-18  ---
 4333.92   7.9266e-17  ---
 4335.92  -4.5923e-17  ---
 4337.93   3.9310e-17  ---
 4339.93   4.3503e-17  ---
 4341.93  -8.2868e-18  ---
 4343.94   1.0752e-16  ---
 4345.94   7.9759e-17  ---
 4347.94   1.4728e-17  ---
 4349.95   1.2093e-16  ---
 4351.95   1.1567e-17  ---
 4353.95   7.3526e-17  ---
 4355.96   7.5627e-17  ---
 4357.96   2.4733e-17  ---
 4359.96   1.0152e-16  ---
 4361.97   5.4380e-17  ---
 4363.97   3.5369e-17  ---
 4365.97   6.6132e-17  ---
 4367.98  -7.3531e-18  ---
 4369.98   6.8069e-17  ---
 4371.98   7.4007e-17  ---
 4373.99   5.6574e-17  ---
 4375.99   7.5287e-17  ---
 4377.99   8.8672e-18  ---
 4380.00   1.9314e-17  ---
 4382.00   4.0689e-17  ---
 4384.00  -1.0690e-17  ---
 4386.01   1.0395e-16  ---
 4388.01   7.2343e-17  ---
 4390.01   3.1236e-17  ---
 4392.02   7.3250e-17  ---
 4394.02   5.3031e-17  ---
 4396.02   6.3637e-19  ---
 4398.03   5.3301e-17  ---
 4400.03   3.4342e-18  ---
 4402.03  -1.1650e-17  ---
 4404.04  -8.1609e-18  ---
 4406.04   2.9608e-17  ---
 4408.04   5.9479e-17  ---
 4410.05   3.8428e-17  ---
 4412.05   4.2380e-17  ---
 4414.05   5.3608e-17  ---
 4416.06   3.4534e-19  ---
 4418.06   9.1587e-17  ---
 4420.06   8.1899e-17  ---
 4422.06   2.4212e-17  ---
 4424.07   7.5746e-17  ---
 4426.07   4.6579e-17  ---
 4428.08   3.3570e-17  ---
 4430.08   7.7858e-17  ---
 4432.08   6.1012e-17  ---
 4434.08   8.8588e-17  ---
 4436.09   2.5940e-17  ---
 4438.09   5.4295e-17  ---
 4440.09   5.2037e-17  ---
 4442.10   7.1243e-17  ---
 4444.10   7.2084e-17  ---
 4446.10   3.1934e-17  ---
 4448.11   1.4988e-17  ---
 4450.11   4.1474e-17  ---
 4452.11   6.6459e-17  ---
 4454.12   1.1326e-16  ---
 4456.12   5.3420e-17  ---
 4458.12   2.1893e-17  ---
 4460.13   6.5214e-17  ---
 4462.13   2.6969e-17  ---
 4464.13   2.2760e-17  ---
 4466.14   7.6794e-17  ---
 4468.14   3.7546e-17  ---
 4470.14   7.5752e-17  ---
 4472.15   6.9596e-17  ---
 4474.15   2.2286e-17  ---
 4476.15   6.4786e-17  ---
 4478.16   6.3404e-17  ---
 4480.16   6.6991e-17  ---
 4482.16   7.4027e-17  ---
 4484.17   3.0589e-17  ---
 4486.17   7.4860e-17  ---
 4488.17   8.4696e-17  ---
 4490.18   1.9561e-17  ---
 4492.18   4.6731e-17  ---
 4494.18   2.7705e-17  ---
 4496.19   5.1815e-17  ---
 4498.19   8.7428e-17  ---
 4500.19   7.5200e-17  ---
 4502.20   9.5317e-17  ---
 4504.20   5.7146e-17  ---
 4506.20   7.3142e-17  ---
 4508.21   6.7404e-17  ---
 4510.21   8.7606e-17  ---
 4512.21   1.1118e-16  ---
 4514.22   1.1898e-16  ---
 4516.22   1.1007e-16  ---
 4518.22   9.8728e-17  ---
 4520.23   8.8494e-17  ---
 4522.23   8.8131e-17  ---
 4524.23   8.7303e-17  ---
 4526.24   8.4335e-17  ---
 4528.24   5.7728e-17  ---
 4530.24   9.9565e-17  ---
 4532.25   1.0528e-16  ---
 4534.25   7.2792e-17  ---
 4536.25   7.0148e-17  ---
 4538.26   7.7458e-17  ---
 4540.26   1.0459e-16  ---
 4542.26   1.3037e-16  ---
 4544.27   1.1207e-16  ---
 4546.27   1.2592e-16  ---
 4548.27   1.0837e-16  ---
 4550.28   9.1369e-17  ---
 4552.28   1.0016e-16  ---
 4554.28   5.5739e-17  ---
 4556.29   3.0119e-17  ---
 4558.29   6.8282e-17  ---
 4560.29   1.1685e-16  ---
 4562.29   8.8738e-17  ---
 4564.30   5.7705e-17  ---
 4566.30   7.7315e-17  ---
 4568.30   7.0826e-17  ---
 4570.31   7.0495e-17  ---
 4572.31   6.9819e-17  ---
 4574.31   8.4137e-17  ---
 4576.32   8.9579e-17  ---
 4578.32   7.8027e-17  ---
 4580.32   5.4849e-17  ---
 4582.33   7.9911e-17  ---
 4584.33   8.2700e-17  ---
 4586.33   6.9862e-17  ---
 4588.34   9.3083e-17  ---
 4590.34   6.6495e-17  ---
 4592.34   5.9336e-17  ---
 4594.35   1.0654e-16  ---
 4596.35   8.6047e-17  ---
 4598.35   6.8016e-17  ---
 4600.36   8.9110e-17  ---
 4602.36   3.5103e-17  ---
 4604.36   6.4426e-17  ---
 4606.37   8.0576e-17  ---
 4608.37   2.4912e-17  ---
 4610.37   9.1257e-17  ---
 4612.38   8.0661e-17  ---
 4614.38   4.4010e-17  ---
 4616.38   8.7230e-17  ---
 4618.39   6.9636e-17  ---
 4620.39   5.8562e-17  ---
 4622.39   1.1462e-16  ---
 4624.40   9.1599e-17  ---
 4626.40   8.7472e-17  ---
 4628.40   8.6562e-17  ---
 4630.41   3.5850e-17  ---
 4632.41   8.7432e-17  ---
 4634.41   9.3470e-17  ---
 4636.42   4.5346e-17  ---
 4638.42   1.1334e-16  ---
 4640.42   1.0004e-16  ---
 4642.43   6.6240e-17  ---
 4644.43   1.2449e-16  ---
 4646.43   8.7088e-17  ---
 4648.44   6.4924e-17  ---
 4650.44   1.1821e-16  ---
 4652.44   1.1555e-16  ---
 4654.45   8.3790e-17  ---
 4656.45   8.8497e-17  ---
 4658.45   9.0152e-17  ---
 4660.46   9.9288e-17  ---
 4662.46   9.5709e-17  ---
 4664.46   5.5228e-17  ---
 4666.47   9.0565e-17  ---
 4668.47   7.7014e-17  ---
 4670.47   5.1626e-17  ---
 4672.48   7.0790e-17  ---
 4674.48   3.7329e-17  ---
 4676.48   8.4361e-17  ---
 4678.49   1.1839e-16  ---
 4680.49   3.8704e-17  ---
 4682.49   1.0476e-16  ---
 4684.50   1.0854e-16  ---
 4686.50   6.2976e-17  ---
 4688.50   9.0328e-17  ---
 4690.51   6.9669e-17  ---
 4692.51   6.0035e-17  ---
 4694.51   1.0859e-16  ---
 4696.52   6.7139e-17  ---
 4698.52   6.9766e-17  ---
 4700.52   1.1547e-16  ---
 4702.52   6.7170e-17  ---
 4704.53   8.8056e-17  ---
 4706.53   9.7442e-17  ---
 4708.53   4.7648e-17  ---
 4710.54   8.3897e-17  ---
 4712.54   6.7458e-17  ---
 4714.54   5.6879e-17  ---
 4716.55   6.8524e-17  ---
 4718.55   6.5743e-17  ---
 4720.55   5.1472e-17  ---
 4722.56   7.9798e-17  ---
 4724.56   8.1416e-17  ---
 4726.56   9.4606e-17  ---
 4728.57   9.5670e-17  ---
 4730.57   7.7106e-17  ---
 4732.57   7.7170e-17  ---
 4734.58   8.2762e-17  ---
 4736.58   6.2518e-17  ---
 4738.58   1.1388e-16  ---
 4740.59   1.0601e-16  ---
 4742.59   6.1675e-17  ---
 4744.59   9.7287e-17  ---
 4746.60   8.9613e-17  ---
 4748.60   7.1928e-17  ---
 4750.60   1.2712e-16  ---
 4752.61   7.8441e-17  ---
 4754.61   4.4664e-17  ---
 4756.61   1.0219e-16  ---
 4758.62   8.8051e-17  ---
 4760.62   7.9707e-17  ---
 4762.62   9.6849e-17  ---
 4764.63   4.1384e-17  ---
 4766.63   9.1278e-17  ---
 4768.63   1.0955e-16  ---
 4770.64   5.5794e-17  ---
 4772.64   7.3000e-17  ---
 4774.64   7.7815e-17  ---
 4776.65   5.3328e-17  ---
 4778.65   8.9378e-17  ---
 4780.65   8.1706e-17  ---
 4782.66   8.4695e-17  ---
 4784.66   9.7592e-17  ---
 4786.66   5.4912e-17  ---
 4788.67   7.2073e-17  ---
 4790.67   9.9471e-17  ---
 4792.67   7.0831e-17  ---
 4794.68   6.3432e-17  ---
 4796.68   1.0706e-16  ---
 4798.68   9.4750e-17  ---
 4800.69   9.5799e-17  ---
 4802.69   8.3140e-17  ---
 4804.69   6.3385e-17  ---
 4806.70   8.8452e-17  ---
 4808.70   8.7533e-17  ---
 4810.70   7.7067e-17  ---
 4812.71   1.2011e-16  ---
 4814.71   1.0833e-16  ---
 4816.71   8.5664e-17  ---
 4818.72   1.0237e-16  ---
 4820.72   6.1884e-17  ---
 4822.72   4.8912e-17  ---
 4824.73   8.5387e-17  ---
 4826.73   5.6244e-17  ---
 4828.73   6.9059e-17  ---
 4830.74   8.2908e-17  ---
 4832.74   7.8073e-17  ---
 4834.74   7.4807e-17  ---
 4836.75   8.9538e-17  ---
 4838.75   8.3426e-17  ---
 4840.75   1.0647e-16  ---
 4842.75   1.3149e-16  ---
 4844.76   7.8192e-17  ---
 4846.76   7.5747e-17  ---
 4848.76   7.3923e-17  ---
 4850.77   8.8893e-17  ---
 4852.77   9.9400e-17  ---
 4854.77   9.0109e-17  ---
 4856.78   5.5242e-17  ---
 4858.78   9.6565e-17  ---
 4860.78   9.4794e-17  ---
 4862.79   8.6064e-17  ---
 4864.79   1.1341e-16  ---
 4866.79   8.5713e-17  ---
 4868.80   8.3046e-17  ---
 4870.80   1.1271e-16  ---
 4872.80   7.4824e-17  ---
 4874.81   6.8477e-17  ---
 4876.81   1.0338e-16  ---
 4878.81   8.7772e-17  ---
 4880.82   8.1872e-17  ---
 4882.82   1.0892e-16  ---
 4884.82   9.5701e-17  ---
 4886.83   9.5986e-17  ---
 4888.83   9.6741e-17  ---
 4890.83   7.7886e-17  ---
 4892.84   7.8531e-17  ---
 4894.84   1.0426e-16  ---
 4896.84   8.6117e-17  ---
 4898.85   1.0886e-16  ---
 4900.85   1.2533e-16  ---
 4902.85   8.3556e-17  ---
 4904.86   1.0959e-16  ---
 4906.86   1.0724e-16  ---
 4908.86   7.5927e-17  ---
 4910.87   9.9158e-17  ---
 4912.87   1.0345e-16  ---
 4914.87   8.7646e-17  ---
 4916.88   9.9123e-17  ---
 4918.88   1.0192e-16  ---
 4920.88   8.1657e-17  ---
 4922.89   1.0178e-16  ---
 4924.89   1.1639e-16  ---
 4926.89   1.0481e-16  ---
 4928.90   1.0005e-16  ---
 4930.90   1.0609e-16  ---
 4932.90   9.4276e-17  ---
 4934.91   1.0374e-16  ---
 4936.91   7.8809e-17  ---
 4938.91   7.5459e-17  ---
 4940.92   8.7121e-17  ---
 4942.92   9.5674e-17  ---
 4944.92   9.4773e-17  ---
 4946.93   1.1016e-16  ---
 4948.93   7.7428e-17  ---
 4950.93   8.8517e-17  ---
 4952.94   1.3194e-16  ---
 4954.94   9.4648e-17  ---
 4956.94   7.6724e-17  ---
 4958.95   1.0347e-16  ---
 4960.95   8.2887e-17  ---
 4962.95   9.2457e-17  ---
 4964.96   9.7304e-17  ---
 4966.96   7.8402e-17  ---
 4968.96   7.1852e-17  ---
 4970.96   9.3815e-17  ---
 4972.97   7.5291e-17  ---
 4974.97   1.0057e-16  ---
 4976.97   1.1133e-16  ---
 4978.98   1.0215e-16  ---
 4980.98   1.0548e-16  ---
 4982.98   1.0899e-16  ---
 4984.99   9.2376e-17  ---
 4986.99   1.0689e-16  ---
 4988.99   1.3047e-16  ---
 4991.00   1.0415e-16  ---
 4993.00   1.0519e-16  ---
 4995.00   1.2820e-16  ---
 4997.01   9.0068e-17  ---
 4999.01   9.9065e-17  ---
 5001.01   1.1171e-16  ---
 5003.02   1.0171e-16  ---
 5005.02   9.6589e-17  ---
 5007.02   1.0491e-16  ---
 5009.03   1.0006e-16  ---
 5011.03   9.7007e-17  ---
 5013.03   1.0167e-16  ---
 5015.04   9.7477e-17  ---
 5017.04   1.0034e-16  ---
 5019.04   9.2890e-17  ---
 5021.05   6.8457e-17  ---
 5023.05   9.6775e-17  ---
 5025.05   1.1572e-16  ---
 5027.06   8.4547e-17  ---
 5029.06   1.0320e-16  ---
 5031.06   1.1244e-16  ---
 5033.07   8.9388e-17  ---
 5035.07   7.4637e-17  ---
 5037.07   9.5039e-17  ---
 5039.08   9.7122e-17  ---
 5041.08   1.1427e-16  ---
 5043.08   1.1847e-16  ---
 5045.09   9.1610e-17  ---
 5047.09   8.3653e-17  ---
 5049.09   1.0824e-16  ---
 5051.10   1.0829e-16  ---
 5053.10   1.0124e-16  ---
 5055.10   1.1820e-16  ---
 5057.11   1.1356e-16  ---
 5059.11   8.6486e-17  ---
 5061.11   7.9896e-17  ---
 5063.12   9.6512e-17  ---
 5065.12   9.5452e-17  ---
 5067.12   1.0523e-16  ---
 5069.13   1.1025e-16  ---
 5071.13   1.1829e-16  ---
 5073.13   1.0723e-16  ---
 5075.14   9.0905e-17  ---
 5077.14   1.0500e-16  ---
 5079.14   9.6700e-17  ---
 5081.15   1.0566e-16  ---
 5083.15   1.0602e-16  ---
 5085.15   9.3809e-17  ---
 5087.16   8.4155e-17  ---
 5089.16   9.4684e-17  ---
 5091.16   1.0741e-16  ---
 5093.17   1.0042e-16  ---
 5095.17   1.0777e-16  ---
 5097.17   9.6606e-17  ---
 5099.18   1.0524e-16  ---
 5101.18   1.1740e-16  ---
 5103.18   1.0377e-16  ---
 5105.19   9.4889e-17  ---
 5107.19   1.0498e-16  ---
 5109.19   9.4688e-17  ---
 5111.19   4.5076e-17  ---
 5113.20   5.4880e-17  ---
 5115.20   7.9179e-17  ---
 5117.20   1.0153e-16  ---
 5119.21   9.6213e-17  ---
 5121.21   1.1263e-16  ---
 5123.21   9.4952e-17  ---
 5125.22   1.1164e-16  ---
 5127.22   1.1149e-16  ---
 5129.22   9.3679e-17  ---
 5131.23   8.6132e-17  ---
 5133.23   1.1250e-16  ---
 5135.23   1.0409e-16  ---
 5137.24   9.7034e-17  ---
 5139.24   9.9593e-17  ---
 5141.24   9.3660e-17  ---
 5143.25   8.6940e-17  ---
 5145.25   8.9719e-17  ---
 5147.25   8.4328e-17  ---
 5149.26   1.0443e-16  ---
 5151.26   1.0026e-16  ---
 5153.26   9.1344e-17  ---
 5155.27   9.9440e-17  ---
 5157.27   1.1119e-16  ---
 5159.27   9.4525e-17  ---
 5161.28   1.0250e-16  ---
 5163.28   1.1394e-16  ---
 5165.28   1.0059e-16  ---
 5167.29   9.6121e-17  ---
 5169.29   9.5361e-17  ---
 5171.29   8.8288e-17  ---
 5173.30   9.8022e-17  ---
 5175.30   8.9839e-17  ---
 5177.30   9.0761e-17  ---
 5179.31   1.0192e-16  ---
 5181.31   9.8294e-17  ---
 5183.31   9.7661e-17  ---
 5185.32   9.3543e-17  ---
 5187.32   8.5355e-17  ---
 5189.32   7.7806e-17  ---
 5191.33   6.9899e-17  ---
 5193.33   1.0017e-16  ---
 5195.33   9.8965e-17  ---
 5197.34   9.5836e-17  ---
 5199.34   1.0947e-16  ---
 5201.34   7.5395e-17  ---
 5203.35   8.4601e-17  ---
 5205.35   9.8652e-17  ---
