 
TRANSIENT_NAME:     DES15S2myz 
SNID:               1338387    
OBS_DATE:           2015-12-11
MJD:                57367. 
PHASE:              +2.    
MJD_MAX:            57364.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5850  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4801.84  -8.9682e-20   5.8336e-19
 4806.46  -2.3915e-19   5.1935e-19
 4811.07   1.3872e-18   5.1139e-19
 4815.69   1.7239e-19   4.2351e-19
 4820.30  -1.4790e-19   3.6839e-19
 4824.92  -9.0306e-19   3.4147e-19
 4829.54   3.3707e-18   1.5144e-18
 4834.15   1.9611e-18   1.4226e-18
 4838.77   8.6175e-19   1.1962e-18
 4843.38   7.9392e-19   1.1849e-18
 4848.00  -6.2186e-19   2.1746e-19
 4852.62  -9.8420e-20   1.9630e-19
 4857.23   5.2765e-20   1.9232e-19
 4861.85   3.7551e-20   1.7008e-19
 4866.46   1.8020e-19   1.6846e-19
 4871.08  -1.1961e-19   1.5749e-19
 4875.69   1.7878e-19   1.5312e-19
 4880.31   9.2684e-20   1.4557e-19
 4884.93  -1.2034e-19   1.3571e-19
 4889.54   1.6434e-20   1.3051e-19
 4894.16  -1.1815e-20   1.4360e-19
 4898.77   1.4645e-19   1.2666e-19
 4903.39   5.8502e-20   1.1775e-19
 4908.00   1.0369e-19   1.1374e-19
 4912.62  -5.9291e-20   1.0413e-19
 4917.24   1.8887e-19   1.0697e-19
 4921.85   1.9836e-20   9.9111e-20
 4926.47   1.0008e-20   9.6783e-20
 4931.08  -8.2500e-21   9.6620e-20
 4935.70   1.1581e-19   9.7072e-20
 4940.32   1.6890e-20   9.2516e-20
 4944.93   7.0430e-20   9.1485e-20
 4949.55   3.1608e-20   8.9872e-20
 4954.16  -1.1715e-19   4.8215e-19
 4958.78   1.2044e-18   4.8041e-19
 4963.39   6.2000e-20   8.6188e-20
 4968.01   1.2223e-19   8.9333e-20
 4972.63   1.4415e-20   8.7030e-20
 4977.24  -5.3651e-20   8.6751e-20
 4981.86   9.0568e-20   8.7480e-20
 4986.47  -1.0461e-19   8.5730e-20
 4991.09  -1.6938e-20   8.2742e-20
 4995.71   2.4167e-20   8.0203e-20
 5000.32   1.2840e-20   8.0992e-20
 5004.94   6.3518e-20   7.9382e-20
 5009.55   7.5134e-20   8.0488e-20
 5014.17   8.0046e-20   7.9516e-20
 5018.78   1.3224e-20   7.6990e-20
 5023.40  -3.1913e-20   7.7715e-20
 5028.02   1.8608e-20   7.8570e-20
 5032.63   7.8588e-20   7.8320e-20
 5037.25   8.0298e-20   7.9626e-20
 5041.86  -7.5050e-20   7.7308e-20
 5046.48   1.7954e-19   8.1547e-20
 5051.10   8.2102e-20   7.9935e-20
 5055.71  -3.4388e-20   7.8605e-20
 5060.33   1.7800e-19   8.2303e-20
 5064.94   2.5419e-19   8.6831e-20
 5069.56   5.5649e-20   7.8350e-20
 5074.17   2.4108e-20   7.8255e-20
 5078.79   1.3831e-19   8.1616e-20
 5083.41   1.5406e-19   8.0805e-20
 5088.02  -8.6031e-21   8.0146e-20
 5092.64   1.5085e-19   8.2089e-20
 5097.25   4.3974e-20   8.0025e-20
 5101.87  -3.2276e-20   7.9738e-20
 5106.48   1.0677e-19   8.2215e-20
 5111.10   8.8229e-20   8.1489e-20
 5115.72   1.0618e-19   8.1222e-20
 5120.33   1.3482e-19   8.2990e-20
 5124.95   3.8871e-20   8.0638e-20
 5129.56  -2.4740e-20   8.2257e-20
 5134.18  -1.0873e-19   8.2928e-20
 5138.80  -3.8366e-20   8.3243e-20
 5143.41  -2.5252e-20   8.3932e-20
 5148.03   2.1462e-19   8.8588e-20
 5152.64   5.7053e-20   8.4045e-20
 5157.26   1.5723e-19   8.6095e-20
 5161.87   6.0503e-20   8.4039e-20
 5166.49   5.3469e-22   8.4053e-20
 5171.11   7.5869e-20   8.3038e-20
 5175.72   1.8804e-19   8.6484e-20
 5180.34  -1.2371e-22   8.4046e-20
 5184.95   1.9655e-19   8.8986e-20
 5189.57   2.1858e-19   1.0286e-19
 5194.19  -5.3713e-20   1.1912e-19
 5198.80   2.4051e-19   1.2978e-19
 5203.42   3.7449e-19   1.2267e-19
 5208.03   5.7716e-20   9.8436e-20
 5212.65  -4.7707e-20   8.9991e-20
 5217.26   6.6180e-20   9.1714e-20
 5221.88   8.0468e-20   9.2620e-20
 5226.50   1.9599e-19   9.4240e-20
 5231.11   1.1719e-19   9.4149e-20
 5235.73   1.7171e-19   9.4159e-20
 5240.34   1.0373e-19   9.4754e-20
 5244.96   4.8087e-20   9.3157e-20
 5249.58   8.3333e-20   9.4675e-20
 5254.19   2.2483e-19   9.8014e-20
