 
TRANSIENT_NAME:     DES15S2ocv 
SNID:               1342255    
OBS_DATE:           2016-01-09
MJD:                57396. 
PHASE:              +4.    
MJD_MAX:            57390.9
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2150  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3844.79   2.2032e-19   2.0083e-19
 3847.81   1.5863e-19   1.7950e-19
 3850.83   2.5921e-19   2.1737e-19
 3853.86   4.5557e-19   2.2027e-19
 3856.88   3.1644e-19   2.2758e-19
 3859.90   3.2687e-19   2.6960e-19
 3862.93   2.4981e-19   2.6252e-19
 3865.95   2.3196e-19   2.0456e-19
 3868.97   3.7649e-19   2.0004e-19
 3872.00   4.0541e-19   2.2847e-19
 3875.02   3.4889e-19   2.2766e-19
 3878.04   3.5500e-19   2.3960e-19
 3881.07   2.9686e-19   2.1956e-19
 3884.09   3.2027e-19   2.3057e-19
 3887.12   2.6763e-19   2.5732e-19
 3890.14   2.7349e-19   2.2500e-19
 3893.16   2.4612e-19   2.0262e-19
 3896.19   2.9036e-19   2.1591e-19
 3899.21   3.3588e-19   2.3822e-19
 3902.23   2.6942e-19   2.1536e-19
 3905.26   3.7293e-19   2.7869e-19
 3908.28   3.0113e-19   2.3361e-19
 3911.30   3.2067e-19   2.5612e-19
 3914.33   3.5959e-19   2.3096e-19
 3917.35   5.3985e-19   2.1269e-19
 3920.37   6.7720e-19   2.1244e-19
 3923.40   5.1350e-19   2.0921e-19
 3926.42   3.3451e-19   2.1128e-19
 3929.44   1.9984e-19   1.8768e-19
 3932.47   5.4586e-20   9.3580e-20
 3935.49   1.4413e-19   1.6119e-19
 3938.52   2.4142e-19   2.3639e-19
 3941.54   3.3158e-19   2.3886e-19
 3944.56   3.5163e-19   2.3801e-19
 3947.59   3.0871e-19   2.2130e-19
 3950.61   2.8682e-19   2.0709e-19
 3953.63   2.7697e-19   1.8599e-19
 3956.66   2.8474e-19   2.0943e-19
 3959.68   3.7984e-19   2.3562e-19
