 
TRANSIENT_NAME:     DES15S2og  
SNID:               1281886    
OBS_DATE:           2015-09-08
MJD:                57273. 
PHASE:              +4.    
MJD_MAX:            57268.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3850  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3712.00  -2.2687e-01  ---
 3713.99  -2.2725e-01  ---
 3715.98  -2.1899e-01  ---
 3717.97  -1.0227e-01  ---
 3719.96  -1.6317e-01  ---
 3721.95  -1.5019e-02  ---
 3723.94   2.9851e-01  ---
 3725.93   2.9351e-01  ---
 3727.92   3.1642e-01  ---
 3729.91   1.1279e+00  ---
 3731.90  -1.2502e-01  ---
 3733.89  -5.4067e-01  ---
 3735.88  -1.0550e-01  ---
 3737.87   1.0246e+00  ---
 3739.86   2.6704e-01  ---
 3741.85  -8.8570e-03  ---
 3743.84   1.5256e+00  ---
 3745.83   6.5440e-01  ---
 3747.82   4.0377e-01  ---
 3749.81   8.1949e-02  ---
 3751.80   1.5906e-01  ---
 3753.79   4.5771e-01  ---
 3755.78   1.8599e-01  ---
 3757.77  -2.0362e-01  ---
 3759.76  -4.5736e-01  ---
 3761.75  -4.3943e-01  ---
 3763.74  -3.2294e-01  ---
 3765.73  -3.9532e-01  ---
 3767.72  -1.6108e-01  ---
 3769.71   1.0341e-01  ---
 3771.70   8.2845e-01  ---
 3773.69   1.2829e-01  ---
 3775.68  -7.0452e-02  ---
 3777.67  -2.6353e-01  ---
 3779.66   6.2675e-03  ---
 3781.65   5.5385e-01  ---
 3783.64   2.7158e-01  ---
 3785.63   8.2493e-02  ---
 3787.62  -1.7243e-01  ---
 3789.61  -2.3593e-01  ---
 3791.60  -1.9673e-01  ---
 3793.59  -1.9941e-01  ---
 3795.58   1.6381e-01  ---
 3797.57   3.7999e-01  ---
 3799.56   7.0590e-02  ---
 3801.55   1.3024e-01  ---
 3803.54   2.4528e-01  ---
 3805.53   4.3580e-01  ---
 3807.52   2.7746e-01  ---
 3809.51  -2.3871e-01  ---
 3811.50   2.2009e-01  ---
 3813.49   4.3707e-01  ---
 3815.48   4.8785e-02  ---
 3817.47   1.9040e-01  ---
 3819.46   7.0724e-02  ---
 3821.45  -4.0545e-01  ---
 3823.44  -3.7993e-01  ---
 3825.43   1.5879e-01  ---
 3827.42   5.1012e-01  ---
 3829.41  -4.9555e-01  ---
 3831.40  -7.8956e-01  ---
 3833.39   1.3818e+00  ---
 3835.38   9.0942e-01  ---
 3837.37  -4.3841e-01  ---
 3839.36   5.9108e-01  ---
 3841.35   8.2024e-01  ---
 3843.34  -1.0454e-01  ---
 3845.33  -1.3322e-01  ---
 3847.32  -3.3802e-01  ---
 3849.31  -4.2354e-01  ---
 3851.30  -2.0790e-01  ---
 3853.29  -3.3736e-01  ---
 3855.28   1.0340e+00  ---
 3857.27   3.4015e-02  ---
 3859.26   4.5612e-01  ---
 3861.25   3.2637e-01  ---
 3863.24   6.9346e-01  ---
 3865.23  -3.0557e-02  ---
 3867.22   5.3450e-01  ---
 3869.21   1.0077e-01  ---
 3871.20  -2.3285e-01  ---
 3873.19   2.2858e-01  ---
 3875.18   7.1333e-01  ---
 3877.17  -5.2248e-03  ---
 3879.16   1.5420e-01  ---
 3881.15   6.8179e-01  ---
 3883.14   4.5114e-02  ---
 3885.13  -3.1004e-01  ---
 3887.12  -1.5006e-01  ---
 3889.11  -3.3700e-02  ---
 3891.10   9.3093e-02  ---
 3893.09  -2.4076e-01  ---
 3895.08  -2.1242e-01  ---
 3897.07  -1.7870e-01  ---
 3899.06  -2.2189e-01  ---
 3901.05   1.2959e-01  ---
 3903.04  -3.5632e-01  ---
 3905.03  -3.8657e-01  ---
 3907.02  -2.1253e-01  ---
 3909.01  -1.6272e-01  ---
 3911.00   1.6547e-01  ---
 3912.99   2.6214e-02  ---
 3914.98  -1.1412e-01  ---
 3916.97   1.4562e-01  ---
 3918.96   3.4228e-02  ---
 3920.95   2.9191e-02  ---
 3922.94  -8.5532e-02  ---
 3924.93  -8.8251e-02  ---
 3926.92   1.9221e-01  ---
 3928.91   7.6551e-02  ---
 3930.90  -1.2449e-02  ---
 3932.89  -4.4912e-02  ---
 3934.88  -1.2193e-02  ---
 3936.87   2.0027e-01  ---
 3938.86   3.0554e-01  ---
 3940.85   6.9028e-03  ---
 3942.84   1.2755e-02  ---
 3944.83  -1.9088e-02  ---
 3946.82   1.7661e-01  ---
 3948.81   5.5934e-01  ---
 3950.80   4.4048e-01  ---
 3952.79   6.9437e-01  ---
 3954.78   3.5957e-01  ---
 3956.77   9.5123e-02  ---
 3958.76  -1.4337e-01  ---
 3960.75  -1.3624e-01  ---
