 
TRANSIENT_NAME:     DES15S2okl 
SNID:               1344274    
OBS_DATE:           2016-01-10
MJD:                57397. 
PHASE:              -1.    
MJD_MAX:            57398.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1600  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/BAADE
INSTRUMENT:         IMACS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4257.00   2.1681e-01  ---
 4258.27   2.1618e-01  ---
 4259.54   1.8245e-01  ---
 4260.81   1.6587e-01  ---
 4262.08   2.4692e-01  ---
 4263.35   2.0362e-01  ---
 4264.62   2.0636e-01  ---
 4265.89   1.9596e-01  ---
 4267.16   1.7252e-01  ---
 4268.43   2.0006e-01  ---
 4269.70   2.3265e-01  ---
 4270.97   1.7766e-01  ---
 4272.24   1.6204e-01  ---
 4273.51   2.0903e-01  ---
 4274.78   2.1984e-01  ---
 4276.05   1.9892e-01  ---
 4277.32   1.6516e-01  ---
 4278.59   1.4776e-01  ---
 4279.86   1.6054e-01  ---
 4281.13   1.9321e-01  ---
 4282.40   2.0964e-01  ---
 4283.67   2.0426e-01  ---
 4284.94   2.1925e-01  ---
 4286.21   1.9006e-01  ---
 4287.48   2.0198e-01  ---
 4288.75   1.8363e-01  ---
 4290.02   1.6535e-01  ---
 4291.29   1.5534e-01  ---
 4292.56   1.5278e-01  ---
 4293.83   1.7757e-01  ---
 4295.10   1.6903e-01  ---
 4296.37   1.9623e-01  ---
 4297.64   2.1870e-01  ---
 4298.91   1.5715e-01  ---
 4300.18   1.5260e-01  ---
 4301.45   1.6579e-01  ---
 4302.72   1.5987e-01  ---
 4303.99   1.5372e-01  ---
 4305.26   1.7737e-01  ---
 4306.53   1.7127e-01  ---
 4307.80   1.3657e-01  ---
 4309.07   1.1828e-01  ---
 4310.34   1.4262e-01  ---
 4311.61   1.7830e-01  ---
 4312.88   1.7920e-01  ---
 4314.15   1.6607e-01  ---
 4315.42   1.5126e-01  ---
 4316.69   1.5132e-01  ---
 4317.96   1.2770e-01  ---
 4319.23   1.3394e-01  ---
 4320.50   1.7404e-01  ---
 4321.77   1.9020e-01  ---
 4323.04   1.7718e-01  ---
 4324.31   1.7149e-01  ---
 4325.58   1.5320e-01  ---
 4326.85   1.3116e-01  ---
 4328.12   1.3012e-01  ---
 4329.39   1.1342e-01  ---
 4330.66   1.2431e-01  ---
 4331.93   1.1795e-01  ---
 4333.20   1.0987e-01  ---
 4334.47   1.3616e-01  ---
 4335.74   1.6367e-01  ---
 4337.01   1.5447e-01  ---
 4338.28   1.2854e-01  ---
 4339.55   1.4444e-01  ---
 4340.82   1.5245e-01  ---
 4342.09   1.2146e-01  ---
 4343.36   1.1413e-01  ---
 4344.63   1.5388e-01  ---
 4345.90   1.4420e-01  ---
 4347.17   1.0932e-01  ---
 4348.44   1.0442e-01  ---
 4349.71   1.3214e-01  ---
 4350.98   1.4402e-01  ---
 4352.25   1.2391e-01  ---
 4353.52   1.3320e-01  ---
 4354.79   1.3735e-01  ---
 4356.06   1.4390e-01  ---
 4357.33   1.3101e-01  ---
 4358.60   1.2598e-01  ---
 4359.87   1.4883e-01  ---
 4361.14   1.4682e-01  ---
 4362.41   1.4563e-01  ---
 4363.68   1.4219e-01  ---
 4364.95   1.3802e-01  ---
 4366.22   1.2293e-01  ---
 4367.49   1.0958e-01  ---
 4368.76   1.1021e-01  ---
 4370.03   1.2163e-01  ---
 4371.30   1.3750e-01  ---
 4372.57   1.4570e-01  ---
 4373.84   1.3339e-01  ---
 4375.11   1.1867e-01  ---
 4376.38   1.4546e-01  ---
 4377.65   1.4315e-01  ---
 4378.92   1.0840e-01  ---
 4380.19   8.9703e-02  ---
 4381.46   9.9569e-02  ---
 4382.73   1.4017e-01  ---
 4384.00   1.5348e-01  ---
 4385.27   1.1382e-01  ---
 4386.54   9.3002e-02  ---
 4387.81   1.1586e-01  ---
 4389.08   1.3188e-01  ---
 4390.35   1.2553e-01  ---
 4391.62   1.3635e-01  ---
 4392.89   1.2967e-01  ---
 4394.16   1.1404e-01  ---
 4395.43   1.0171e-01  ---
 4396.70   1.2568e-01  ---
 4397.97   1.2361e-01  ---
 4399.24   1.0772e-01  ---
 4400.51   9.5748e-02  ---
 4401.78   1.0426e-01  ---
 4403.05   1.1753e-01  ---
 4404.32   1.0792e-01  ---
 4405.59   1.1875e-01  ---
 4406.86   1.4301e-01  ---
 4408.13   1.2352e-01  ---
 4409.40   1.2686e-01  ---
 4410.67   1.1646e-01  ---
 4411.94   1.1281e-01  ---
 4413.21   1.1419e-01  ---
 4414.48   1.0486e-01  ---
 4415.75   1.1797e-01  ---
 4417.02   1.2829e-01  ---
 4418.29   1.2716e-01  ---
 4419.56   1.0832e-01  ---
 4420.83   1.3299e-01  ---
 4422.10   1.4036e-01  ---
 4423.37   9.9690e-02  ---
 4424.64   9.7617e-02  ---
 4425.91   1.0046e-01  ---
 4427.18   9.1045e-02  ---
 4428.45   9.8090e-02  ---
 4429.72   1.0906e-01  ---
 4430.99   1.1590e-01  ---
 4432.26   1.3932e-01  ---
 4433.53   1.2391e-01  ---
 4434.80   9.6264e-02  ---
 4436.07   1.0801e-01  ---
 4437.34   1.3742e-01  ---
 4438.61   1.2312e-01  ---
 4439.88   1.1094e-01  ---
 4441.15   1.2650e-01  ---
 4442.42   1.5172e-01  ---
 4443.69   1.3974e-01  ---
 4444.96   1.2156e-01  ---
 4446.23   1.4765e-01  ---
 4447.50   1.4712e-01  ---
 4448.77   1.4071e-01  ---
 4450.04   1.2405e-01  ---
 4451.31   1.3872e-01  ---
 4452.58   1.5348e-01  ---
 4453.85   1.5366e-01  ---
 4455.12   1.4410e-01  ---
 4456.39   1.2522e-01  ---
 4457.66   1.3629e-01  ---
 4458.93   1.3983e-01  ---
 4460.20   1.3764e-01  ---
 4461.47   1.3363e-01  ---
 4462.74   1.0876e-01  ---
 4464.01   1.4959e-01  ---
 4465.28   1.4847e-01  ---
 4466.55   1.5442e-01  ---
 4467.82   1.5197e-01  ---
 4469.09   1.5471e-01  ---
 4470.36   1.5035e-01  ---
 4471.63   1.6495e-01  ---
 4472.90   1.7446e-01  ---
 4474.17   1.7724e-01  ---
 4475.44   1.4426e-01  ---
 4476.71   1.3639e-01  ---
 4477.98   1.5702e-01  ---
 4479.25   1.4448e-01  ---
 4480.52   1.5794e-01  ---
 4481.79   1.6733e-01  ---
 4483.06   1.7256e-01  ---
 4484.33   1.7447e-01  ---
 4485.60   1.6725e-01  ---
 4486.87   1.6533e-01  ---
 4488.14   1.6153e-01  ---
 4489.41   1.6146e-01  ---
 4490.68   1.6150e-01  ---
 4491.95   1.6456e-01  ---
 4493.22   1.5760e-01  ---
 4494.49   1.7086e-01  ---
 4495.76   2.0081e-01  ---
 4497.03   1.8341e-01  ---
 4498.30   1.8421e-01  ---
 4499.57   1.9792e-01  ---
 4500.84   1.8678e-01  ---
 4502.11   1.8504e-01  ---
 4503.38   1.8891e-01  ---
 4504.65   1.9590e-01  ---
 4505.92   1.8873e-01  ---
 4507.19   1.8317e-01  ---
 4508.46   1.8188e-01  ---
 4509.73   1.8071e-01  ---
 4511.00   1.9362e-01  ---
 4512.27   1.9058e-01  ---
 4513.54   1.8550e-01  ---
 4514.81   2.0467e-01  ---
 4516.08   1.8765e-01  ---
 4517.35   1.8836e-01  ---
 4518.62   1.8215e-01  ---
 4519.89   1.9811e-01  ---
 4521.16   2.0054e-01  ---
 4522.43   1.6933e-01  ---
 4523.70   1.6263e-01  ---
 4524.97   2.1027e-01  ---
 4526.24   1.9742e-01  ---
 4527.51   2.1158e-01  ---
 4528.78   2.0236e-01  ---
 4530.05   1.8783e-01  ---
 4531.32   1.7770e-01  ---
 4532.59   1.8215e-01  ---
 4533.86   2.0325e-01  ---
 4535.13   2.0570e-01  ---
 4536.40   2.1170e-01  ---
 4537.67   2.0526e-01  ---
 4538.94   1.7418e-01  ---
 4540.21   1.8494e-01  ---
 4541.48   1.7573e-01  ---
 4542.75   1.6781e-01  ---
 4544.02   1.8949e-01  ---
 4545.29   1.9356e-01  ---
 4546.56   1.7579e-01  ---
 4547.83   2.0735e-01  ---
 4549.10   1.8996e-01  ---
 4550.37   1.7905e-01  ---
 4551.64   1.6995e-01  ---
 4552.91   1.8509e-01  ---
 4554.18   1.8025e-01  ---
 4555.45   2.0129e-01  ---
 4556.72   1.9299e-01  ---
 4557.99   1.6993e-01  ---
 4559.26   1.6915e-01  ---
 4560.53   2.0260e-01  ---
 4561.80   1.8768e-01  ---
 4563.07   1.9022e-01  ---
 4564.34   2.0082e-01  ---
 4565.61   1.6526e-01  ---
 4566.88   1.8906e-01  ---
 4568.15   1.8791e-01  ---
 4569.42   1.7837e-01  ---
 4570.69   1.9659e-01  ---
 4571.96   1.9295e-01  ---
 4573.23   1.7388e-01  ---
 4574.50   1.7473e-01  ---
 4575.77   1.8424e-01  ---
 4577.04   1.7812e-01  ---
 4578.31   1.7433e-01  ---
 4579.58   1.9205e-01  ---
 4580.85   1.8651e-01  ---
 4582.12   1.9947e-01  ---
 4583.39   1.8158e-01  ---
 4584.66   1.7925e-01  ---
 4585.93   1.6475e-01  ---
 4587.20   1.7461e-01  ---
 4588.47   1.8397e-01  ---
 4589.74   1.6997e-01  ---
 4591.01   1.9049e-01  ---
 4592.28   1.7903e-01  ---
 4593.55   1.7478e-01  ---
 4594.82   1.8312e-01  ---
 4596.09   1.8003e-01  ---
 4597.36   1.8368e-01  ---
 4598.63   1.8636e-01  ---
 4599.90   1.7758e-01  ---
 4601.17   1.8953e-01  ---
 4602.44   2.0386e-01  ---
 4603.71   1.6992e-01  ---
 4604.98   1.8479e-01  ---
 4606.25   1.6883e-01  ---
 4607.52   1.6313e-01  ---
 4608.79   1.8303e-01  ---
 4610.06   1.6926e-01  ---
 4611.33   1.7316e-01  ---
 4612.60   1.5670e-01  ---
 4613.87   1.4435e-01  ---
 4615.14   1.5081e-01  ---
 4616.41   1.5298e-01  ---
 4617.68   1.4321e-01  ---
 4618.95   1.5892e-01  ---
 4620.22   1.7576e-01  ---
 4621.49   1.6320e-01  ---
 4622.76   1.5431e-01  ---
 4624.03   1.9036e-01  ---
 4625.30   1.7660e-01  ---
 4626.57   1.8685e-01  ---
 4627.84   1.7626e-01  ---
 4629.11   1.7856e-01  ---
 4630.38   1.8257e-01  ---
