 
TRANSIENT_NAME:     DES15S2okl 
SNID:               1344274    
OBS_DATE:           2016-01-12
MJD:                57399. 
PHASE:              +1.    
MJD_MAX:            57398.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1700  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3835.10   2.2495e-19   2.1180e-19
 3838.18   4.5902e-19   2.7241e-19
 3841.25   5.8785e-19   2.8090e-19
 3844.32   4.9615e-19   2.7227e-19
 3847.40   4.5087e-19   2.4536e-19
 3850.47   5.2531e-19   2.6251e-19
 3853.55   5.2426e-19   2.6762e-19
 3856.62   5.5302e-19   2.6761e-19
 3859.70   5.9097e-19   2.5915e-19
 3862.77   3.8536e-19   2.3727e-19
 3865.84   3.2595e-19   2.3952e-19
 3868.92   4.4254e-19   2.4992e-19
 3871.99   5.9897e-19   2.6639e-19
 3875.07   5.3511e-19   2.5786e-19
 3878.14   7.6342e-19   2.7434e-19
 3881.22   9.1133e-19   2.9875e-19
 3884.29   9.1609e-19   2.8939e-19
 3887.36   6.9077e-19   2.7898e-19
 3890.44   6.2970e-19   2.9979e-19
 3893.51   9.2050e-19   3.1240e-19
 3896.59   7.7283e-19   3.0117e-19
 3899.66   5.8990e-19   2.9057e-19
 3902.73   7.2562e-19   3.0142e-19
 3905.81   6.5212e-19   3.0155e-19
 3908.88   8.4091e-19   2.9016e-19
 3911.96   7.7882e-19   2.7245e-19
 3915.03   6.0877e-19   2.6304e-19
 3918.11   7.0324e-19   2.6093e-19
 3921.18   5.1806e-19   2.7907e-19
 3924.25   6.8636e-19   2.5514e-19
 3927.33   8.0246e-19   2.5754e-19
 3930.40   1.0394e-18   2.6923e-19
 3933.48   8.9062e-19   2.5925e-19
 3936.55   1.0550e-18   2.6783e-19
 3939.63   8.5979e-19   2.7110e-19
 3942.70   6.9305e-19   2.8138e-19
 3945.77   9.6142e-19   2.7336e-19
 3948.85   1.1549e-18   2.7463e-19
 3951.92   9.9552e-19   2.6886e-19
 3955.00   9.3231e-19   2.5374e-19
 3958.07   9.9560e-19   2.5268e-19
 3961.15   8.6535e-19   2.5635e-19
 3964.22   1.1491e-18   2.7699e-19
 3967.29   1.0753e-18   2.7575e-19
 3970.37   1.0600e-18   2.9405e-19
 3973.44   1.0978e-18   2.8255e-19
 3976.52   1.2145e-18   2.7397e-19
 3979.59   1.1952e-18   2.6905e-19
 3982.67   9.5244e-19   2.6556e-19
 3985.74   1.0397e-18   2.7193e-19
 3988.81   1.0827e-18   2.8459e-19
 3991.89   9.5004e-19   2.7362e-19
 3994.96   9.7210e-19   2.6706e-19
 3998.04   1.1564e-18   2.7199e-19
 4001.11   1.1386e-18   2.8834e-19
 4004.18   1.1289e-18   2.8670e-19
 4007.26   1.0673e-18   2.7590e-19
 4010.33   1.1505e-18   2.9194e-19
 4013.41   1.0622e-18   2.8817e-19
 4016.48   1.2206e-18   2.8563e-19
 4019.56   8.6184e-19   2.7078e-19
 4022.63   9.8670e-19   2.6604e-19
 4025.70   1.0028e-18   2.6971e-19
 4028.78   1.2151e-18   2.7734e-19
 4031.85   1.1601e-18   2.7935e-19
 4034.93   1.0578e-18   2.6957e-19
 4038.00   1.5182e-18   2.8020e-19
 4041.08   1.6598e-18   2.8572e-19
 4044.15   1.2042e-18   2.8121e-19
 4047.22   1.2539e-18   2.7166e-19
 4050.30   1.3435e-18   2.8712e-19
 4053.37   1.5320e-18   3.0427e-19
 4056.45   1.5411e-18   2.9631e-19
 4059.52   1.4524e-18   2.8598e-19
 4062.60   1.1897e-18   2.8501e-19
 4065.67   1.3580e-18   2.8439e-19
 4068.74   1.6178e-18   2.8752e-19
 4071.82   1.7920e-18   2.9959e-19
 4074.89   1.6842e-18   2.9303e-19
 4077.97   1.7388e-18   2.8514e-19
 4081.04   1.6111e-18   2.8110e-19
 4084.11   1.8006e-18   2.8264e-19
 4087.19   1.6847e-18   2.8043e-19
 4090.26   1.4415e-18   2.7861e-19
 4093.34   1.4390e-18   2.7386e-19
 4096.41   1.7167e-18   2.8732e-19
 4099.49   1.8367e-18   2.7457e-19
 4102.56   1.9277e-18   2.7976e-19
 4105.63   1.6000e-18   2.6037e-19
 4108.71   1.7487e-18   2.6709e-19
 4111.78   1.8081e-18   2.7353e-19
 4114.86   1.8154e-18   2.7168e-19
 4117.93   1.9048e-18   2.6954e-19
 4121.01   1.9052e-18   2.6939e-19
 4124.08   2.1156e-18   2.7896e-19
 4127.15   2.2808e-18   2.7757e-19
 4130.23   2.1816e-18   2.7596e-19
 4133.30   2.1532e-18   2.8068e-19
 4136.38   2.0339e-18   2.7103e-19
 4139.45   1.8907e-18   2.7725e-19
 4142.53   1.7380e-18   2.6749e-19
 4145.60   1.9613e-18   2.7441e-19
 4148.67   2.1721e-18   2.8483e-19
 4151.75   2.0074e-18   2.8515e-19
 4154.82   2.4154e-18   3.0390e-19
 4157.90   2.1585e-18   2.8899e-19
 4160.97   2.0640e-18   2.8477e-19
 4164.05   1.7902e-18   2.7917e-19
 4167.12   2.2243e-18   2.9110e-19
 4170.19   1.9573e-18   2.8101e-19
 4173.27   1.8786e-18   2.8000e-19
 4176.34   1.8363e-18   2.7934e-19
 4179.42   2.0138e-18   2.7303e-19
 4182.49   1.9450e-18   2.7295e-19
 4185.56   1.9722e-18   2.7112e-19
 4188.64   2.1267e-18   2.6849e-19
 4191.71   2.4272e-18   2.7028e-19
 4194.79   2.2756e-18   2.6684e-19
 4197.86   2.1754e-18   2.6136e-19
 4200.94   2.3448e-18   2.6730e-19
 4204.01   2.4372e-18   2.7151e-19
 4207.08   2.2504e-18   2.6594e-19
 4210.16   2.2755e-18   2.6486e-19
 4213.23   2.2587e-18   2.6436e-19
 4216.31   2.1622e-18   2.5874e-19
 4219.38   2.3875e-18   2.6725e-19
 4222.46   2.5581e-18   2.6152e-19
 4225.53   2.7103e-18   2.6363e-19
 4228.60   2.3752e-18   2.5772e-19
 4231.68   2.2824e-18   2.5766e-19
 4234.75   2.3246e-18   2.6022e-19
 4237.83   2.2771e-18   2.5526e-19
 4240.90   2.4355e-18   2.6152e-19
 4243.98   2.3597e-18   2.6207e-19
 4247.05   2.4217e-18   2.6498e-19
 4250.12   2.4212e-18   2.6072e-19
 4253.20   2.4337e-18   2.5744e-19
 4256.27   2.2920e-18   2.5703e-19
 4259.35   2.1646e-18   2.5487e-19
 4262.42   2.4433e-18   2.6146e-19
 4265.50   2.3261e-18   2.6032e-19
 4268.57   2.3328e-18   2.5902e-19
 4271.64   2.4049e-18   2.5786e-19
 4274.72   2.3110e-18   2.5406e-19
 4277.79   2.2975e-18   2.5629e-19
 4280.87   2.2459e-18   2.5692e-19
 4283.94   2.0309e-18   2.4991e-19
 4287.02   2.1520e-18   2.5052e-19
 4290.09   2.0228e-18   2.4470e-19
