 
TRANSIENT_NAME:     DES15X1bw  
SNID:               1277168    
OBS_DATE:           2015-09-20
MJD:                57285. 
PHASE:              +10.   
MJD_MAX:            57274.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1300  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       4.2728      39.2497
 3757.75       7.9695      41.5166
 3758.79       2.9851      37.0921
 3759.83      -5.3838      32.9043
 3760.87      -1.8571      32.4467
 3761.90      -6.2393      31.0337
 3762.94       1.2591      33.8949
 3763.98       4.3072      37.4680
 3765.02       0.1768      33.7713
 3766.06      -1.6863      32.6930
 3767.09       2.5786      34.5729
 3768.13       3.4561      35.0923
 3769.17       0.0475      30.9845
 3770.21       2.9432      30.8708
 3771.24      -0.7892      31.1909
 3772.28      -0.4024      34.3078
 3773.32       4.7626      35.4850
 3774.36       1.3288      32.2944
 3775.40      -5.2864      28.8778
 3776.43       1.5261      31.5220
 3777.47       7.1813      35.3900
 3778.51       4.0789      32.5186
 3779.55      -2.5975      30.6416
 3780.58       3.7080      33.6721
 3781.62       0.2752      30.9094
 3782.66       2.1309      30.5551
 3783.70      -5.7425      28.6050
 3784.73      -8.1953      26.8314
 3785.77      -5.6105      29.1494
 3786.81      -1.1398      28.8404
 3787.85       3.3582      30.3426
 3788.89       4.5644      31.1647
 3789.92      -3.0464      28.2506
 3790.96       2.4035      30.1876
 3792.00       0.8612      27.4575
 3793.04      -1.6096      27.4783
 3794.07       4.4014      29.7498
 3795.11       2.2568      28.2809
 3796.15      -0.5254      28.0921
 3797.19      -1.8333      25.8579
 3798.23       6.5051      27.5908
 3799.26      10.8853      29.1664
 3800.30       4.1038      26.5412
 3801.34       2.5338      24.8137
 3802.38       5.9206      27.3918
 3803.41      -3.9488      24.0471
 3804.45      -2.6469      23.0524
 3805.49       0.3487      23.0945
 3806.53       1.3305      22.6237
 3807.57      -8.7029      19.6331
 3808.60      -8.0103      20.6861
 3809.64      -8.3556      18.9995
 3810.68      -5.3708      21.5811
 3811.72       0.1618      21.6389
 3812.75       6.6601      23.6114
 3813.79       0.0817      22.1630
 3814.83      -0.5411      21.0337
 3815.87      -1.8096      20.5748
 3816.90      -1.7099      20.3462
 3817.94      -5.7319      17.9438
 3818.98      -9.4545      16.9740
 3820.02     -10.1818      17.2034
 3821.06       1.3985      20.5691
 3822.09       7.8894      20.7646
 3823.13       9.9721      20.2875
 3824.17      -0.6575      17.2133
 3825.21      -3.0867      15.4620
 3826.24      -4.3653      14.3482
 3827.28       3.1970      17.4826
 3828.32      -1.4458      17.6626
 3829.36      -4.4460      17.1747
 3830.40      -2.2755      17.4705
 3831.43       4.8815      19.9989
 3832.47       1.3317      18.8430
 3833.51       1.5678      17.9269
 3834.55      -0.4801      15.9828
 3835.58      -3.7180      13.7518
 3836.62      -2.4040      14.9804
 3837.66      -1.3642      14.7244
 3838.70       2.5750      15.0724
 3839.74      -0.0554      14.2902
 3840.77      -1.5944      13.5345
 3841.81       1.0816      13.9334
 3842.85      -2.3233      13.1430
 3843.89       1.1071      14.1925
 3844.92      -2.0252      13.0858
 3845.96       3.0154      14.1176
 3847.00      -1.1561      13.5268
 3848.04       2.6320      14.0820
 3849.07      -6.9504      10.8952
 3850.11       1.6434      12.7873
 3851.15       0.2486      12.6797
 3852.19      -0.5654      12.6428
 3853.23      -1.3859      11.9097
 3854.26      -3.1991      11.6743
 3855.30      -2.3082      11.9750
 3856.34       3.8266      13.6905
 3857.38      -2.9391      11.7471
 3858.41      -3.9826      11.2401
 3859.45      -0.6329      11.2101
 3860.49      -0.1337      11.1206
 3861.53      -2.3227      10.8178
 3862.57      -1.6441      11.5922
 3863.60       0.4546      12.0816
 3864.64      -4.4412      10.6336
 3865.68       0.4139      11.7596
 3866.72      -0.5010      11.4940
 3867.75       4.2573      13.3670
 3868.79      -2.6202      11.0297
 3869.83      -0.6702      11.0131
 3870.87      -0.2587      10.6133
 3871.91       2.0659      11.0128
 3872.94       3.4807      11.6949
 3873.98      -3.4943      10.0724
 3875.02      -0.3898      10.7764
 3876.06       0.9367      11.3902
 3877.09      -0.3788      10.8179
