 
TRANSIENT_NAME:     DES15X1eei 
SNID:               1308568    
OBS_DATE:           2015-10-05
MJD:                57300. 
PHASE:              +6.    
MJD_MAX:            57289.9
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.6445  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00   2.5147e-19  ---
 3805.00   6.3898e-19  ---
 3810.00  -2.5492e-19  ---
 3815.00   2.4519e-19  ---
 3820.00  -5.1829e-19  ---
 3825.00  -2.5446e-19  ---
 3830.00   1.9782e-18  ---
 3835.00  -1.1912e-18  ---
 3840.00   7.7454e-19  ---
 3845.00   5.7892e-19  ---
 3850.00  -5.1069e-19  ---
 3855.00   7.2453e-19  ---
 3860.00  -7.4541e-20  ---
 3865.00   9.3236e-19  ---
 3870.00   1.3981e-19  ---
 3875.00   1.2092e-18  ---
 3880.00   4.2365e-19  ---
 3885.00   1.4193e-18  ---
 3890.00   9.9991e-19  ---
 3895.00   2.5018e-19  ---
 3900.00   5.4950e-19  ---
 3905.00   6.9596e-19  ---
 3910.00   6.2953e-19  ---
 3915.00  -2.2783e-19  ---
 3920.00   1.6598e-18  ---
 3925.00   3.7974e-19  ---
 3930.00   6.7947e-19  ---
 3935.00   5.6291e-19  ---
 3940.00   8.6834e-19  ---
 3945.00   1.0873e-18  ---
 3950.00   4.7334e-19  ---
 3955.00   8.3120e-19  ---
 3960.00   6.9599e-19  ---
 3965.00   1.0751e-19  ---
 3970.00   8.5992e-19  ---
 3975.00   5.8672e-19  ---
 3980.00   1.8158e-19  ---
 3985.00   9.8085e-19  ---
 3990.00   2.4526e-19  ---
 3995.00   1.0837e-18  ---
 4000.00   1.1344e-19  ---
 4005.00   4.8647e-19  ---
 4010.00   2.7284e-19  ---
 4015.00  -4.1188e-19  ---
 4020.00   1.0020e-18  ---
 4025.00   7.6472e-19  ---
 4030.00  -5.9093e-20  ---
 4035.00   7.9428e-19  ---
 4040.00   1.4300e-19  ---
 4045.00   5.9529e-19  ---
 4050.00   7.3160e-19  ---
 4055.00   1.2325e-18  ---
 4060.00   1.0685e-18  ---
 4065.00   9.5272e-19  ---
 4070.00   6.1042e-19  ---
 4075.00   1.0430e-18  ---
 4080.00   5.0003e-19  ---
 4085.00   9.5347e-19  ---
 4090.00   1.7155e-18  ---
 4095.00   6.6763e-19  ---
 4100.00   7.5975e-19  ---
 4105.00   1.2217e-18  ---
 4110.00   7.9104e-19  ---
 4115.00   6.0130e-19  ---
 4120.00   2.7501e-19  ---
 4125.00   8.7515e-19  ---
