 
TRANSIENT_NAME:     DES15X1mav 
SNID:               1334470    
OBS_DATE:           2015-11-05
MJD:                57331. 
PHASE:              -3.    
MJD_MAX:            57334.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5200  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00  -8.2231e-19  ---
 3805.00  -7.3194e-19  ---
 3810.00  -2.7063e-18  ---
 3815.00  -1.6737e-18  ---
 3820.00  -1.0986e-18  ---
 3825.00  -9.5055e-19  ---
 3830.00  -9.4941e-19  ---
 3835.00  -1.0242e-18  ---
 3840.00  -1.3565e-18  ---
 3845.00  -5.9251e-19  ---
 3850.00  -8.3102e-19  ---
 3855.00  -1.1094e-18  ---
 3860.00  -1.0576e-19  ---
 3865.00  -3.2096e-19  ---
 3870.00   2.2199e-19  ---
 3875.00  -3.3571e-19  ---
 3880.00  -8.4997e-19  ---
 3885.00  -4.7435e-19  ---
 3890.00   9.6860e-20  ---
 3895.00  -6.7041e-19  ---
 3900.00   6.2659e-19  ---
 3905.00  -5.4379e-20  ---
 3910.00  -1.2246e-19  ---
 3915.00  -1.6072e-19  ---
 3920.00  -8.5962e-19  ---
 3925.00   3.6901e-19  ---
 3930.00  -2.1258e-19  ---
 3935.00  -8.2519e-19  ---
 3940.00   2.6638e-20  ---
 3945.00  -1.0365e-18  ---
 3950.00  -6.2648e-19  ---
 3955.00  -1.3428e-19  ---
 3960.00   1.9569e-19  ---
 3965.00  -7.2842e-19  ---
 3970.00  -2.4520e-19  ---
 3975.00  -3.1108e-19  ---
 3980.00  -1.5237e-19  ---
 3985.00  -4.6641e-20  ---
 3990.00   2.4386e-19  ---
 3995.00  -1.6184e-19  ---
 4000.00  -1.2700e-19  ---
 4005.00  -4.4937e-20  ---
 4010.00   3.5537e-20  ---
 4015.00  -2.2818e-20  ---
 4020.00   2.0959e-19  ---
 4025.00  -2.9595e-20  ---
 4030.00  -4.7179e-20  ---
 4035.00  -1.2759e-20  ---
 4040.00   2.5701e-19  ---
 4045.00  -9.3074e-20  ---
 4050.00  -2.4828e-20  ---
 4055.00   4.8501e-21  ---
 4060.00  -3.0790e-20  ---
 4065.00  -5.8281e-20  ---
 4070.00   3.8884e-20  ---
 4075.00   4.8501e-20  ---
 4080.00   4.2737e-20  ---
 4085.00  -2.6421e-21  ---
 4090.00   4.5253e-21  ---
 4095.00   6.7045e-20  ---
 4100.00   1.2493e-19  ---
 4105.00   8.4176e-21  ---
 4110.00  -7.9446e-21  ---
 4115.00  -1.5469e-20  ---
 4120.00  -2.9040e-21  ---
 4125.00   1.7902e-20  ---
 4130.00  -3.3692e-21  ---
 4135.00   1.6647e-20  ---
 4140.00   1.4637e-20  ---
 4145.00   1.0812e-20  ---
 4150.00   4.2805e-20  ---
 4155.00   2.2910e-20  ---
 4160.00   3.9390e-21  ---
