 
TRANSIENT_NAME:     DES15X1mbc 
SNID:               1334448    
OBS_DATE:           2015-11-06
MJD:                57332. 
PHASE:              +1.    
MJD_MAX:            57330.9
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.5180  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GEMINI-N
INSTRUMENT:         GMOS-N
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 5400.00   1.9061e-18  ---
 5401.50   2.4856e-18  ---
 5403.00   2.0854e-18  ---
 5404.50   2.3590e-18  ---
 5406.00   5.4295e-18  ---
 5407.50   5.0931e-18  ---
 5409.00   2.8616e-18  ---
 5410.50   4.9977e-18  ---
 5412.00   3.6270e-18  ---
 5413.50   2.1818e-18  ---
 5415.00   1.9060e-18  ---
 5416.50   1.5281e-18  ---
 5418.00   9.2974e-19  ---
 5419.50   6.9777e-19  ---
 5421.00   2.8654e-18  ---
 5422.50   2.1568e-18  ---
 5424.00   1.7578e-18  ---
 5425.50   7.6995e-19  ---
 5427.00   2.1862e-18  ---
 5428.50   9.1315e-19  ---
 5430.00   1.8441e-18  ---
 5431.50   1.7043e-18  ---
 5433.00   1.8531e-18  ---
 5434.50   2.3728e-18  ---
 5436.00   2.3372e-18  ---
 5437.50   1.2410e-18  ---
 5439.00   1.6235e-18  ---
 5440.50   2.5576e-18  ---
 5442.00   2.6675e-18  ---
 5443.50   1.8013e-18  ---
 5445.00   2.0950e-18  ---
 5446.50   2.2237e-18  ---
 5448.00   2.8557e-18  ---
 5449.50   1.8422e-18  ---
 5451.00   2.8135e-18  ---
 5452.50   2.3497e-18  ---
 5454.00   1.8361e-18  ---
 5455.50   2.0611e-18  ---
 5457.00   1.8090e-18  ---
 5458.50   2.9811e-18  ---
 5460.00   1.4016e-18  ---
 5461.50   1.2524e-18  ---
 5463.00   7.0948e-19  ---
 5464.50   2.0277e-18  ---
 5466.00   2.5992e-18  ---
 5467.50   2.2536e-18  ---
 5469.00   2.3917e-18  ---
 5470.50   3.4131e-18  ---
 5472.00   1.8926e-18  ---
 5473.50   1.3810e-18  ---
 5475.00   2.2224e-18  ---
 5476.50   7.3717e-19  ---
 5478.00   1.7726e-18  ---
 5479.50   2.9353e-18  ---
 5481.00   1.5050e-18  ---
 5482.50   2.3195e-18  ---
 5484.00   3.8287e-18  ---
 5485.50   3.8646e-18  ---
 5487.00   3.5367e-18  ---
 5488.50   3.3743e-18  ---
 5490.00   3.0954e-18  ---
 5491.50   2.9802e-18  ---
 5493.00   3.4789e-18  ---
 5494.50   2.2982e-18  ---
 5496.00   1.2673e-18  ---
 5497.50   4.7622e-18  ---
 5499.00   3.6450e-18  ---
 5500.50   3.0239e-18  ---
 5502.00   2.3884e-18  ---
 5503.50   2.8794e-18  ---
 5505.00   3.2458e-18  ---
 5506.50   3.0944e-18  ---
 5508.00   3.5778e-18  ---
 5509.50   3.6838e-18  ---
 5511.00   2.9028e-18  ---
 5512.50   2.1146e-18  ---
 5514.00   1.7441e-18  ---
 5515.50   2.0550e-18  ---
 5517.00   1.7286e-18  ---
 5518.50   2.1339e-18  ---
 5520.00   3.4182e-18  ---
 5521.50   3.5067e-18  ---
 5523.00   1.9509e-18  ---
 5524.50   2.4613e-18  ---
 5526.00   2.9707e-18  ---
 5527.50   2.2552e-18  ---
 5529.00   2.6989e-18  ---
 5530.50   2.7866e-18  ---
 5532.00   2.8368e-18  ---
 5533.50   2.6970e-18  ---
 5535.00   2.5613e-18  ---
 5536.50   1.6437e-18  ---
 5538.00   1.5822e-18  ---
 5539.50   1.8171e-18  ---
 5541.00   1.0199e-18  ---
 5542.50   1.5134e-18  ---
 5544.00   1.6959e-18  ---
 5545.50   1.6118e-18  ---
 5547.00   2.4585e-18  ---
 5548.50   2.0903e-18  ---
 5550.00   2.8299e-18  ---
 5551.50   2.5923e-18  ---
 5553.00   2.0696e-18  ---
 5554.50   2.4296e-18  ---
 5556.00   2.9560e-18  ---
 5557.50   2.8903e-18  ---
 5559.00   2.0196e-18  ---
 5560.50   2.3012e-18  ---
 5562.00   2.2982e-18  ---
 5563.50   2.1946e-18  ---
 5565.00   2.4626e-18  ---
 5566.50   3.5093e-18  ---
 5568.00   3.1014e-18  ---
 5569.50   2.2209e-18  ---
 5571.00  -6.0148e-19  ---
 5572.50  -1.7026e-18  ---
 5574.00  -3.4316e-19  ---
 5575.50   2.2040e-18  ---
 5577.00   1.2284e-18  ---
 5578.50   1.6766e-18  ---
 5580.00   1.7379e-18  ---
 5581.50   1.9301e-18  ---
 5583.00   2.9791e-18  ---
 5584.50   2.8089e-18  ---
 5586.00   2.1314e-18  ---
 5587.50   2.0475e-18  ---
 5589.00   2.7007e-18  ---
 5590.50   2.4368e-18  ---
 5592.00   2.1990e-18  ---
 5593.50   1.4245e-18  ---
 5595.00   1.8720e-18  ---
 5596.50   3.0103e-18  ---
 5598.00   1.6377e-18  ---
 5599.50   1.5745e-18  ---
 5601.00   3.2472e-18  ---
 5602.50   3.5103e-18  ---
 5604.00   2.6073e-18  ---
 5605.50   1.1134e-18  ---
 5607.00   1.0430e-18  ---
 5608.50   2.3855e-18  ---
 5610.00   3.1914e-18  ---
 5611.50   2.4154e-18  ---
 5613.00   2.0750e-18  ---
 5614.50   1.3395e-18  ---
 5616.00   1.4270e-18  ---
 5617.50   1.7086e-18  ---
 5619.00   1.3546e-18  ---
 5620.50   1.0594e-18  ---
 5622.00   1.8571e-18  ---
 5623.50   1.6391e-18  ---
 5625.00   5.4633e-19  ---
 5626.50   1.9292e-18  ---
 5628.00   2.9982e-18  ---
 5629.50   2.7574e-18  ---
 5631.00   1.5751e-18  ---
 5632.50   1.1803e-18  ---
 5634.00   2.1391e-18  ---
 5635.50   2.3621e-18  ---
 5637.00   2.0255e-18  ---
 5638.50   2.3658e-18  ---
 5640.00   2.8225e-18  ---
 5641.50   1.7476e-18  ---
 5643.00   2.5154e-18  ---
 5644.50   2.0694e-18  ---
 5646.00   2.6089e-18  ---
 5647.50   3.2669e-18  ---
 5649.00   3.6377e-18  ---
 5650.50   4.2490e-18  ---
 5652.00   3.7375e-18  ---
 5653.50   4.1735e-18  ---
 5655.00   4.3206e-18  ---
 5656.50   3.8608e-18  ---
 5658.00   2.8072e-18  ---
 5659.50   2.0447e-18  ---
 5661.00   3.1438e-18  ---
 5662.50   3.1972e-18  ---
 5664.00   2.5422e-18  ---
 5665.50   2.9453e-18  ---
 5667.00   2.3455e-18  ---
 5668.50   1.0478e-18  ---
 5670.00   1.5039e-18  ---
 5671.50   2.1972e-18  ---
 5673.00   1.6974e-18  ---
 5674.50   2.2485e-18  ---
 5676.00   2.0876e-18  ---
 5677.50   2.3110e-18  ---
 5679.00   2.4562e-18  ---
 5680.50   2.0981e-18  ---
 5682.00   2.1987e-18  ---
 5683.50   8.4509e-19  ---
 5685.00   2.2609e-18  ---
 5686.50   3.8151e-18  ---
 5688.00   2.0516e-18  ---
 5689.50   2.2871e-18  ---
 5691.00   1.5181e-18  ---
 5692.50   1.6445e-18  ---
 5694.00   2.5258e-18  ---
 5695.50   2.8450e-18  ---
 5697.00   2.4895e-18  ---
 5698.50   1.6366e-18  ---
 5700.00   1.3794e-18  ---
 5701.50   1.4651e-18  ---
 5703.00   2.6399e-18  ---
 5704.50   2.2209e-18  ---
 5706.00   1.4470e-18  ---
 5707.50   1.1657e-18  ---
 5709.00   1.4364e-18  ---
 5710.50   1.2478e-18  ---
 5712.00   8.9316e-19  ---
 5713.50   1.8999e-18  ---
 5715.00   1.6815e-18  ---
 5716.50   1.6525e-18  ---
 5718.00   1.6702e-18  ---
 5719.50   1.2971e-18  ---
 5721.00   1.4733e-18  ---
 5722.50   7.8681e-19  ---
 5724.00   6.1787e-19  ---
 5725.50   1.4023e-18  ---
 5727.00   2.1436e-18  ---
 5728.50   2.9749e-18  ---
 5730.00   3.2305e-18  ---
 5731.50   2.4168e-18  ---
 5733.00   2.3375e-18  ---
 5734.50   2.0170e-18  ---
 5736.00   2.0522e-18  ---
 5737.50   2.6075e-18  ---
 5739.00   1.9897e-18  ---
 5740.50   2.0595e-18  ---
 5742.00   2.3734e-18  ---
 5743.50   1.6963e-18  ---
 5745.00   1.9280e-18  ---
 5746.50   2.7857e-18  ---
 5748.00   2.1113e-18  ---
 5749.50   1.3400e-18  ---
 5751.00   1.4675e-18  ---
 5752.50   2.1331e-18  ---
 5754.00   2.2834e-18  ---
 5755.50   1.5671e-18  ---
 5757.00   1.5057e-18  ---
 5758.50   8.9904e-19  ---
 5760.00   6.9181e-19  ---
 5761.50   8.0168e-19  ---
 5763.00   1.4462e-18  ---
 5764.50   2.4931e-18  ---
 5766.00   1.0431e-18  ---
 5767.50   1.1843e-18  ---
 5769.00   2.1273e-18  ---
 5770.50   1.5403e-18  ---
 5772.00   1.2634e-18  ---
 5773.50   1.8469e-18  ---
 5775.00   1.9192e-18  ---
 5776.50   1.7881e-18  ---
 5778.00   1.6864e-18  ---
 5779.50   1.6356e-18  ---
 5781.00   2.1923e-18  ---
 5782.50   2.0705e-18  ---
 5784.00   1.9118e-18  ---
 5785.50   2.3492e-18  ---
 5787.00   1.1728e-18  ---
 5788.50   1.6780e-18  ---
 5790.00   2.0171e-18  ---
