 
TRANSIENT_NAME:     DES15X1mvl 
SNID:               1337272    
OBS_DATE:           2015-12-03
MJD:                57359. 
PHASE:              +1.    
MJD_MAX:            57357.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5040  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00   9.8002e-20  ---
 3805.00  -4.4955e-19  ---
 3810.00  -1.5514e-18  ---
 3815.00  -9.5205e-19  ---
 3820.00  -5.7914e-19  ---
 3825.00  -2.1346e-19  ---
 3830.00  -9.6744e-19  ---
 3835.00  -7.9769e-19  ---
 3840.00  -5.0684e-19  ---
 3845.00   6.8197e-19  ---
 3850.00  -6.9386e-19  ---
 3855.00  -5.3073e-20  ---
 3860.00  -8.2961e-19  ---
 3865.00   8.5919e-20  ---
 3870.00  -5.3877e-21  ---
 3875.00   1.3350e-19  ---
 3880.00  -2.5044e-19  ---
 3885.00  -1.4346e-19  ---
 3890.00   2.8104e-19  ---
 3895.00  -2.9489e-19  ---
 3900.00  -3.9420e-19  ---
 3905.00  -3.2805e-19  ---
 3910.00  -1.3138e-19  ---
 3915.00  -8.1470e-20  ---
 3920.00  -2.4267e-19  ---
 3925.00   2.9883e-19  ---
 3930.00  -2.1809e-19  ---
 3935.00  -4.6432e-19  ---
 3940.00   3.9113e-20  ---
 3945.00  -3.4845e-19  ---
 3950.00  -3.7729e-20  ---
 3955.00  -3.3404e-19  ---
 3960.00  -3.9032e-19  ---
 3965.00  -4.4193e-19  ---
 3970.00   3.3810e-20  ---
 3975.00  -1.2037e-19  ---
 3980.00   3.7056e-20  ---
 3985.00   7.4125e-20  ---
 3990.00  -3.6309e-19  ---
 3995.00   2.1539e-19  ---
 4000.00  -3.4457e-19  ---
 4005.00  -2.1418e-19  ---
 4010.00  -3.4509e-19  ---
 4015.00   2.4869e-19  ---
 4020.00  -9.7543e-19  ---
 4025.00  -1.7732e-19  ---
 4030.00  -9.0525e-19  ---
 4035.00  -1.8456e-19  ---
 4040.00  -2.6610e-19  ---
 4045.00  -1.1182e-18  ---
 4050.00   6.0083e-19  ---
 4055.00  -6.2419e-19  ---
 4060.00   4.3952e-19  ---
 4065.00  -2.5028e-19  ---
 4070.00  -6.9553e-20  ---
 4075.00  -6.3117e-19  ---
 4080.00   1.6594e-19  ---
 4085.00   6.7112e-20  ---
 4090.00   5.7339e-19  ---
 4095.00   1.2454e-19  ---
 4100.00   4.8714e-19  ---
 4105.00   5.6720e-20  ---
 4110.00  -4.5569e-19  ---
 4115.00   6.4972e-19  ---
 4120.00  -7.6573e-20  ---
 4125.00  -2.5766e-19  ---
 4130.00  -7.5159e-19  ---
 4135.00   7.7702e-19  ---
 4140.00   1.0675e-18  ---
 4145.00  -8.3530e-19  ---
 4150.00   7.1629e-19  ---
 4155.00  -2.5943e-19  ---
 4160.00   3.2775e-19  ---
 4165.00   6.1335e-19  ---
 4170.00   4.2221e-19  ---
 4175.00   2.7167e-19  ---
 4180.00  -6.1994e-19  ---
 4185.00  -1.2816e-19  ---
 4190.00   3.4089e-20  ---
 4195.00   1.7954e-19  ---
 4200.00  -3.5196e-19  ---
