 
TRANSIENT_NAME:     DES15X1mwg 
SNID:               1338233    
OBS_DATE:           2015-12-09
MJD:                57365. 
PHASE:              +6.    
MJD_MAX:            57355.9
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.6030  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GEMINI-N
INSTRUMENT:         GMOS-N
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 5400.00   1.8314e-18  ---
 5401.50   6.9162e-19  ---
 5403.00  -3.7454e-19  ---
 5404.50   1.5468e-19  ---
 5406.00   1.1989e-19  ---
 5407.50   2.5684e-20  ---
 5409.00   4.4732e-19  ---
 5410.50   1.5914e-19  ---
 5412.00  -3.5219e-19  ---
 5413.50  -3.0948e-19  ---
 5415.00  -1.5058e-19  ---
 5416.50   1.0981e-18  ---
 5418.00   8.6131e-19  ---
 5419.50  -3.5819e-19  ---
 5421.00   1.3337e-19  ---
 5422.50   1.4970e-19  ---
 5424.00  -3.3914e-19  ---
 5425.50  -3.4107e-19  ---
 5427.00   2.5151e-19  ---
 5428.50   8.5527e-19  ---
 5430.00   8.7598e-19  ---
 5431.50   4.0398e-19  ---
 5433.00   7.6359e-19  ---
 5434.50   6.0667e-21  ---
 5436.00   1.2379e-18  ---
 5437.50   1.4779e-18  ---
 5439.00   4.3161e-19  ---
 5440.50  -1.2173e-19  ---
 5442.00   1.3032e-19  ---
 5443.50  -3.3265e-21  ---
 5445.00   5.6870e-20  ---
 5446.50   9.7128e-19  ---
 5448.00   1.0987e-18  ---
 5449.50   8.4256e-19  ---
 5451.00   1.2007e-18  ---
 5452.50   1.2016e-18  ---
 5454.00   3.1832e-19  ---
 5455.50   2.7142e-22  ---
 5457.00   5.0462e-19  ---
 5458.50   1.0937e-18  ---
 5460.00  -4.7122e-20  ---
 5461.50   1.4276e-19  ---
 5463.00   9.4954e-20  ---
 5464.50  -2.2745e-19  ---
 5466.00   1.0808e-19  ---
 5467.50   1.5097e-19  ---
 5469.00  -2.2759e-19  ---
 5470.50  -4.4053e-19  ---
 5472.00  -9.5711e-20  ---
 5473.50  -2.3280e-19  ---
 5475.00  -4.1920e-20  ---
 5476.50   4.9470e-19  ---
 5478.00   4.9062e-19  ---
 5479.50   5.7615e-19  ---
 5481.00   1.9864e-19  ---
 5482.50   8.0832e-20  ---
 5484.00   4.9529e-19  ---
 5485.50   9.1856e-19  ---
 5487.00   8.0298e-19  ---
 5488.50   6.3872e-19  ---
 5490.00   7.6607e-19  ---
 5491.50   4.0961e-19  ---
 5493.00  -7.7664e-20  ---
 5494.50   7.4161e-19  ---
 5496.00   6.0290e-19  ---
 5497.50   6.9905e-19  ---
 5499.00   9.0542e-19  ---
 5500.50   6.7481e-19  ---
 5502.00   2.6742e-19  ---
 5503.50   1.9928e-19  ---
 5505.00   3.7980e-19  ---
 5506.50   7.0446e-19  ---
 5508.00   9.1240e-20  ---
 5509.50  -7.6064e-19  ---
 5511.00   1.3438e-19  ---
 5512.50   5.4518e-19  ---
 5514.00   7.7120e-20  ---
 5515.50   1.0738e-18  ---
 5517.00   9.3593e-19  ---
 5518.50   4.9913e-19  ---
 5520.00   3.2399e-19  ---
 5521.50   5.2964e-19  ---
 5523.00   7.1960e-19  ---
 5524.50   4.2796e-19  ---
 5526.00   2.8752e-19  ---
 5527.50   4.9521e-19  ---
 5529.00  -3.0083e-20  ---
 5530.50   3.8471e-19  ---
 5532.00   7.6483e-19  ---
 5533.50   7.1908e-19  ---
 5535.00   5.9605e-19  ---
 5536.50   7.4515e-19  ---
 5538.00   6.8609e-19  ---
 5539.50   4.7269e-19  ---
 5541.00   4.5248e-19  ---
 5542.50   1.0038e-18  ---
 5544.00   1.2497e-19  ---
 5545.50  -4.5904e-19  ---
 5547.00  -6.9284e-20  ---
 5548.50   3.9818e-19  ---
 5550.00   4.9137e-19  ---
 5551.50   1.8737e-19  ---
 5553.00   5.6104e-19  ---
 5554.50   3.9680e-19  ---
 5556.00   1.6746e-19  ---
 5557.50   4.0456e-19  ---
 5559.00   7.6800e-19  ---
 5560.50   4.5983e-19  ---
 5562.00   5.2681e-20  ---
 5563.50   2.2761e-20  ---
 5565.00   2.4143e-19  ---
 5566.50   1.7080e-19  ---
 5568.00  -2.8328e-19  ---
 5569.50  -1.3346e-19  ---
 5571.00   5.7810e-19  ---
 5572.50  -7.2513e-19  ---
 5574.00   1.2228e-18  ---
 5575.50  -9.2504e-19  ---
 5577.00   1.2104e-18  ---
 5578.50   2.6435e-18  ---
 5580.00  -1.7440e-19  ---
 5581.50  -2.4674e-20  ---
 5583.00  -8.9195e-20  ---
 5584.50   1.0195e-19  ---
 5586.00   9.6933e-20  ---
 5587.50  -3.1192e-20  ---
 5589.00   2.9687e-19  ---
 5590.50   2.2226e-19  ---
 5592.00  -3.7550e-20  ---
 5593.50   1.7906e-20  ---
 5595.00   3.4715e-19  ---
 5596.50   6.6511e-19  ---
 5598.00   7.4180e-19  ---
 5599.50   9.9436e-19  ---
 5601.00   8.3813e-19  ---
 5602.50   1.1031e-18  ---
 5604.00   7.0693e-19  ---
 5605.50   1.0105e-20  ---
 5607.00   5.5468e-19  ---
 5608.50   8.5181e-19  ---
 5610.00   2.1871e-19  ---
 5611.50  -1.2723e-20  ---
 5613.00   5.7446e-19  ---
 5614.50   8.5664e-19  ---
 5616.00   6.7862e-19  ---
 5617.50   5.2465e-19  ---
 5619.00   4.7287e-19  ---
 5620.50   6.6579e-19  ---
 5622.00   1.0757e-18  ---
 5623.50   6.3779e-19  ---
 5625.00   2.1924e-19  ---
 5626.50   2.8503e-19  ---
 5628.00   7.6651e-19  ---
 5629.50   1.0214e-18  ---
 5631.00   7.5158e-19  ---
 5632.50   1.5514e-19  ---
 5634.00   5.8284e-19  ---
 5635.50   1.0452e-18  ---
 5637.00   5.7529e-19  ---
 5638.50   3.2350e-19  ---
 5640.00   7.7687e-19  ---
 5641.50   4.8663e-20  ---
 5643.00   4.9730e-19  ---
 5644.50   8.5490e-19  ---
 5646.00   9.6609e-19  ---
 5647.50   6.2695e-19  ---
 5649.00   4.3061e-19  ---
 5650.50   7.5609e-19  ---
 5652.00   9.0115e-19  ---
 5653.50   8.7521e-19  ---
 5655.00   1.0071e-18  ---
 5656.50   3.1981e-19  ---
 5658.00   1.0807e-18  ---
 5659.50   1.3461e-18  ---
 5661.00   7.6778e-19  ---
 5662.50   1.1469e-18  ---
 5664.00   1.2599e-18  ---
 5665.50   1.0855e-18  ---
 5667.00   9.1651e-19  ---
 5668.50   3.2136e-19  ---
