 
TRANSIENT_NAME:     DES15X2asp 
SNID:               1282736    
OBS_DATE:           2015-09-08
MJD:                57273. 
PHASE:              +5.    
MJD_MAX:            57266.7
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3700  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3712.00  -4.7352e-01  ---
 3713.99  -4.7575e-01  ---
 3715.98  -3.0689e-01  ---
 3717.97   1.0389e+00  ---
 3719.96   1.1107e+00  ---
 3721.95   2.2224e-01  ---
 3723.94   9.9348e-01  ---
 3725.93   1.3380e+00  ---
 3727.92   1.3413e+00  ---
 3729.91   1.4507e+00  ---
 3731.90   4.4054e-01  ---
 3733.89   1.2509e+00  ---
 3735.88   1.6435e-01  ---
 3737.87   9.8225e-01  ---
 3739.86   4.3814e-01  ---
 3741.85  -4.4786e-01  ---
 3743.84  -2.7688e-01  ---
 3745.83   1.3615e-01  ---
 3747.82  -2.7303e-01  ---
 3749.81   1.4202e-01  ---
 3751.80   7.1677e-01  ---
 3753.79   4.7318e-02  ---
 3755.78  -4.2300e-02  ---
 3757.77   3.2193e-01  ---
 3759.76   1.1638e-01  ---
 3761.75   6.5487e-01  ---
 3763.74   1.3886e-01  ---
 3765.73   1.8230e-01  ---
 3767.72   2.7836e-01  ---
 3769.71   4.4356e-01  ---
 3771.70   7.1027e-01  ---
 3773.69   1.4975e-01  ---
 3775.68  -3.4568e-01  ---
 3777.67   1.9944e-01  ---
 3779.66  -7.8129e-02  ---
 3781.65  -3.2059e-01  ---
 3783.64   9.9969e-02  ---
 3785.63  -1.2424e-01  ---
 3787.62  -2.1462e-01  ---
 3789.61  -2.4841e-01  ---
 3791.60   4.6488e-02  ---
 3793.59   4.0522e-01  ---
 3795.58  -2.4011e-01  ---
 3797.57   9.8421e-02  ---
 3799.56   5.4003e-02  ---
 3801.55   2.9413e-01  ---
 3803.54   4.1071e-01  ---
 3805.53  -1.2997e-01  ---
 3807.52   7.8869e-02  ---
 3809.51   4.0325e-02  ---
 3811.50  -6.0271e-01  ---
 3813.49  -7.4058e-01  ---
 3815.48  -4.5065e-02  ---
 3817.47   4.5084e-01  ---
 3819.46   2.1581e-01  ---
 3821.45   1.2225e-01  ---
 3823.44   3.4475e-01  ---
 3825.43   7.5933e-02  ---
 3827.42  -3.4460e-01  ---
 3829.41  -3.3224e-01  ---
 3831.40   1.3308e-01  ---
 3833.39   2.9105e-01  ---
 3835.38  -4.6681e-01  ---
 3837.37  -5.5766e-01  ---
 3839.36   3.2955e-02  ---
 3841.35   4.4363e-01  ---
 3843.34  -9.5315e-02  ---
 3845.33   3.8081e-01  ---
 3847.32  -2.9801e-01  ---
 3849.31  -5.8856e-01  ---
 3851.30  -1.0885e-01  ---
 3853.29   1.4426e-01  ---
 3855.28   1.9879e-01  ---
 3857.27  -1.9656e-01  ---
 3859.26   5.2511e-02  ---
 3861.25  -3.8173e-01  ---
 3863.24   3.0820e-01  ---
 3865.23   8.3243e-02  ---
 3867.22   3.6746e-01  ---
 3869.21   9.1358e-01  ---
 3871.20   2.6843e-01  ---
 3873.19   2.6447e-01  ---
 3875.18   4.1570e-02  ---
 3877.17  -6.4706e-01  ---
 3879.16  -8.7290e-02  ---
 3881.15   2.7487e-01  ---
 3883.14   2.5750e-01  ---
 3885.13   5.5503e-01  ---
 3887.12   8.3388e-01  ---
 3889.11   6.5850e-01  ---
 3891.10   5.8822e-01  ---
 3893.09   5.4391e-01  ---
 3895.08   1.5613e-01  ---
 3897.07   4.8947e-01  ---
 3899.06   2.8578e-02  ---
 3901.05  -1.8539e-01  ---
 3903.04   1.3203e-01  ---
 3905.03   4.9377e-01  ---
 3907.02   5.4314e-01  ---
 3909.01  -3.8220e-02  ---
 3911.00   2.0842e-01  ---
 3912.99   4.7644e-01  ---
 3914.98   3.2488e-01  ---
 3916.97   5.1121e-01  ---
 3918.96  -7.5513e-02  ---
 3920.95   1.3430e-01  ---
 3922.94   7.1310e-01  ---
 3924.93   3.1268e-01  ---
 3926.92   3.4889e-02  ---
 3928.91   1.0216e-01  ---
 3930.90   2.2647e-01  ---
 3932.89  -7.2313e-02  ---
 3934.88  -2.8960e-01  ---
 3936.87  -8.8301e-02  ---
 3938.86  -2.2754e-02  ---
 3940.85  -7.9857e-02  ---
 3942.84   2.3729e-01  ---
 3944.83   3.9834e-01  ---
 3946.82   2.2321e-01  ---
 3948.81   3.9022e-01  ---
 3950.80  -7.0283e-02  ---
 3952.79  -2.0070e-01  ---
 3954.78  -2.9210e-01  ---
 3956.77  -2.1760e-01  ---
 3958.76  -2.4408e-01  ---
 3960.75   2.5049e-02  ---
 3962.74   6.0400e-02  ---
 3964.73  -3.0258e-02  ---
 3966.72   6.7025e-02  ---
 3968.71  -1.0943e-01  ---
 3970.70  -2.8161e-01  ---
 3972.69  -2.9178e-01  ---
 3974.68  -3.5367e-01  ---
 3976.67   5.0113e-02  ---
 3978.66  -4.6898e-02  ---
 3980.65  -2.3097e-01  ---
 3982.64   1.1860e-01  ---
 3984.63  -1.8391e-01  ---
 3986.62  -2.1085e-01  ---
 3988.61  -1.7947e-02  ---
 3990.60   1.7622e-01  ---
 3992.59  -6.7741e-02  ---
 3994.58   1.0968e-01  ---
 3996.57   9.4391e-02  ---
 3998.56  -1.0514e-02  ---
 4000.55  -1.6383e-01  ---
 4002.54   1.4967e-01  ---
 4004.53   1.0079e-01  ---
 4006.52   2.8796e-01  ---
 4008.51  -3.2534e-02  ---
 4010.50   4.0522e-02  ---
 4012.49  -6.2813e-02  ---
 4014.48  -1.8191e-01  ---
 4016.47  -3.0464e-01  ---
 4018.46  -2.6756e-02  ---
 4020.45   1.6187e-01  ---
 4022.44  -1.7050e-01  ---
 4024.43  -1.1158e-01  ---
 4026.42   1.0836e-01  ---
 4028.41   1.9086e-01  ---
 4030.40  -5.1171e-02  ---
 4032.39  -1.0351e-01  ---
 4034.38   1.4478e-01  ---
 4036.37   1.3291e-01  ---
 4038.36  -1.0675e-01  ---
 4040.35  -2.5361e-02  ---
 4042.34   3.8342e-01  ---
 4044.33   2.1378e-01  ---
 4046.32   7.9469e-02  ---
 4048.31   1.2580e-01  ---
 4050.30   7.3360e-02  ---
 4052.29  -2.6595e-01  ---
 4054.28   1.0356e-01  ---
 4056.27  -3.0788e-02  ---
 4058.26  -9.2089e-02  ---
 4060.25   9.4172e-02  ---
 4062.24   1.5809e-01  ---
 4064.23   5.3673e-02  ---
 4066.22  -1.2985e-01  ---
 4068.21   3.2996e-02  ---
 4070.20  -6.1813e-02  ---
 4072.19  -2.2080e-01  ---
 4074.18  -1.9104e-01  ---
 4076.17   1.5593e-01  ---
 4078.16   4.2122e-01  ---
 4080.15  -5.4082e-03  ---
 4082.14   2.1884e-01  ---
 4084.13   2.2017e-01  ---
 4086.12  -6.8894e-02  ---
 4088.11   1.0032e-01  ---
 4090.10   1.1648e-01  ---
 4092.09   1.6316e-01  ---
 4094.08  -7.8716e-02  ---
 4096.07   6.4954e-03  ---
 4098.06   1.7837e-01  ---
 4100.05  -3.7518e-02  ---
 4102.04   1.3636e-01  ---
