 
TRANSIENT_NAME:     DES15X2asq 
SNID:               1282757    
OBS_DATE:           2015-09-21
MJD:                57286. 
PHASE:              +9.    
MJD_MAX:            57273.9
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2800  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       2.6042      39.5420
 3757.75       0.3104      35.8777
 3758.79      -1.3063      37.4368
 3759.83       0.3351      38.3694
 3760.87      -5.8964      35.3297
 3761.90      -1.5957      37.2330
 3762.94       3.3098      38.9213
 3763.98       4.2863      38.8987
 3765.02       2.1297      35.7052
 3766.06       0.7329      37.3979
 3767.09       1.7377      38.4922
 3768.13       1.3444      35.5940
 3769.17      -6.5254      32.3690
 3770.21       4.0827      38.1372
 3771.24       5.4113      37.7924
 3772.28      -5.0761      33.9374
 3773.32      -2.2580      32.8159
 3774.36      -3.7665      32.8721
 3775.40       2.3273      37.3108
 3776.43       5.0218      36.1939
 3777.47      -2.3917      32.9466
 3778.51       6.8062      36.8330
 3779.55       4.8993      35.5638
 3780.58       2.1329      33.4582
 3781.62       5.4068      35.6970
 3782.66      -2.6517      31.0058
 3783.70      -6.0791      30.2879
 3784.73       2.1051      34.7778
 3785.77       1.8773      33.3502
 3786.81      -4.7699      28.7789
 3787.85       2.5162      31.9445
 3788.89      -3.8134      30.6711
 3789.92       2.7343      31.7635
 3790.96       2.9015      30.4729
 3792.00       0.0283      30.4613
 3793.04       4.6293      32.3573
 3794.07       4.5055      30.9750
 3795.11      -0.9331      28.3231
 3796.15      -2.7680      28.1048
 3797.19       0.2432      28.9247
 3798.23       1.3339      28.0383
 3799.26       2.6285      27.7416
 3800.30       3.9365      29.1849
 3801.34       0.3846      28.4829
 3802.38      -1.6948      26.1592
 3803.41      -1.6587      25.2928
 3804.45      -3.1298      24.1724
 3805.49       1.2083      25.4862
 3806.53       1.5564      24.6282
 3807.57      -1.3421      23.2732
 3808.60       0.0503      22.5906
