 
TRANSIENT_NAME:     DES15X2dzq 
SNID:               1303952    
OBS_DATE:           2015-10-06
MJD:                57301. 
PHASE:              +8.    
MJD_MAX:            57289.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5600  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00  -5.0726e-19  ---
 3805.00   7.7865e-19  ---
 3810.00  -5.6694e-19  ---
 3815.00  -1.7504e-18  ---
 3820.00  -7.6662e-19  ---
 3825.00  -6.3486e-19  ---
 3830.00   6.5176e-19  ---
 3835.00  -5.7917e-19  ---
 3840.00  -1.1543e-18  ---
 3845.00   3.3170e-19  ---
 3850.00  -4.0528e-19  ---
 3855.00   1.2750e-18  ---
 3860.00  -8.4997e-19  ---
 3865.00  -9.7487e-19  ---
 3870.00  -1.6569e-18  ---
 3875.00  -7.8300e-22  ---
 3880.00  -1.1384e-18  ---
 3885.00  -2.5287e-19  ---
 3890.00   5.3450e-19  ---
 3895.00   4.6017e-19  ---
 3900.00  -8.6252e-19  ---
 3905.00  -1.8619e-18  ---
 3910.00  -1.3318e-18  ---
 3915.00  -1.1082e-18  ---
 3920.00  -9.8421e-19  ---
 3925.00   3.5547e-19  ---
 3930.00  -1.0138e-18  ---
 3935.00  -4.1314e-19  ---
 3940.00  -4.3453e-19  ---
 3945.00   3.1498e-19  ---
 3950.00  -2.6287e-19  ---
 3955.00  -9.6515e-19  ---
 3960.00  -2.9005e-19  ---
 3965.00   2.0837e-19  ---
 3970.00  -1.2623e-18  ---
 3975.00  -1.4616e-18  ---
 3980.00   3.0142e-19  ---
 3985.00  -9.9380e-19  ---
 3990.00  -2.8254e-19  ---
 3995.00  -8.8380e-19  ---
 4000.00  -1.2853e-18  ---
 4005.00  -1.5811e-19  ---
 4010.00  -6.4630e-19  ---
 4015.00  -6.5935e-19  ---
 4020.00   3.4861e-19  ---
 4025.00  -1.5311e-18  ---
 4030.00  -6.0558e-19  ---
 4035.00  -6.0570e-19  ---
 4040.00  -6.5830e-19  ---
 4045.00  -1.1596e-18  ---
 4050.00  -1.5001e-20  ---
 4055.00   3.4157e-19  ---
 4060.00   1.1662e-19  ---
 4065.00   4.4890e-19  ---
