 
TRANSIENT_NAME:     DES15X2lxv 
SNID:               1334644    
OBS_DATE:           2015-11-13
MJD:                57339. 
PHASE:              +5.    
MJD_MAX:            57332.2
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2891  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4250.12   1.6875e-18  ---
 4252.11   3.7770e-18  ---
 4254.10   3.6753e-18  ---
 4256.09   6.1860e-18  ---
 4258.07   6.9965e-19  ---
 4260.06   4.2232e-19  ---
 4262.05  -2.9497e-18  ---
 4264.04  -1.3245e-18  ---
 4266.03   3.1950e-18  ---
 4268.02   1.1424e-18  ---
 4270.01   1.4663e-18  ---
 4272.00  -3.6784e-19  ---
 4273.99  -4.6528e-18  ---
 4275.97  -9.9912e-19  ---
 4277.96  -1.1340e-19  ---
 4279.95  -1.8623e-19  ---
 4281.94  -6.7539e-19  ---
 4283.93   3.4942e-19  ---
 4285.92   3.0635e-19  ---
 4287.91  -4.6626e-19  ---
 4289.90   6.7145e-19  ---
 4291.89  -9.2428e-19  ---
 4293.87   4.4463e-18  ---
 4295.86   8.9954e-19  ---
 4297.85  -2.9774e-18  ---
 4299.84   4.0954e-18  ---
 4301.83   4.0337e-18  ---
 4303.82   1.0317e-18  ---
 4305.81   2.0307e-18  ---
 4307.80   2.9715e-18  ---
 4309.79   8.1313e-18  ---
 4311.77   5.3929e-18  ---
 4313.76  -5.6470e-19  ---
 4315.75   1.6984e-18  ---
 4317.74  -1.7467e-19  ---
 4319.73  -3.7173e-18  ---
 4321.72  -2.2235e-18  ---
 4323.71   2.9918e-18  ---
 4325.70   2.2738e-18  ---
 4327.68  -2.3356e-18  ---
 4329.67   1.2726e-18  ---
 4331.66   3.4531e-18  ---
 4333.65  -1.3021e-19  ---
 4335.64  -5.0526e-19  ---
 4337.63  -1.3718e-18  ---
 4339.62  -3.5479e-18  ---
 4341.61  -8.9951e-20  ---
 4343.60   1.8221e-18  ---
 4345.58   1.0429e-18  ---
 4347.57   8.1721e-19  ---
 4349.56   2.6771e-18  ---
 4351.55   2.8191e-18  ---
 4353.54  -6.3671e-19  ---
 4355.53  -2.9100e-18  ---
 4357.52  -2.6584e-18  ---
 4359.51   4.7691e-18  ---
 4361.50   3.8568e-18  ---
 4363.48   6.2755e-18  ---
 4365.47   5.4677e-18  ---
 4367.46   7.3571e-18  ---
 4369.45   5.6346e-18  ---
 4371.44   1.9939e-18  ---
 4373.43   1.9728e-18  ---
 4375.42   5.4472e-20  ---
 4377.41  -3.3387e-18  ---
 4379.40   7.5024e-18  ---
 4381.38   7.4209e-18  ---
 4383.37   5.8178e-18  ---
 4385.36   1.2734e-17  ---
 4387.35   5.6032e-18  ---
 4389.34   3.1250e-18  ---
 4391.33   2.6600e-18  ---
 4393.32   4.0237e-18  ---
 4395.31   9.2241e-19  ---
 4397.29   5.5699e-18  ---
 4399.28   1.8776e-18  ---
 4401.27   4.2661e-18  ---
 4403.26   4.8232e-18  ---
 4405.25   3.7687e-19  ---
 4407.24   4.1515e-18  ---
 4409.23   3.6631e-18  ---
 4411.22  -3.6509e-21  ---
 4413.21   3.5088e-18  ---
 4415.19   2.7012e-18  ---
 4417.18   4.1621e-18  ---
 4419.17   1.3921e-18  ---
 4421.16   2.1107e-18  ---
 4423.15   3.0537e-18  ---
 4425.14   1.9812e-18  ---
 4427.13   1.8831e-18  ---
 4429.12   2.5327e-18  ---
 4431.11   6.8588e-18  ---
 4433.09   6.0127e-18  ---
 4435.08   2.5764e-18  ---
 4437.07   8.1963e-20  ---
 4439.06   1.4146e-18  ---
 4441.05   3.5352e-18  ---
 4443.04   5.8401e-18  ---
 4445.03   5.4882e-18  ---
 4447.02   6.7977e-18  ---
 4449.00   5.6611e-18  ---
 4450.99   6.5994e-18  ---
 4452.98   4.4832e-18  ---
 4454.97   3.5928e-18  ---
 4456.96   5.1960e-18  ---
 4458.95   5.3517e-18  ---
 4460.94   7.6515e-18  ---
 4462.93   3.8608e-18  ---
 4464.92   2.4280e-18  ---
 4466.90  -1.5000e-18  ---
 4468.89   6.8551e-19  ---
 4470.88   5.2517e-18  ---
 4472.87   6.6294e-19  ---
 4474.86   8.6936e-19  ---
 4476.85   5.2286e-18  ---
 4478.84   3.2217e-18  ---
 4480.83   4.1383e-18  ---
 4482.82   5.3741e-18  ---
 4484.80   5.9738e-18  ---
 4486.79   5.6765e-18  ---
 4488.78   4.4955e-18  ---
 4490.77   7.2770e-18  ---
 4492.76   6.9832e-18  ---
 4494.75   3.9997e-18  ---
 4496.74   7.9658e-18  ---
 4498.73   5.0512e-18  ---
 4500.72   2.0470e-18  ---
 4502.70   6.2957e-18  ---
 4504.69   1.2077e-18  ---
 4506.68   6.1471e-18  ---
 4508.67   5.9293e-18  ---
 4510.66   5.1636e-18  ---
 4512.65   5.9045e-18  ---
 4514.64   1.9972e-18  ---
 4516.63   5.2689e-19  ---
 4518.61   7.4903e-18  ---
 4520.60   9.3416e-18  ---
 4522.59   6.1662e-18  ---
 4524.58   4.4478e-18  ---
 4526.57   4.6041e-18  ---
 4528.56   6.9423e-18  ---
 4530.55   5.3796e-18  ---
 4532.54   6.8191e-18  ---
 4534.53   6.3033e-18  ---
 4536.51   7.2927e-18  ---
 4538.50   7.1909e-18  ---
 4540.49   3.8239e-18  ---
 4542.48   5.9818e-18  ---
 4544.47   9.5457e-18  ---
 4546.46   8.0090e-18  ---
 4548.45   4.1113e-18  ---
 4550.44   3.8900e-18  ---
 4552.43   4.9992e-18  ---
 4554.41   7.2085e-18  ---
 4556.40   8.4462e-18  ---
 4558.39   8.3853e-18  ---
 4560.38   1.1142e-17  ---
 4562.37   1.0480e-17  ---
 4564.36   8.7204e-18  ---
 4566.35   1.1339e-17  ---
 4568.34   7.1374e-18  ---
 4570.33   6.1374e-18  ---
 4572.31   9.0690e-18  ---
 4574.30   7.7957e-18  ---
 4576.29   9.6970e-18  ---
 4578.28   6.8873e-18  ---
 4580.27   6.5594e-18  ---
 4582.26   3.8503e-18  ---
 4584.25   6.2539e-18  ---
 4586.24   9.6396e-18  ---
 4588.22   7.7463e-18  ---
 4590.21   7.0249e-18  ---
 4592.20   9.7782e-18  ---
 4594.19   6.9123e-18  ---
 4596.18   2.7034e-18  ---
 4598.17   7.3712e-18  ---
 4600.16   7.6031e-18  ---
 4602.15   7.5032e-18  ---
 4604.14   6.0154e-18  ---
 4606.12   6.2848e-18  ---
 4608.11   7.4509e-18  ---
 4610.10   8.1512e-18  ---
 4612.09   6.7822e-18  ---
 4614.08   8.3291e-18  ---
 4616.07   9.9493e-18  ---
 4618.06   9.2331e-18  ---
 4620.05   7.1096e-18  ---
 4622.04   7.3822e-18  ---
 4624.02   8.1203e-18  ---
 4626.01   6.8458e-18  ---
 4628.00   5.4769e-18  ---
 4629.99   7.9005e-18  ---
 4631.98   1.0034e-17  ---
 4633.97   6.8525e-18  ---
 4635.96   7.9999e-18  ---
 4637.95   6.4381e-18  ---
 4639.94   5.1884e-18  ---
 4641.92   5.4225e-18  ---
 4643.91   6.6627e-18  ---
 4645.90   8.8860e-18  ---
 4647.89   6.8812e-18  ---
 4649.88   6.5905e-18  ---
 4651.87   8.4897e-18  ---
 4653.86   7.6718e-18  ---
 4655.85   7.4364e-18  ---
 4657.83   6.4856e-18  ---
 4659.82   4.2879e-18  ---
 4661.81   5.0454e-18  ---
 4663.80   4.9612e-18  ---
 4665.79   9.3030e-18  ---
 4667.78   8.7010e-18  ---
 4669.77   8.9348e-18  ---
 4671.76   9.0973e-18  ---
 4673.75   7.6551e-18  ---
 4675.73   8.1244e-18  ---
 4677.72   7.5422e-18  ---
 4679.71   9.8986e-18  ---
 4681.70   8.4507e-18  ---
 4683.69   9.7523e-18  ---
 4685.68   8.1605e-18  ---
 4687.67   8.6262e-18  ---
 4689.66   8.1840e-18  ---
 4691.65   8.0957e-18  ---
 4693.63   9.2083e-18  ---
 4695.62   8.2180e-18  ---
 4697.61   9.4155e-18  ---
 4699.60   1.2055e-17  ---
 4701.59   9.7689e-18  ---
 4703.58   1.0388e-17  ---
 4705.57   9.7504e-18  ---
 4707.56   8.4834e-18  ---
 4709.54   7.8494e-18  ---
 4711.53   7.0693e-18  ---
 4713.52   4.2694e-18  ---
 4715.51   4.7541e-18  ---
 4717.50   6.6864e-18  ---
 4719.49   4.4426e-18  ---
 4721.48   7.6335e-18  ---
 4723.47   7.5133e-18  ---
 4725.46   7.4766e-18  ---
 4727.44   4.4308e-18  ---
 4729.43   5.6951e-18  ---
 4731.42   6.8034e-18  ---
 4733.41   6.5490e-18  ---
 4735.40   6.8941e-18  ---
 4737.39   6.0261e-18  ---
 4739.38   6.2163e-18  ---
 4741.37   6.1584e-18  ---
 4743.36   9.0053e-18  ---
 4745.34   7.4271e-18  ---
 4747.33   7.8271e-18  ---
 4749.32   5.4245e-18  ---
 4751.31   3.3880e-18  ---
 4753.30   5.0887e-18  ---
 4755.29   5.4913e-18  ---
 4757.28   3.5688e-18  ---
 4759.27   4.0710e-18  ---
 4761.26   3.1068e-18  ---
 4763.24   5.7217e-18  ---
 4765.23   4.9844e-18  ---
 4767.22   3.6280e-18  ---
 4769.21   5.8898e-18  ---
 4771.20   5.5924e-18  ---
 4773.19   6.5888e-18  ---
 4775.18   5.0918e-18  ---
