 
TRANSIENT_NAME:     DES15X2lxw 
SNID:               1334620    
OBS_DATE:           2015-11-15
MJD:                57341. 
PHASE:              +5.    
MJD_MAX:            57334.6
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1970  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3757.75       2.6835      17.3564
 3758.79       5.6792      17.8141
 3759.83       2.1650      16.0231
 3760.87      -1.6678      15.1154
 3761.90      -0.4910      15.1586
 3762.94      -7.8978      13.5081
 3763.98      -9.0340      12.8915
 3765.02       1.9509      15.8108
 3766.06       2.7075      15.3636
 3767.09      -0.5845      14.4176
 3768.13       2.5952      15.3873
 3769.17       2.1952      14.9382
 3770.21      -3.0117      13.4814
 3771.24      -1.4752      14.5420
 3772.28       2.8636      15.7739
 3773.32       1.5990      14.7713
 3774.36       3.5962      15.3579
 3775.40       9.2178      17.4535
 3776.43       7.6955      16.4043
 3777.47       4.5778      15.5802
 3778.51       1.3715      13.9254
 3779.55       2.0666      13.9827
 3780.58      -2.0199      13.2942
 3781.62      -2.4807      13.1356
 3782.66      -1.7922      13.1013
 3783.70      -1.3797      12.9002
 3784.73       0.8286      13.9503
 3785.77       3.5257      14.4670
 3786.81       5.3609      14.3614
 3787.85      -0.4286      12.1392
 3788.89       0.4702      12.6534
 3789.92       2.8552      13.3470
 3790.96      -5.7681      11.8715
 3792.00      -3.4423      12.3855
 3793.04      -1.1119      12.2891
 3794.07       4.0401      13.3027
 3795.11       0.4140      12.0882
 3796.15      -0.1683      11.7352
 3797.19       4.1382      12.4337
 3798.23       2.6409      11.7363
 3799.26       3.8259      11.8970
 3800.30       1.0110      11.2766
 3801.34      -0.5624      11.0950
 3802.38       1.2835      11.5108
 3803.41       1.3784      11.4919
 3804.45       1.6604      11.0481
 3805.49      -0.5250       9.8700
 3806.53      -0.4417       9.6218
 3807.57      -2.2053      10.1474
 3808.60      -0.1375      10.6098
 3809.64       0.5366       9.8934
 3810.68       2.7514      10.1532
 3811.72       2.2574      10.0836
 3812.75       3.4022      10.6428
 3813.79      -0.3304       9.8539
 3814.83      -2.2183       9.2393
 3815.87      -0.9007       9.3678
 3816.90       4.1904      10.3050
 3817.94       1.4674       9.1186
 3818.98       2.2840       8.8650
 3820.02       0.6511       8.5385
 3821.06       0.5165       8.3626
 3822.09       0.8929       8.4678
 3823.13      -2.0064       8.0024
 3824.17      -2.5574       7.2945
 3825.21       0.6818       7.3017
 3826.24      -0.4046       7.1807
 3827.28      -2.0540       7.3190
 3828.32       5.6086       9.1498
 3829.36       7.6161       9.6740
 3830.40       4.5597       9.0375
 3831.43       0.6037       8.0500
 3832.47       0.7578       7.7972
 3833.51      -0.6762       7.3520
 3834.55      -1.2545       7.0246
 3835.58      -1.1066       6.5049
 3836.62      -1.0480       6.1199
 3837.66       2.2457       6.9365
 3838.70       2.5591       7.0118
 3839.74       2.6262       6.7853
 3840.77      -0.6740       6.0346
 3841.81      -3.3357       5.4989
 3842.85      -5.4542       5.0102
 3843.89      -3.7238       5.3221
 3844.92       0.3782       6.1076
 3845.96      -1.5021       5.7732
 3847.00       1.5800       6.0307
 3848.04       2.2537       6.2248
 3849.07       3.2125       6.4148
 3850.11       1.0434       6.4853
 3851.15       3.1268       6.9212
 3852.19      -0.4782       5.5648
 3853.23      -2.6096       4.8399
 3854.26       2.2151       5.9792
 3855.30       0.2166       5.3162
 3856.34       1.4325       5.4447
 3857.38       0.3467       5.3759
 3858.41      -0.3344       5.2908
 3859.45      -0.1434       5.1990
 3860.49       2.2571       5.4249
 3861.53       3.5798       5.7633
 3862.57       1.5258       5.7302
 3863.60      -1.2209       4.9233
 3864.64       0.2475       5.0940
 3865.68      -0.0912       5.3756
 3866.72      -2.1348       4.8414
 3867.75       1.4839       5.2806
 3868.79       0.7496       5.1680
 3869.83       4.1433       5.5775
 3870.87       3.1067       5.4954
 3871.91       0.6432       4.9684
 3872.94      -1.6133       4.3791
 3873.98       0.4255       4.6636
 3875.02      -0.8458       4.8271
 3876.06      -0.1298       4.9937
 3877.09       1.2169       4.9423
 3878.13      -0.6765       4.5588
 3879.17       2.7190       5.0273
 3880.21       2.7803       4.8036
 3881.24       0.8990       4.3388
 3882.28       1.4754       4.6277
 3883.32      -1.1422       3.9418
 3884.36       0.4049       4.1223
 3885.40       1.3676       4.3134
 3886.43      -1.1105       3.8824
 3887.47       0.3307       4.0524
 3888.51       3.5624       4.3695
 3889.55       1.2752       4.1791
 3890.58       0.2527       3.9688
 3891.62       1.5978       4.1186
 3892.66      -2.4957       3.5018
 3893.70      -1.6943       3.4125
 3894.74      -0.0895       3.5221
 3895.77      -1.8621       3.4755
 3896.81      -0.2559       3.7946
 3897.85       3.3630       4.1608
 3898.89       1.6166       4.1200
 3899.92      -0.3689       4.0515
 3900.96      -0.3491       3.6513
 3902.00      -1.4999       3.5111
 3903.04      -2.5912       3.4636
 3904.07      -0.3252       3.6839
 3905.11       1.4272       4.0368
 3906.15      -0.4223       3.9551
 3907.19       0.6206       4.0153
 3908.23       0.9690       3.8026
 3909.26      -1.5351       3.6213
 3910.30       0.0898       3.9885
 3911.34       0.6266       3.6213
 3912.38       0.3138       3.4769
 3913.41       0.8289       3.5562
 3914.45       0.0863       3.4588
 3915.49       0.5392       3.5649
 3916.53      -1.3362       2.9754
 3917.57       0.1868       3.0461
 3918.60       0.1454       3.1866
 3919.64      -1.4415       2.9455
 3920.68      -0.7975       2.8769
 3921.72       1.9457       3.1572
 3922.75       2.2748       2.9850
 3923.79       0.9837       2.7029
 3924.83       0.8817       2.6668
 3925.87       0.3761       2.5970
