 
TRANSIENT_NAME:     DES15X2mei 
SNID:               1334645    
OBS_DATE:           2015-11-15
MJD:                57341. 
PHASE:              +4.    
MJD_MAX:            57335.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2480  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3757.75      10.5677      52.9347
 3758.79      -1.2615      47.6719
 3759.83      -5.6699      46.5166
 3760.87      -5.0465      45.3931
 3761.90      -4.9944      41.6779
 3762.94     -11.3877      43.1832
 3763.98      -4.1304      45.2343
 3765.02       3.5931      46.8409
 3766.06       7.3370      47.6338
 3767.09       4.5197      44.2712
 3768.13       2.9102      45.2880
 3769.17       2.6858      46.4233
 3770.21      -4.5277      40.8478
 3771.24       0.6080      44.9495
 3772.28       8.0595      49.0410
 3773.32       6.4091      46.1615
 3774.36      -1.2472      43.4987
 3775.40      -2.6509      42.4224
 3776.43       0.4109      41.3274
 3777.47       1.3415      43.3307
 3778.51      -3.9372      40.2931
 3779.55      -9.7273      37.4061
 3780.58      -8.6854      37.3195
 3781.62      -8.3448      40.3226
 3782.66      -2.0965      45.6528
 3783.70      -0.8808      41.0604
 3784.73      -2.2324      39.4610
 3785.77      -0.6926      39.9434
 3786.81       1.2851      37.9739
 3787.85      -3.8168      37.0664
 3788.89      -5.6854      35.8371
 3789.92      -4.6954      35.9812
 3790.96      -0.2697      39.3294
 3792.00      -1.7953      38.6409
 3793.04      -1.5610      38.0217
 3794.07       2.1239      36.6370
 3795.11       1.7035      34.9892
 3796.15       2.3747      34.6630
 3797.19      -1.2596      33.9573
 3798.23     -10.4318      31.5945
 3799.26      -2.6978      32.7502
 3800.30       3.7964      34.4136
 3801.34      -0.1368      33.9289
 3802.38      -0.2771      32.5635
 3803.41       1.8729      32.8523
 3804.45      -1.2327      32.3435
 3805.49      -2.8859      30.4334
 3806.53       3.9229      31.7233
 3807.57      -2.1786      28.0855
 3808.60      -2.6359      29.9297
 3809.64      -3.5336      28.0096
 3810.68      -1.6351      27.4539
 3811.72      -9.7953      25.6407
 3812.75      -1.2906      28.8610
 3813.79      -1.5761      28.4829
 3814.83       0.1901      29.5854
 3815.87       4.0190      29.9210
 3816.90       3.7895      29.1612
 3817.94       4.1433      29.1382
 3818.98       6.1648      28.3394
 3820.02      -1.1338      24.2443
 3821.06      -0.6612      24.5717
 3822.09      -5.8555      22.6397
 3823.13      -6.0026      22.8164
 3824.17      -3.9645      23.0535
 3825.21      -0.3529      21.5673
 3826.24      -0.6766      20.9886
 3827.28      -5.9939      20.0737
 3828.32      -3.3921      24.4293
 3829.36      -0.5368      25.0589
 3830.40       0.3017      25.0234
 3831.43      -0.3323      24.4391
 3832.47      -5.2400      21.3708
 3833.51       1.6661      23.6740
 3834.55      -3.6894      21.8538
 3835.58      -5.1412      19.7166
 3836.62      -0.8072      19.7022
 3837.66       2.1696      20.8366
 3838.70      -0.3130      19.5348
 3839.74      -3.4726      17.3550
 3840.77      -3.8663      17.0744
 3841.81      -9.4579      18.3323
 3842.85      -4.2443      18.7856
