 
TRANSIENT_NAME:     DES15X2mei 
SNID:               1334645    
OBS_DATE:           2015-11-13
MJD:                57339. 
PHASE:              +3.    
MJD_MAX:            57335.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2350  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4250.12   1.1625e-17  ---
 4252.11   2.0240e-17  ---
 4254.10   1.4687e-17  ---
 4256.09   1.5205e-17  ---
 4258.07   6.0670e-18  ---
 4260.06   9.6812e-18  ---
 4262.05   1.8786e-17  ---
 4264.04   1.9891e-17  ---
 4266.03   1.8671e-17  ---
 4268.02   2.1921e-17  ---
 4270.01   1.9810e-17  ---
 4272.00   1.8715e-17  ---
 4273.99   1.5858e-17  ---
 4275.97   2.2021e-17  ---
 4277.96   1.1247e-17  ---
 4279.95   1.6373e-17  ---
 4281.94   1.6347e-17  ---
 4283.93   1.3970e-17  ---
 4285.92   1.3185e-17  ---
 4287.91   8.0506e-18  ---
 4289.90   1.0417e-17  ---
 4291.89   8.9928e-18  ---
 4293.87   8.1637e-18  ---
 4295.86   1.1981e-17  ---
 4297.85   8.3295e-18  ---
 4299.84   6.8424e-18  ---
 4301.83   1.8742e-17  ---
 4303.82   1.9004e-17  ---
 4305.81   1.4090e-17  ---
 4307.80   1.3931e-17  ---
 4309.79   1.2403e-17  ---
 4311.77   1.4717e-17  ---
 4313.76   1.8342e-17  ---
 4315.75   2.2970e-17  ---
 4317.74   2.1002e-17  ---
 4319.73   1.3938e-17  ---
 4321.72   1.4336e-17  ---
 4323.71   1.5123e-17  ---
 4325.70   1.6839e-17  ---
 4327.68   1.7425e-17  ---
 4329.67   1.3803e-17  ---
 4331.66   1.2685e-17  ---
 4333.65   1.6912e-17  ---
 4335.64   2.3913e-17  ---
 4337.63   1.9452e-17  ---
 4339.62   1.9527e-17  ---
 4341.61   2.1172e-17  ---
 4343.60   1.2109e-17  ---
 4345.58   1.7032e-17  ---
 4347.57   2.4520e-17  ---
 4349.56   1.6650e-17  ---
 4351.55   2.2025e-17  ---
 4353.54   2.3428e-17  ---
 4355.53   2.0243e-17  ---
 4357.52   2.0499e-17  ---
 4359.51   2.4470e-17  ---
 4361.50   2.9830e-17  ---
 4363.48   2.2263e-17  ---
 4365.47   2.2879e-17  ---
 4367.46   1.9917e-17  ---
 4369.45   1.4631e-17  ---
 4371.44   1.9369e-17  ---
 4373.43   2.4044e-17  ---
 4375.42   2.1043e-17  ---
 4377.41   1.8800e-17  ---
 4379.40   1.9546e-17  ---
 4381.38   1.6446e-17  ---
 4383.37   2.0486e-17  ---
 4385.36   2.1756e-17  ---
 4387.35   1.7066e-17  ---
 4389.34   2.1138e-17  ---
 4391.33   2.6005e-17  ---
 4393.32   2.0941e-17  ---
 4395.31   1.9988e-17  ---
 4397.29   2.5115e-17  ---
 4399.28   2.2516e-17  ---
 4401.27   2.6382e-17  ---
 4403.26   2.6116e-17  ---
 4405.25   2.0929e-17  ---
 4407.24   2.3649e-17  ---
 4409.23   2.1083e-17  ---
 4411.22   2.4339e-17  ---
 4413.21   2.2503e-17  ---
 4415.19   2.6822e-17  ---
 4417.18   2.3015e-17  ---
 4419.17   2.0687e-17  ---
 4421.16   2.1515e-17  ---
 4423.15   2.3011e-17  ---
 4425.14   2.3205e-17  ---
 4427.13   1.8431e-17  ---
 4429.12   1.9671e-17  ---
 4431.11   2.0151e-17  ---
 4433.09   2.2550e-17  ---
 4435.08   2.1713e-17  ---
 4437.07   2.1589e-17  ---
 4439.06   2.4755e-17  ---
 4441.05   2.5221e-17  ---
 4443.04   2.1383e-17  ---
 4445.03   2.6120e-17  ---
 4447.02   2.5619e-17  ---
 4449.00   2.4707e-17  ---
 4450.99   2.4889e-17  ---
 4452.98   2.1070e-17  ---
 4454.97   2.4050e-17  ---
 4456.96   1.7960e-17  ---
 4458.95   2.2869e-17  ---
 4460.94   1.7425e-17  ---
 4462.93   1.5281e-17  ---
 4464.92   2.1367e-17  ---
 4466.90   2.4330e-17  ---
 4468.89   2.2961e-17  ---
 4470.88   2.3151e-17  ---
 4472.87   2.3205e-17  ---
 4474.86   2.0567e-17  ---
 4476.85   2.1508e-17  ---
 4478.84   2.2889e-17  ---
 4480.83   2.2133e-17  ---
 4482.82   1.9336e-17  ---
 4484.80   1.5506e-17  ---
 4486.79   1.8690e-17  ---
 4488.78   1.7215e-17  ---
 4490.77   1.7265e-17  ---
 4492.76   2.0996e-17  ---
 4494.75   2.5220e-17  ---
 4496.74   2.3468e-17  ---
 4498.73   2.2054e-17  ---
 4500.72   2.4021e-17  ---
 4502.70   2.6251e-17  ---
 4504.69   2.3571e-17  ---
 4506.68   2.1224e-17  ---
 4508.67   2.3716e-17  ---
 4510.66   2.2917e-17  ---
 4512.65   2.4032e-17  ---
 4514.64   2.6314e-17  ---
 4516.63   2.1330e-17  ---
 4518.61   2.1075e-17  ---
 4520.60   1.9748e-17  ---
 4522.59   2.4349e-17  ---
 4524.58   2.7146e-17  ---
 4526.57   2.5130e-17  ---
 4528.56   2.9403e-17  ---
 4530.55   2.6333e-17  ---
 4532.54   3.0699e-17  ---
 4534.53   2.5479e-17  ---
 4536.51   2.5991e-17  ---
 4538.50   2.0328e-17  ---
 4540.49   2.3718e-17  ---
 4542.48   2.7514e-17  ---
 4544.47   2.7941e-17  ---
 4546.46   2.3593e-17  ---
 4548.45   1.9696e-17  ---
 4550.44   1.9776e-17  ---
 4552.43   2.1129e-17  ---
 4554.41   2.0756e-17  ---
 4556.40   1.8034e-17  ---
 4558.39   1.8739e-17  ---
 4560.38   1.9806e-17  ---
 4562.37   1.8928e-17  ---
 4564.36   1.8143e-17  ---
 4566.35   1.6769e-17  ---
 4568.34   1.6237e-17  ---
 4570.33   1.3191e-17  ---
 4572.31   1.6229e-17  ---
 4574.30   1.7886e-17  ---
 4576.29   8.8807e-18  ---
 4578.28   1.1059e-17  ---
 4580.27   9.1369e-18  ---
 4582.26   1.0598e-17  ---
 4584.25   1.1990e-17  ---
 4586.24   1.2700e-17  ---
 4588.22   1.3142e-17  ---
 4590.21   1.5085e-17  ---
 4592.20   1.2009e-17  ---
 4594.19   1.1814e-17  ---
 4596.18   1.2307e-17  ---
 4598.17   9.4060e-18  ---
 4600.16   1.0492e-17  ---
 4602.15   1.1130e-17  ---
 4604.14   1.0967e-17  ---
 4606.12   9.5276e-18  ---
 4608.11   9.1994e-18  ---
 4610.10   9.1076e-18  ---
 4612.09   1.1867e-17  ---
 4614.08   1.7193e-17  ---
 4616.07   1.4093e-17  ---
 4618.06   1.3719e-17  ---
 4620.05   1.1821e-17  ---
 4622.04   1.0506e-17  ---
 4624.02   1.5704e-17  ---
 4626.01   1.7751e-17  ---
 4628.00   1.3682e-17  ---
 4629.99   1.2483e-17  ---
 4631.98   1.3741e-17  ---
 4633.97   1.7620e-17  ---
 4635.96   1.2804e-17  ---
 4637.95   1.4717e-17  ---
 4639.94   1.6754e-17  ---
 4641.92   1.6331e-17  ---
 4643.91   1.8003e-17  ---
 4645.90   1.5284e-17  ---
 4647.89   1.3879e-17  ---
 4649.88   1.1511e-17  ---
 4651.87   1.0195e-17  ---
 4653.86   1.0505e-17  ---
 4655.85   9.6991e-18  ---
 4657.83   1.3472e-17  ---
 4659.82   1.2631e-17  ---
 4661.81   9.1674e-18  ---
 4663.80   1.2295e-17  ---
 4665.79   1.4394e-17  ---
 4667.78   1.4433e-17  ---
 4669.77   9.7854e-18  ---
 4671.76   1.0147e-17  ---
 4673.75   1.1009e-17  ---
 4675.73   1.0730e-17  ---
 4677.72   1.1062e-17  ---
 4679.71   7.5113e-18  ---
 4681.70   9.7168e-18  ---
 4683.69   9.0350e-18  ---
 4685.68   8.8426e-18  ---
 4687.67   1.4546e-17  ---
 4689.66   1.7005e-17  ---
 4691.65   1.5316e-17  ---
 4693.63   7.4084e-18  ---
 4695.62   8.2611e-18  ---
 4697.61   9.2191e-18  ---
 4699.60   1.0981e-17  ---
 4701.59   8.6665e-18  ---
 4703.58   9.4845e-18  ---
 4705.57   1.3608e-17  ---
 4707.56   1.3629e-17  ---
 4709.54   1.4454e-17  ---
 4711.53   1.1884e-17  ---
 4713.52   1.3025e-17  ---
 4715.51   1.3502e-17  ---
 4717.50   1.1717e-17  ---
 4719.49   1.2026e-17  ---
 4721.48   1.5158e-17  ---
 4723.47   1.3939e-17  ---
 4725.46   1.2929e-17  ---
 4727.44   1.5061e-17  ---
 4729.43   1.3574e-17  ---
 4731.42   1.5146e-17  ---
 4733.41   1.3825e-17  ---
 4735.40   1.2825e-17  ---
 4737.39   1.3492e-17  ---
 4739.38   1.3730e-17  ---
 4741.37   1.1766e-17  ---
 4743.36   1.3111e-17  ---
 4745.34   1.2392e-17  ---
 4747.33   1.3146e-17  ---
 4749.32   1.6107e-17  ---
 4751.31   1.9027e-17  ---
 4753.30   1.6828e-17  ---
 4755.29   1.7147e-17  ---
 4757.28   1.9868e-17  ---
 4759.27   1.9553e-17  ---
 4761.26   1.9872e-17  ---
 4763.24   2.0658e-17  ---
 4765.23   2.1841e-17  ---
 4767.22   2.4378e-17  ---
 4769.21   2.2096e-17  ---
 4771.20   2.3175e-17  ---
 4773.19   2.0632e-17  ---
 4775.18   2.0946e-17  ---
 4777.17   2.2086e-17  ---
 4779.15   2.3679e-17  ---
 4781.14   2.5619e-17  ---
 4783.13   2.5405e-17  ---
 4785.12   2.7632e-17  ---
 4787.11   2.8962e-17  ---
 4789.10   2.2563e-17  ---
 4791.09   2.3888e-17  ---
 4793.08   2.8183e-17  ---
 4795.07   3.1049e-17  ---
 4797.05   2.9567e-17  ---
 4799.04   3.0466e-17  ---
 4801.03   3.0510e-17  ---
 4803.02   3.0657e-17  ---
 4805.01   3.0355e-17  ---
 4807.00   3.2382e-17  ---
 4808.99   2.9502e-17  ---
 4810.98   2.8891e-17  ---
 4812.97   3.0924e-17  ---
 4814.95   3.1129e-17  ---
 4816.94   2.8788e-17  ---
 4818.93   2.8627e-17  ---
 4820.92   3.0995e-17  ---
 4822.91   2.8724e-17  ---
 4824.90   3.0580e-17  ---
 4826.89   3.6444e-17  ---
 4828.88   3.1450e-17  ---
 4830.87   2.9421e-17  ---
 4832.85   2.9304e-17  ---
 4834.84   3.1251e-17  ---
 4836.83   3.0651e-17  ---
 4838.82   3.3129e-17  ---
 4840.81   3.2649e-17  ---
 4842.80   3.0794e-17  ---
 4844.79   2.9622e-17  ---
 4846.78   2.8948e-17  ---
 4848.76   2.9842e-17  ---
 4850.75   3.0266e-17  ---
 4852.74   2.9618e-17  ---
 4854.73   3.0789e-17  ---
 4856.72   3.1195e-17  ---
 4858.71   3.1895e-17  ---
 4860.70   3.5990e-17  ---
 4862.69   3.2843e-17  ---
 4864.68   3.1994e-17  ---
 4866.66   3.4424e-17  ---
 4868.65   3.5143e-17  ---
 4870.64   3.3222e-17  ---
 4872.63   3.4876e-17  ---
 4874.62   3.5542e-17  ---
 4876.61   3.2541e-17  ---
 4878.60   3.4586e-17  ---
 4880.59   3.6131e-17  ---
 4882.58   3.4881e-17  ---
 4884.56   3.3644e-17  ---
 4886.55   3.3328e-17  ---
 4888.54   3.2523e-17  ---
 4890.53   2.8269e-17  ---
 4892.52   3.0161e-17  ---
 4894.51   3.1664e-17  ---
 4896.50   2.8886e-17  ---
 4898.49   2.9829e-17  ---
 4900.48   3.0692e-17  ---
 4902.46   2.8945e-17  ---
 4904.45   2.4498e-17  ---
 4906.44   2.5072e-17  ---
 4908.43   2.6086e-17  ---
 4910.42   2.4662e-17  ---
 4912.41   2.1686e-17  ---
 4914.40   2.4543e-17  ---
 4916.39   2.4700e-17  ---
 4918.37   2.8010e-17  ---
 4920.36   2.5015e-17  ---
 4922.35   2.4415e-17  ---
 4924.34   2.4360e-17  ---
 4926.33   2.1816e-17  ---
 4928.32   2.3916e-17  ---
 4930.31   2.0344e-17  ---
 4932.30   1.9200e-17  ---
 4934.29   1.9538e-17  ---
 4936.27   2.1603e-17  ---
 4938.26   2.3078e-17  ---
 4940.25   1.9334e-17  ---
 4942.24   2.1200e-17  ---
 4944.23   2.2069e-17  ---
 4946.22   2.2581e-17  ---
 4948.21   2.2714e-17  ---
 4950.20   2.1712e-17  ---
 4952.19   2.2786e-17  ---
 4954.17   2.3562e-17  ---
 4956.16   2.1174e-17  ---
 4958.15   2.1652e-17  ---
 4960.14   2.2248e-17  ---
 4962.13   2.1385e-17  ---
 4964.12   2.3435e-17  ---
 4966.11   2.2025e-17  ---
 4968.10   2.1719e-17  ---
 4970.08   2.3021e-17  ---
 4972.07   2.2559e-17  ---
 4974.06   2.2015e-17  ---
 4976.05   2.2118e-17  ---
 4978.04   2.5467e-17  ---
 4980.03   2.5540e-17  ---
 4982.02   2.2937e-17  ---
 4984.01   2.1908e-17  ---
 4986.00   2.2521e-17  ---
 4987.98   2.3970e-17  ---
 4989.97   2.6751e-17  ---
 4991.96   2.9219e-17  ---
 4993.95   2.6506e-17  ---
 4995.94   2.6683e-17  ---
 4997.93   2.9653e-17  ---
 4999.92   2.8569e-17  ---
 5001.91   2.7403e-17  ---
 5003.90   3.0235e-17  ---
 5005.88   3.0534e-17  ---
 5007.87   3.0023e-17  ---
 5009.86   2.9389e-17  ---
 5011.85   3.0781e-17  ---
 5013.84   2.6611e-17  ---
 5015.83   2.8621e-17  ---
 5017.82   2.8988e-17  ---
 5019.81   2.7657e-17  ---
 5021.80   2.8478e-17  ---
 5023.78   3.1380e-17  ---
 5025.77   3.2246e-17  ---
 5027.76   2.9427e-17  ---
 5029.75   2.7772e-17  ---
 5031.74   2.8964e-17  ---
 5033.73   2.8621e-17  ---
 5035.72   3.0674e-17  ---
 5037.71   2.8563e-17  ---
 5039.69   2.8405e-17  ---
 5041.68   2.6021e-17  ---
 5043.67   2.8823e-17  ---
 5045.66   2.9992e-17  ---
 5047.65   3.0732e-17  ---
 5049.64   2.9237e-17  ---
 5051.63   2.7682e-17  ---
 5053.62   2.9263e-17  ---
 5055.61   2.9306e-17  ---
 5057.59   3.0802e-17  ---
 5059.58   3.0699e-17  ---
 5061.57   3.0865e-17  ---
 5063.56   3.0983e-17  ---
 5065.55   3.1601e-17  ---
 5067.54   3.1285e-17  ---
 5069.53   3.0509e-17  ---
 5071.52   2.9727e-17  ---
 5073.51   2.7678e-17  ---
 5075.49   2.8638e-17  ---
 5077.48   2.6764e-17  ---
 5079.47   2.6927e-17  ---
 5081.46   2.9907e-17  ---
 5083.45   3.0190e-17  ---
 5085.44   2.8963e-17  ---
 5087.43   2.7863e-17  ---
 5089.42   2.8994e-17  ---
 5091.41   3.0387e-17  ---
 5093.39   2.9478e-17  ---
 5095.38   2.7797e-17  ---
 5097.37   2.7907e-17  ---
 5099.36   2.7244e-17  ---
 5101.35   2.6351e-17  ---
 5103.34   2.6707e-17  ---
 5105.33   2.7253e-17  ---
 5107.32   2.6890e-17  ---
 5109.30   2.5452e-17  ---
 5111.29   2.9223e-17  ---
 5113.28   2.7784e-17  ---
 5115.27   2.7657e-17  ---
 5117.26   2.9738e-17  ---
 5119.25   2.7006e-17  ---
 5121.24   2.5758e-17  ---
 5123.23   3.0792e-17  ---
 5125.22   2.9476e-17  ---
 5127.20   2.6057e-17  ---
 5129.19   2.7228e-17  ---
 5131.18   2.7835e-17  ---
 5133.17   2.4824e-17  ---
 5135.16   2.7317e-17  ---
 5137.15   2.8202e-17  ---
 5139.14   2.7929e-17  ---
 5141.13   2.7144e-17  ---
 5143.12   2.8911e-17  ---
 5145.10   3.0150e-17  ---
 5147.09   2.8879e-17  ---
 5149.08   2.9193e-17  ---
 5151.07   2.8366e-17  ---
 5153.06   2.7805e-17  ---
 5155.05   2.8253e-17  ---
 5157.04   3.0239e-17  ---
 5159.03   3.1010e-17  ---
 5161.02   2.9738e-17  ---
 5163.00   3.0619e-17  ---
 5164.99   2.9361e-17  ---
 5166.98   2.6375e-17  ---
 5168.97   2.7769e-17  ---
 5170.96   2.8956e-17  ---
 5172.95   2.7659e-17  ---
 5174.94   2.8245e-17  ---
 5176.93   2.9300e-17  ---
 5178.91   2.8394e-17  ---
 5180.90   2.8889e-17  ---
 5182.89   2.8131e-17  ---
 5184.88   2.8296e-17  ---
 5186.87   2.7935e-17  ---
 5188.86   2.7431e-17  ---
 5190.85   2.8516e-17  ---
 5192.84   2.8840e-17  ---
 5194.83   2.7440e-17  ---
 5196.81   2.6359e-17  ---
 5198.80   2.6511e-17  ---
 5200.79   2.5315e-17  ---
 5202.78   2.5518e-17  ---
 5204.77   2.8497e-17  ---
 5206.76   2.7245e-17  ---
 5208.75   2.6046e-17  ---
 5210.74   2.4764e-17  ---
 5212.73   2.4732e-17  ---
 5214.71   2.4497e-17  ---
 5216.70   2.4361e-17  ---
 5218.69   2.5125e-17  ---
 5220.68   2.4033e-17  ---
 5222.67   2.5402e-17  ---
 5224.66   2.5176e-17  ---
 5226.65   2.5119e-17  ---
 5228.64   2.3343e-17  ---
 5230.62   2.5334e-17  ---
 5232.61   2.4578e-17  ---
 5234.60   2.3805e-17  ---
 5236.59   2.5025e-17  ---
 5238.58   2.4173e-17  ---
 5240.57   2.2677e-17  ---
 5242.56   2.3216e-17  ---
 5244.55   2.3295e-17  ---
 5246.54   2.5895e-17  ---
 5248.52   2.4877e-17  ---
 5250.51   2.3758e-17  ---
 5252.50   2.3139e-17  ---
 5254.49   2.3759e-17  ---
 5256.48   2.3421e-17  ---
 5258.47   2.4058e-17  ---
 5260.46   2.5751e-17  ---
 5262.45   2.2531e-17  ---
 5264.44   2.3039e-17  ---
 5266.42   2.1129e-17  ---
 5268.41   2.2976e-17  ---
 5270.40   2.3111e-17  ---
 5272.39   2.2168e-17  ---
 5274.38   2.1064e-17  ---
 5276.37   2.2192e-17  ---
 5278.36   2.0924e-17  ---
 5280.35   2.0570e-17  ---
 5282.34   2.1170e-17  ---
 5284.32   1.9321e-17  ---
 5286.31   1.9151e-17  ---
 5288.30   2.0605e-17  ---
 5290.29   1.8155e-17  ---
 5292.28   1.9439e-17  ---
 5294.27   1.8623e-17  ---
 5296.26   1.8160e-17  ---
 5298.25   1.9552e-17  ---
 5300.23   2.0241e-17  ---
 5302.22   1.7672e-17  ---
 5304.21   1.9439e-17  ---
 5306.20   1.6748e-17  ---
 5308.19   1.7032e-17  ---
 5310.18   1.8302e-17  ---
 5312.17   1.6805e-17  ---
 5314.16   1.7649e-17  ---
 5316.15   1.8489e-17  ---
 5318.13   1.6569e-17  ---
 5320.12   1.5805e-17  ---
 5322.11   1.6612e-17  ---
 5324.10   1.5271e-17  ---
 5326.09   1.5221e-17  ---
 5328.08   1.4490e-17  ---
 5330.07   1.5284e-17  ---
 5332.06   1.5326e-17  ---
 5334.05   1.4075e-17  ---
 5336.03   1.5281e-17  ---
 5338.02   1.6348e-17  ---
 5340.01   1.5418e-17  ---
 5342.00   1.6667e-17  ---
 5343.99   1.6614e-17  ---
 5345.98   1.6369e-17  ---
 5347.97   1.7039e-17  ---
 5349.96   1.7062e-17  ---
 5351.95   1.8377e-17  ---
 5353.93   1.8179e-17  ---
 5355.92   1.7703e-17  ---
 5357.91   1.7709e-17  ---
 5359.90   1.7257e-17  ---
 5361.89   1.6841e-17  ---
 5363.88   1.7185e-17  ---
 5365.87   1.8869e-17  ---
 5367.86   1.9655e-17  ---
 5369.84   1.8388e-17  ---
 5371.83   1.8039e-17  ---
 5373.82   1.7238e-17  ---
 5375.81   1.8287e-17  ---
 5377.80   1.9189e-17  ---
