 
TRANSIENT_NAME:     DES15X2mei 
SNID:               1334645    
OBS_DATE:           2015-11-13
MJD:                57339. 
PHASE:              +3.    
MJD_MAX:            57335.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2320  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3836.16  -1.3357e-19   1.4149e-19
 3839.22  -9.0627e-20   1.2008e-19
 3842.29  -4.4703e-20   8.2614e-20
 3845.35   1.0125e-19   1.2268e-19
 3848.41   2.1579e-19   1.5391e-19
 3851.48   1.6518e-19   1.3912e-19
 3854.54  -3.2328e-21   2.4494e-20
 3857.61   2.3310e-19   1.8739e-19
 3860.67   2.7845e-19   1.7612e-19
 3863.74   3.0875e-19   1.7991e-19
 3866.80   2.0012e-19   1.9455e-19
 3869.86   2.1565e-19   1.8235e-19
 3872.93   2.2078e-19   1.6740e-19
 3875.99   2.1606e-19   1.5150e-19
 3879.06   3.0396e-19   1.8901e-19
 3882.12   2.0973e-19   1.9330e-19
 3885.19   2.9040e-19   1.7323e-19
 3888.25   3.6812e-19   1.7666e-19
 3891.31   4.3516e-19   1.8818e-19
 3894.38   4.9244e-19   2.1168e-19
 3897.44   2.7246e-19   1.8616e-19
 3900.51   3.9403e-19   1.9794e-19
 3903.57   4.7382e-19   1.9704e-19
 3906.64   3.3091e-19   1.8852e-19
 3909.70   3.0494e-19   1.8567e-19
 3912.76   3.7429e-19   1.7154e-19
 3915.83   1.9721e-19   1.4106e-19
 3918.89   1.7489e-19   1.2145e-19
 3921.96   2.1508e-19   1.5423e-19
 3925.02   5.9671e-20   9.0440e-20
 3928.09   2.9381e-19   1.7062e-19
 3931.15   3.4965e-19   1.6263e-19
 3934.21   3.2065e-19   1.7611e-19
 3937.28   3.0661e-19   1.7309e-19
 3940.34   3.5147e-19   1.7450e-19
 3943.41   4.3373e-19   1.7866e-19
 3946.47   3.1667e-19   1.6918e-19
 3949.54   3.2349e-19   1.7137e-19
 3952.60   4.1272e-19   1.7321e-19
 3955.66   3.3414e-19   1.8134e-19
 3958.73   2.7247e-19   1.8837e-19
 3961.79   3.4524e-19   1.4947e-19
 3964.86   3.8488e-19   1.6695e-19
 3967.92   2.6856e-19   1.7091e-19
 3970.99   3.6979e-19   1.7628e-19
 3974.05   1.9349e-19   1.6572e-19
 3977.11   3.7246e-19   1.7668e-19
 3980.18   3.1828e-19   1.6851e-19
 3983.24   2.2856e-19   1.6168e-19
 3986.31   1.7685e-19   1.7567e-19
 3989.37   2.6812e-19   1.6166e-19
 3992.44   4.0281e-19   1.7910e-19
 3995.50   3.4796e-19   1.7979e-19
 3998.56   2.0263e-19   1.6793e-19
 4001.63   9.0973e-20   1.3380e-19
 4004.69   1.7598e-19   1.6575e-19
 4007.76   4.1199e-19   1.9807e-19
 4010.82   3.7493e-19   1.9439e-19
 4013.89   3.2768e-19   1.8653e-19
 4016.95   5.2050e-19   1.8385e-19
 4020.01   1.3737e-19   1.3133e-19
 4023.08   1.8585e-19   1.6095e-19
 4026.14   4.7231e-19   1.8692e-19
 4029.21   3.6812e-19   1.7878e-19
 4032.27   3.8157e-19   1.8502e-19
 4035.34   4.2930e-19   1.7181e-19
 4038.40   4.7092e-19   1.8993e-19
 4041.46   2.3933e-19   1.6420e-19
 4044.53   3.1246e-19   1.9867e-19
 4047.59   3.6797e-19   1.8781e-19
 4050.66   2.4900e-19   1.7522e-19
 4053.72   2.8253e-19   1.6450e-19
 4056.79   2.6426e-19   2.0266e-19
 4059.85   1.6823e-19   1.4235e-19
 4062.91   4.5604e-19   1.8458e-19
 4065.98   4.4273e-19   1.7536e-19
 4069.04   1.4532e-19   1.5212e-19
 4072.11   4.2887e-19   1.8950e-19
 4075.17   2.0594e-19   1.3830e-19
 4078.24   3.8427e-19   1.8606e-19
 4081.30   2.9756e-19   1.8288e-19
 4084.36   3.3302e-19   1.8598e-19
 4087.43   3.0554e-19   1.7380e-19
 4090.49   3.7399e-19   1.7523e-19
 4093.56   2.8199e-19   1.6984e-19
 4096.62   2.3212e-19   1.5074e-19
 4099.69   1.6602e-19   1.2442e-19
 4102.75   2.9714e-19   1.6188e-19
 4105.81   4.1440e-19   1.6206e-19
 4108.88   4.5877e-19   1.6599e-19
 4111.94   3.4959e-19   1.7780e-19
 4115.01   3.4084e-19   1.6491e-19
 4118.07   3.1277e-19   1.8070e-19
 4121.14   3.6287e-19   1.7285e-19
 4124.20   4.2681e-19   2.1225e-19
 4127.26   3.8976e-19   1.7272e-19
 4130.33   3.5247e-19   1.8122e-19
 4133.39   3.2714e-19   1.6120e-19
 4136.46   3.7746e-19   1.9624e-19
 4139.52   4.6785e-19   1.7373e-19
 4142.58   6.1183e-19   1.8585e-19
 4145.65   4.8317e-19   1.6446e-19
 4148.71   4.0411e-19   1.7935e-19
 4151.78   3.6456e-19   1.6045e-19
 4154.84   4.5855e-19   2.0556e-19
 4157.91   3.8653e-19   1.8910e-19
 4160.97   4.7821e-19   1.9394e-19
 4164.03   5.9417e-19   1.8060e-19
 4167.10   3.7905e-19   1.9091e-19
 4170.16   2.9605e-19   1.8733e-19
 4173.23   3.0365e-19   1.7910e-19
 4176.29   4.9041e-19   1.6639e-19
 4179.36   5.1317e-19   1.7540e-19
 4182.42   4.1907e-19   1.7083e-19
 4185.48   4.9926e-19   1.7719e-19
 4188.55   5.3640e-19   1.6399e-19
 4191.61   4.7725e-19   1.6964e-19
 4194.68   5.9804e-19   1.6376e-19
 4197.74   6.0137e-19   1.6081e-19
 4200.81   5.1962e-19   1.7275e-19
 4203.87   3.7777e-19   1.5930e-19
 4206.93   4.1787e-19   1.5957e-19
 4210.00   3.0852e-19   1.4930e-19
 4213.06   5.0563e-19   1.5744e-19
 4216.13   4.1983e-19   1.5328e-19
 4219.19   4.7604e-19   1.5307e-19
 4222.26   4.6989e-19   1.7319e-19
 4225.32   5.5248e-19   1.5316e-19
 4228.38   6.5936e-19   1.5232e-19
 4231.45   6.3089e-19   1.5528e-19
 4234.51   5.3151e-19   1.4796e-19
 4237.58   5.9710e-19   1.6371e-19
 4240.64   4.2178e-19   1.5114e-19
 4243.71   3.9095e-19   1.6197e-19
 4246.77   5.2866e-19   1.8146e-19
 4249.83   4.8974e-19   1.5924e-19
 4252.90   4.2516e-19   1.5646e-19
 4255.96   5.6178e-19   1.5918e-19
 4259.03   4.2481e-19   1.6861e-19
 4262.09   2.8903e-19   1.5718e-19
 4265.16   3.0492e-19   1.5691e-19
 4268.22   3.7210e-19   1.5277e-19
 4271.28   5.8066e-19   1.5090e-19
 4274.35   4.9137e-19   1.6809e-19
 4277.41   4.6135e-19   1.5559e-19
 4280.48   5.9935e-19   1.5400e-19
 4283.54   5.2582e-19   1.6821e-19
 4286.61   4.4093e-19   1.4946e-19
 4289.67   3.8032e-19   1.6375e-19
 4292.73   4.4483e-19   1.6778e-19
 4295.80   3.7655e-19   1.4955e-19
 4298.86   4.9535e-19   1.5245e-19
 4301.93   5.5119e-19   1.5898e-19
 4304.99   4.5233e-19   1.5652e-19
 4308.06   5.6684e-19   1.7188e-19
 4311.12   5.6657e-19   1.7527e-19
 4314.18   5.2684e-19   1.4802e-19
 4317.25   4.8550e-19   1.4143e-19
 4320.31   5.4583e-19   1.5311e-19
 4323.38   4.5920e-19   1.7572e-19
 4326.44   6.0465e-19   1.5123e-19
 4329.51   6.2511e-19   1.4630e-19
 4332.57   5.1127e-19   1.4481e-19
 4335.63   5.6780e-19   1.4815e-19
 4338.70   5.8280e-19   1.4152e-19
 4341.76   6.0740e-19   1.4958e-19
 4344.83   5.6024e-19   1.5315e-19
 4347.89   7.2447e-19   1.6197e-19
 4350.96   7.4705e-19   1.6061e-19
 4354.02   4.8224e-19   1.4946e-19
 4357.08   4.7696e-19   1.5233e-19
 4360.15   6.6301e-19   1.4520e-19
 4363.21   6.9398e-19   1.4524e-19
 4366.28   6.8325e-19   1.5026e-19
 4369.34   8.0658e-19   1.5521e-19
 4372.41   6.5689e-19   1.4754e-19
 4375.47   6.2929e-19   1.4808e-19
 4378.53   6.7147e-19   1.5093e-19
 4381.60   6.5922e-19   1.4112e-19
 4384.66   5.9461e-19   1.4202e-19
 4387.73   5.3803e-19   1.3863e-19
 4390.79   7.2354e-19   1.4038e-19
 4393.86   5.9751e-19   1.4264e-19
 4396.92   7.3512e-19   1.4529e-19
 4399.98   6.8479e-19   1.5563e-19
 4403.05   6.3754e-19   1.5616e-19
 4406.11   6.3374e-19   1.4931e-19
 4409.18   5.9818e-19   1.6096e-19
 4412.24   5.3457e-19   1.5041e-19
 4415.31   5.8478e-19   1.4478e-19
 4418.37   6.5541e-19   1.5204e-19
 4421.43   5.9658e-19   1.4818e-19
 4424.50   6.5903e-19   1.4699e-19
 4427.56   6.8998e-19   1.4623e-19
 4430.63   7.1242e-19   1.4864e-19
 4433.69   6.7198e-19   1.4620e-19
 4436.76   7.6638e-19   1.5050e-19
 4439.82   6.8952e-19   1.4942e-19
 4442.88   5.6452e-19   1.4387e-19
 4445.95   6.1820e-19   1.4223e-19
 4449.01   7.6889e-19   1.4352e-19
 4452.08   7.5324e-19   1.4292e-19
 4455.14   6.9235e-19   1.4108e-19
 4458.21   5.5719e-19   1.3653e-19
 4461.27   5.7342e-19   1.4134e-19
 4464.33   6.0792e-19   1.3620e-19
 4467.40   6.5038e-19   1.3933e-19
