 
TRANSIENT_NAME:     DES15X2mzv 
SNID:               1337838    
OBS_DATE:           2015-12-14
MJD:                57370. 
PHASE:              +4.    
MJD_MAX:            57364.6
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3130  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72      -4.0680      98.8440
 3757.75      -2.9806      96.5222
 3758.79      10.3243     105.7850
 3759.83       9.5946     111.9660
 3760.87       4.1949     104.7480
 3761.90       6.1284     101.5760
 3762.94       3.1913      97.9329
 3763.98       4.8995     100.2950
 3765.02       3.9009      96.1776
 3766.06      -8.3598      87.7639
 3767.09      -1.5203      87.1260
 3768.13       7.8919      92.1443
 3769.17       7.6697      91.8827
 3770.21      10.4207      95.6058
 3771.24      -7.3636      84.3716
 3772.28      -9.5580      83.8846
 3773.32      15.5475     120.4120
 3774.36      26.0753     118.5560
 3775.40       0.0358      90.8632
 3776.43       0.0070      87.7492
 3777.47      11.9411      97.4269
 3778.51      -4.4373      83.5587
 3779.55       0.8579      89.5061
 3780.58      -4.9097      84.3341
 3781.62      -9.0885      77.7260
 3782.66      -2.3330      83.9624
 3783.70       1.3954      86.5281
 3784.73       1.2174      85.3506
 3785.77       0.6428      84.2041
 3786.81      -0.8508      81.4889
 3787.85      -0.8823      83.3168
 3788.89      -0.2538      81.2673
 3789.92      -4.1504      80.5904
 3790.96       0.8797      83.3710
 3792.00      11.7533      87.6364
 3793.04      -1.3903      80.4710
 3794.07      -1.1575      78.2618
 3795.11      -1.8177      71.6996
 3796.15       0.5410      71.6085
 3797.19      -0.4299      73.5716
 3798.23       0.0565      71.9671
 3799.26       0.9794      71.2262
 3800.30       1.9598      71.7453
 3801.34       5.6510      72.5097
 3802.38       3.3260      68.6796
 3803.41       2.5582      69.9457
 3804.45      -0.7062      70.4157
 3805.49      -4.5922      72.9362
 3806.53      -1.1267      66.5511
 3807.57      -3.4605      57.3243
 3808.60      -1.1577      65.2688
 3809.64      -6.8911      60.5716
 3810.68      -0.5872      60.9984
 3811.72       8.3138      67.1841
 3812.75       8.0669      68.4408
 3813.79      -0.6861      57.9861
 3814.83      -7.0281      51.1688
 3815.87      -6.9978      53.7126
 3816.90     -10.5441      52.8384
 3817.94       0.1380      56.4353
 3818.98       7.1910      57.9668
 3820.02       5.0239      55.9579
 3821.06      -4.8300      49.3641
 3822.09      -9.8421      44.9677
 3823.13      -0.2974      49.7105
 3824.17       1.6565      49.9707
 3825.21       3.8613      48.5373
 3826.24      -3.4828      44.9848
 3827.28      -5.1529      46.7951
 3828.32      -2.1869      47.1905
 3829.36       0.9255      49.0250
 3830.40       7.2713      52.2780
 3831.43       0.8476      50.3391
 3832.47       3.3062      49.3901
 3833.51      11.6879      50.1457
 3834.55       2.7383      41.3643
 3835.58      -9.8061      35.3337
 3836.62      -7.9177      37.9572
 3837.66       3.1957      40.9230
 3838.70      -4.0293      36.5885
 3839.74      -6.0342      35.2624
 3840.77       6.4979      42.9169
 3841.81       0.7088      40.6929
 3842.85      -5.0691      36.2321
 3843.89       2.6019      37.5785
 3844.92       9.4663      53.0385
 3845.96      10.3413      60.9679
 3847.00       6.3745      56.6359
 3848.04       8.2610      57.7787
 3849.07      -2.8359      49.0387
 3850.11      -5.0853      45.5277
 3851.15       3.8516      52.5064
 3852.19       6.6992      42.1816
 3853.23       0.3677      35.5521
 3854.26      -5.6782      31.6268
 3855.30       1.2294      34.2837
 3856.34       4.0658      36.2233
 3857.38      -1.8882      33.0195
 3858.41      -3.3325      30.6758
 3859.45       4.6722      34.7684
 3860.49       3.8498      34.3130
 3861.53      -2.5076      33.1562
 3862.57      -1.3366      34.9986
 3863.60      -4.6768      32.7970
 3864.64      -1.5312      33.2633
 3865.68       5.1548      34.8765
 3866.72       2.6507      32.9504
 3867.75      -3.7035      32.2130
 3868.79      -2.7858      33.6638
 3869.83      -4.2717      30.9520
 3870.87      -3.7472      29.3889
 3871.91       1.7656      31.8695
 3872.94       6.0259      35.1968
 3873.98      -5.3470      33.2946
 3875.02      -2.2153      30.0450
 3876.06       7.6548      33.0321
 3877.09      -1.8743      35.9138
 3878.13      -5.6853      32.3692
 3879.17       2.8725      34.0908
 3880.21       4.0074      34.0896
 3881.24      -2.9378      28.2946
 3882.28      -5.6182      25.9718
 3883.32      -5.5455      26.4140
 3884.36      -6.5234      25.1795
 3885.40      -3.9989      23.9488
 3886.43      -0.9374      23.8655
 3887.47      -3.8773      22.7416
 3888.51       0.6306      25.2710
 3889.55       1.5844      25.9653
 3890.58      -5.8941      23.4052
 3891.62      -7.1985      22.1442
 3892.66      -0.4580      23.9654
 3893.70       1.0814      25.7059
 3894.74       2.1125      26.1938
 3895.77      -0.7518      24.7337
 3896.81      -5.8870      22.6706
 3897.85      -3.4866      22.9469
 3898.89      -0.9198      23.9048
 3899.92       3.2388      25.8969
 3900.96       6.0722      26.7288
 3902.00       1.6708      25.3546
 3903.04      -3.8572      23.2331
 3904.07      -0.8420      23.9373
 3905.11       5.3924      26.7197
 3906.15       5.0396      26.9215
 3907.19       3.3554      26.0864
 3908.23       5.0101      26.2996
 3909.26       3.9010      25.8804
 3910.30       1.6475      24.7333
 3911.34       4.2782      25.8694
 3912.38      11.6135      27.8267
 3913.41       9.2310      27.9740
 3914.45      -7.9268      22.8633
 3915.49      -4.5196      21.1835
 3916.53       2.2034      22.1655
 3917.57      -2.9487      20.2740
 3918.60       3.6970      21.9969
 3919.64       3.2432      21.2999
 3920.68       0.3261      20.4982
 3921.72       0.5738      20.1051
 3922.75       0.6725      19.0222
 3923.79       0.9671      19.3822
 3924.83       1.2533      18.6632
 3925.87      -1.6884      16.5197
 3926.91      -0.2637      16.4332
 3927.94       4.8874      16.7974
 3928.98       2.8179      15.3684
 3930.02       0.3059      14.8294
 3931.06       5.8760      16.0628
 3932.09       4.5609      14.8708
 3933.13      -0.7376      11.7014
 3934.17       0.9089      12.2932
 3935.21       4.8032      14.1258
 3936.24      -0.1320      12.5435
 3937.28      -0.1055      12.5142
 3938.32       5.5612      15.2628
 3939.36       5.8060      16.0108
 3940.40       2.3165      15.0285
 3941.43       0.1402      14.5370
 3942.47      -2.6982      13.9923
 3943.51      -3.1080      13.4869
 3944.55      -2.1076      13.6377
 3945.58      -1.9192      13.4460
 3946.62      -3.1688      13.0655
 3947.66      -1.7124      13.9752
 3948.70       3.2181      15.3499
 3949.74       4.0541      15.1175
 3950.77      -1.9605      13.3544
 3951.81      -2.0353      13.3387
 3952.85       0.0997      13.5078
 3953.89      -0.7589      12.9623
 3954.92       2.5556      13.7682
 3955.96       1.4896      13.7578
 3957.00      -1.8833      12.3197
 3958.04      -1.7672      13.0094
 3959.08       0.8399      13.9216
 3960.11      -1.2247      13.2284
 3961.15       2.2604      13.7103
 3962.19       4.1681      13.6095
 3963.23       1.2778      12.2770
 3964.26       0.5983      11.9800
 3965.30       1.8602      12.6653
 3966.34       1.1338      12.1804
 3967.38      -2.2324      10.3440
 3968.41      -3.6780      10.0863
 3969.45       2.5900      10.4341
 3970.49       9.2477       8.0256
 3971.53       3.3143      15.9470
 3972.57      -2.4069      14.6952
 3973.60       0.0841      16.6175
 3974.64      -0.1528      13.9023
 3975.68      -0.6327      15.7530
 3976.72       3.3799      14.0806
 3977.75      -3.7290      11.5556
 3978.79      -3.9177      12.2870
 3979.83       1.2499      12.0359
 3980.87       2.0542      15.1464
 3981.91       3.1841      17.6092
 3982.94       6.2132      18.2697
 3983.98      -2.9292      11.4842
 3985.02      -0.3952      12.8980
 3986.06      -0.2466      12.1352
 3987.09      -1.6875      12.0199
 3988.13       1.3894      13.2280
 3989.17       4.8556      13.8637
 3990.21       2.3299      12.8957
 3991.25       0.8721      12.9813
 3992.28       1.5092      13.6350
 3993.32      -1.1329      12.6178
 3994.36       2.8187      13.8942
 3995.40       2.7206      14.1583
 3996.43       0.2808      13.0610
 3997.47       1.4670      13.5391
 3998.51      -2.3013      13.0375
 3999.55      -3.1705      13.3250
 4000.58      -1.2450      14.0863
 4001.62       0.3430      14.4638
 4002.66       0.9674      14.2900
 4003.70      -0.5123      14.1876
 4004.74       1.7695      15.0016
 4005.77       0.8226      14.7008
 4006.81       2.2249      15.6514
 4007.85      -0.3915      15.9386
 4008.89      -1.2507      16.0310
 4009.92       0.2423      16.2449
 4010.96       3.1627      16.7450
 4012.00       5.4513      17.3490
 4013.04      -0.3332      15.7262
 4014.08      -2.5192      14.3208
 4015.11      -0.0512      15.6069
 4016.15      -0.4579      15.2581
 4017.19      -3.0451      14.5254
 4018.23      -2.0712      14.7732
 4019.26      -3.3600      14.1197
 4020.30      -1.6233      14.5665
 4021.34       3.9166      15.8983
 4022.38       7.6228      17.1999
 4023.42       1.4191      15.7761
 4024.45      -6.2082      13.3493
 4025.49       0.0948      14.0892
 4026.53       5.5240      15.8927
 4027.57       3.8085      15.7266
 4028.60       3.8022      15.0384
 4029.64       2.8706      14.4816
 4030.68       1.1011      13.6206
 4031.72       0.9357      13.3794
 4032.75       2.2301      12.8617
 4033.79      -3.6997      12.3422
 4034.83      -3.5635      12.9465
 4035.87      -0.5271      14.0696
 4036.91       1.6537      14.5348
 4037.94      -0.5048      13.3514
 4038.98       2.0367      14.3357
 4040.02       3.2629      14.6222
 4041.06       2.9936      15.1751
 4042.09       1.5489      15.2538
 4043.13       0.9083      15.1998
 4044.17      -1.1617      13.4507
 4045.21      -0.3514      12.7539
 4046.25      -0.0641      13.0319
 4056.62      -0.7212      12.4295
 4057.66      -0.3192      12.1705
 4058.70      -2.3891      11.7182
 4059.74       0.6201      12.9593
 4060.77      -5.3050      11.5102
 4061.81       0.2052      12.1416
 4062.85       4.1077      13.3011
 4063.89      -0.4139      12.7254
 4064.92       2.1806      13.7215
 4065.96       2.6893      13.4927
 4067.00       2.0329      13.1746
 4068.04       4.8187      13.5125
 4069.08      -0.0371      12.4503
 4070.11      -3.4628      11.4497
 4071.15      -0.5838      11.6387
 4072.19       0.7424      12.3424
 4073.23       2.1602      12.4494
 4074.26       1.5530      12.1530
 4075.30      -1.9307      11.1277
 4076.34       0.1660      11.8464
 4077.38       2.1265      12.0439
 4078.42       6.2037      12.9387
 4079.45       4.2194      13.1206
 4080.49       2.2730      13.8593
 4081.53       0.1802      13.8243
 4082.57      -4.5497      10.4210
 4083.60      -3.0904      10.8791
 4084.64       2.1831      12.1397
 4085.68       0.7769      12.0407
 4086.72      -1.1529      11.4033
 4087.75       0.9313      11.7317
 4088.79       1.2824      11.9309
 4089.83       0.9333      11.6388
 4090.87       2.0538      11.2939
 4091.91      -1.4810      10.6534
 4092.94      -2.3089      10.8412
 4093.98      -1.8665      10.8449
 4095.02       3.0754      11.7936
 4096.06       2.9834      11.4321
 4097.09       0.8080      10.5983
 4098.13       1.1563      10.6316
 4099.17       2.1526      10.8289
 4100.21      -1.6274       9.5573
 4101.25       0.9341       9.9420
 4102.28       3.8293      10.3997
 4103.32       0.4898       9.3026
 4104.36      -5.0136       8.3258
 4105.40      -1.2969       9.3498
 4106.43      -1.7752       9.3892
 4107.47      -3.4034       8.8938
 4108.51      -3.1399       8.8805
 4109.55       0.1806       9.4813
 4110.58       0.7199       9.8828
 4111.62      -1.0488       9.3109
 4112.66      -1.2010       9.3316
 4113.70       2.3932      10.2626
 4114.74       4.3144      10.3473
 4115.77       4.1139      10.3416
 4116.81       0.5479       9.4741
 4117.85      -0.1536       8.7594
 4118.89       4.4342       9.7897
 4119.92       0.9642       9.4420
 4120.96      -1.9667       8.8064
 4122.00      -1.5187       9.1024
 4123.04      -3.1869       8.5278
 4124.08      -2.4553       8.7400
 4125.11       5.0494      10.5679
 4126.15      -1.1793       8.8193
 4127.19      -2.8087       8.5844
 4128.23       2.9673      10.0845
 4129.26       1.6740       9.9144
 4130.30      -2.5737       8.8392
 4131.34      -1.6160       8.9569
 4132.38       3.3337       9.7572
 4133.42       2.1184      10.0297
 4134.45      -1.6859       9.1982
 4135.49       4.0728      10.5646
 4136.53       3.2234      10.3999
 4137.57       1.1629      10.1506
 4138.60      -0.3660       9.6108
 4139.64      -2.9256       9.1275
 4140.68      -2.2584       8.9642
 4141.72       3.2676       9.2798
 4142.75       0.9783       8.6999
 4143.79       2.2789       9.3847
 4144.83       3.6422       9.8093
 4145.87      -3.1387       8.0147
 4146.91       1.4931       9.1369
 4147.94       2.9516       9.5519
 4148.98      -0.5181       8.2389
 4150.02      -0.3135       8.4829
 4151.06       1.5254       9.0839
 4152.09       3.4694       9.3097
 4153.13      -2.2417       8.4966
 4154.17      -3.8976       8.1869
 4155.21      -1.4490       8.6238
 4156.25      -1.7163       8.8950
 4157.28      -3.3745       8.4377
 4158.32       3.4276       9.8187
