 
TRANSIENT_NAME:     DES15X2mzv 
SNID:               1337838    
OBS_DATE:           2015-12-11
MJD:                57367. 
PHASE:              +2.    
MJD_MAX:            57364.6
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3200  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          KECK-I
INSTRUMENT:         LRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3250.96   9.2263e-02  ---
 3251.56   7.5329e-02  ---
 3252.16   3.1677e-02  ---
 3252.76  -1.5026e-02  ---
 3253.36   3.9262e-02  ---
 3253.97   4.6636e-02  ---
 3254.57   5.4551e-02  ---
 3255.17   3.2134e-02  ---
 3255.77   4.2971e-02  ---
 3256.37   3.0821e-02  ---
 3256.97   3.4813e-02  ---
 3257.57   4.7231e-02  ---
 3258.17   7.7991e-02  ---
 3258.77   8.8359e-02  ---
 3259.37   7.5363e-02  ---
 3259.97   9.3823e-02  ---
 3260.58   9.1399e-02  ---
 3261.18   1.5286e-02  ---
 3261.78   6.2893e-02  ---
 3262.38   6.5388e-02  ---
 3262.98   8.1096e-02  ---
 3263.58   8.0131e-03  ---
 3264.18   1.2659e-02  ---
 3264.78   9.7529e-02  ---
 3265.38   7.9024e-02  ---
 3265.98   1.0536e-02  ---
 3266.59   3.0792e-02  ---
 3267.19   4.3553e-02  ---
 3267.79   2.3875e-02  ---
 3268.39   2.1604e-03  ---
 3268.99   2.9089e-02  ---
 3269.59   3.3896e-02  ---
 3270.19   9.9151e-03  ---
 3270.79   3.4505e-02  ---
 3271.39   5.2700e-02  ---
 3271.99   5.7196e-02  ---
 3272.59   1.3700e-02  ---
 3273.20   1.8876e-02  ---
 3273.80   3.8416e-02  ---
 3274.40   2.0994e-02  ---
 3275.00   7.7936e-02  ---
 3275.60   3.1345e-02  ---
 3276.20   7.9884e-02  ---
 3276.80   1.3647e-02  ---
 3277.40   4.5727e-02  ---
 3278.00   6.2949e-02  ---
 3278.60   3.4807e-02  ---
 3279.21   3.8664e-02  ---
 3279.81   5.9328e-02  ---
 3280.41   5.8124e-02  ---
 3281.01   5.1802e-03  ---
 3281.61   2.1778e-02  ---
 3282.21   8.6962e-02  ---
 3282.81   6.6795e-03  ---
 3283.41   4.6298e-02  ---
 3284.01   2.0430e-02  ---
 3284.61   4.4949e-02  ---
 3285.21   4.1256e-02  ---
