 
TRANSIENT_NAME:     DES15X2nkz 
SNID:               1339149    
OBS_DATE:           2015-12-17
MJD:                57373. 
PHASE:              -1.    
MJD_MAX:            57374.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4700  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4803.60   1.0239e-18   6.5399e-19
 4808.21   2.0274e-18   6.7162e-19
 4812.82   1.5059e-18   6.6455e-19
 4817.43   1.8539e-18   6.6662e-19
 4822.03   9.4010e-19   6.6340e-19
 4826.64  -1.0573e-20   6.5551e-19
 4831.25   1.1004e-18   6.6346e-19
 4835.85  -2.9005e-19   6.6856e-19
 4840.46   1.3299e-18   6.8258e-19
 4845.07   1.9782e-18   6.7651e-19
 4849.67   3.7182e-18   6.9330e-19
 4854.28   2.1041e-18   6.5800e-19
 4858.89   1.1201e-18   6.4317e-19
 4863.50   1.8028e-18   6.4096e-19
 4868.10   1.1415e-18   6.4536e-19
 4872.71   3.2880e-18   6.6661e-19
 4877.32   2.5678e-18   6.7660e-19
 4881.92   2.1843e-18   6.5779e-19
 4886.53   3.2021e-18   6.5986e-19
 4891.14   1.3696e-18   6.4943e-19
 4895.75   1.7823e-18   6.5347e-19
 4900.35   2.9989e-18   6.5846e-19
 4904.96   2.6121e-18   6.4730e-19
 4909.57   1.7201e-18   6.3249e-19
 4914.17   2.4000e-18   6.2774e-19
 4918.78   2.9150e-18   6.1690e-19
 4923.39   2.2232e-18   6.1005e-19
 4928.00   3.2636e-18   6.1488e-19
 4932.60   3.0744e-18   6.1096e-19
 4937.21   3.2113e-18   6.0941e-19
 4941.82   2.8609e-18   6.0015e-19
 4946.42   1.9965e-18   5.9397e-19
 4951.03   3.2568e-18   5.9153e-19
 4955.64   1.8523e-18   5.7626e-19
 4960.24   2.9559e-18   5.7969e-19
 4964.85   2.6808e-18   5.7593e-19
 4969.46   3.1674e-18   5.7763e-19
 4974.07   2.9762e-18   5.6947e-19
 4978.67   3.4212e-18   5.6285e-19
 4983.28   3.1469e-18   5.5240e-19
 4987.89   3.5516e-18   5.5070e-19
 4992.49   3.0288e-18   5.4312e-19
 4997.10   2.6191e-18   5.3186e-19
 5001.71   2.9420e-18   5.2428e-19
 5006.32   2.4220e-18   5.1333e-19
 5010.92   3.5726e-18   5.1060e-19
 5015.53   3.2589e-18   5.0622e-19
 5020.14   3.0843e-18   5.0107e-19
 5024.74   1.8662e-18   4.9345e-19
 5029.35   2.0476e-18   4.9179e-19
 5033.96   2.5156e-18   4.8819e-19
 5038.56   1.9414e-18   4.7602e-19
 5043.17   1.7495e-18   4.7426e-19
 5047.78   2.3517e-18   4.7687e-19
 5052.39   1.8742e-18   4.7097e-19
 5056.99   2.4116e-18   4.7481e-19
 5061.60   2.9268e-18   4.7276e-19
 5066.21   1.7281e-18   4.5784e-19
 5070.81   2.2586e-18   4.5585e-19
 5075.42   2.7201e-18   4.4958e-19
 5080.03   1.5255e-18   4.4140e-19
 5084.64   2.6660e-18   4.4743e-19
 5089.24   3.6654e-18   4.5021e-19
 5093.85   3.2213e-18   4.4512e-19
 5098.46   3.5113e-18   4.4257e-19
 5103.06   3.1611e-18   4.3371e-19
 5107.67   2.6317e-18   4.2825e-19
 5112.28   3.6475e-18   4.3338e-19
 5116.89   2.7614e-18   4.2574e-19
 5121.49   3.0151e-18   4.2221e-19
 5126.10   3.7439e-18   4.2205e-19
 5130.71   3.1543e-18   4.1391e-19
 5135.31   2.1092e-18   4.0553e-19
 5139.92   2.7944e-18   4.0528e-19
 5144.53   2.9896e-18   4.0439e-19
 5149.14   2.8114e-18   4.0272e-19
 5153.74   3.6569e-18   4.0629e-19
 5158.35   3.6990e-18   4.0090e-19
 5162.96   4.0116e-18   3.9109e-19
 5167.56   3.2874e-18   3.7572e-19
 5172.17   2.8092e-18   3.7004e-19
 5176.78   3.4048e-18   3.7311e-19
 5181.38   3.3381e-18   3.7486e-19
 5185.99   2.6057e-18   3.7151e-19
 5190.60   3.2960e-18   3.8679e-19
 5195.21   3.2540e-18   4.0397e-19
 5199.81   3.1154e-18   4.0665e-19
 5204.42   3.1747e-18   3.9586e-19
 5209.03   3.4607e-18   3.7844e-19
 5213.63   3.1081e-18   3.7023e-19
 5218.24   2.7660e-18   3.6810e-19
 5222.85   3.2942e-18   3.6797e-19
 5227.46   3.1764e-18   3.6255e-19
 5232.06   3.4983e-18   3.6295e-19
 5236.67   3.0707e-18   3.6137e-19
 5241.28   3.1196e-18   3.6099e-19
 5245.88   2.9547e-18   3.5780e-19
 5250.49   2.6739e-18   3.5479e-19
 5255.10   2.7280e-18   3.5323e-19
 5259.71   3.0366e-18   3.4695e-19
 5264.31   2.3247e-18   3.3393e-19
 5268.92   3.2544e-18   3.3518e-19
 5273.53   2.8193e-18   3.3709e-19
 5278.13   2.6945e-18   3.3750e-19
 5282.74   2.4711e-18   3.3700e-19
 5287.35   2.2717e-18   3.3593e-19
 5291.95   2.8992e-18   3.3802e-19
 5296.56   2.2228e-18   3.3427e-19
 5301.17   2.7727e-18   3.3577e-19
 5305.78   2.2022e-18   3.3519e-19
