 
TRANSIENT_NAME:     DES15X3auw 
SNID:               1286398    
OBS_DATE:           2015-09-16
MJD:                57281. 
PHASE:              +9.    
MJD_MAX:            57270.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1510  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72      -0.7275       6.5674
 3757.75      -0.9093       7.3395
 3758.79       0.4250       6.8537
 3759.83       2.7773       7.6882
 3760.87       0.0245       6.6804
 3761.90      -2.9264       5.8508
 3762.94       1.6396       7.0674
 3763.98       0.7238       6.5351
 3765.02       0.6716       6.0649
 3766.06       0.1629       6.9746
 3767.09      -3.1796       5.4641
 3768.13      -2.9179       5.1709
 3769.17       0.5377       6.3956
 3770.21      -1.1636       5.8883
 3771.24       0.3994       6.1865
 3772.28      -1.5225       6.1867
 3773.32      -4.4506       5.3394
 3774.36      -0.0046       6.2874
 3775.40      -0.0250       6.0477
 3776.43      -0.5518       6.0576
 3777.47      -0.3153       6.0779
 3778.51       6.7031       7.6932
 3779.55      -0.6274       5.9341
 3780.58      -0.9787       5.4422
 3781.62       0.8057       5.7741
 3782.66       0.8975       5.5119
 3783.70       0.5641       6.3897
 3784.73       0.2757       6.0610
 3785.77       0.1663       6.2971
 3786.81       1.0248       6.1535
 3787.85       0.1883       5.9404
 3788.89       1.5751       5.9819
 3789.92       0.6388       5.2497
 3790.96       3.1715       5.9920
 3792.00      -0.6947       5.4222
 3793.04      -6.3858       4.5054
 3794.07       1.0367       5.8565
 3795.11       1.2487       5.8209
 3796.15       1.6444       5.8279
 3797.19      -2.8402       4.2756
 3798.23      -3.1339       4.2958
 3799.26      -2.3551       4.3206
 3800.30      -2.5511       4.0529
 3801.34      -0.5372       4.3887
 3802.38       0.8598       4.9902
 3803.41       1.9085       5.2554
 3804.45       1.2994       4.9580
 3805.49      -0.2235       4.3408
 3806.53       0.2102       4.7064
 3807.57       2.0391       4.7709
 3808.60       0.5428       4.5480
