 
TRANSIENT_NAME:     DES15X3dyu 
SNID:               1302523    
OBS_DATE:           2015-09-17
MJD:                57282. 
PHASE:              -5.    
MJD_MAX:            57289.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4250  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       0.0553      47.1726
 3757.75       1.2221      44.2635
 3758.79       0.3742      41.9288
 3759.83       4.1445      45.9231
 3760.87      -2.3662      39.9249
 3761.90      -6.6113      38.9978
 3762.94      -8.6333      39.7457
 3763.98      -7.2048      38.6001
 3765.02      -6.5361      39.4827
 3766.06       3.1780      43.8280
 3767.09       3.0340      42.4350
 3768.13       6.0068      42.5275
 3769.17       6.7990      41.5699
 3770.21       7.2527      41.1620
 3771.24       4.6016      37.2011
 3772.28      -5.7372      34.1060
 3773.32      -7.8892      33.0388
 3774.36      -7.5577      34.9268
 3775.40      -2.6574      37.4990
 3776.43      -3.0111      36.8996
 3777.47      -7.6568      35.4833
 3778.51      -1.1827      39.0243
 3779.55       1.4769      40.2590
 3780.58       0.9900      38.9554
 3781.62       2.3500      40.4062
 3782.66       1.8008      37.1095
 3783.70       3.8012      39.0209
 3784.73      10.6035      42.5549
 3785.77       4.6972      39.1630
 3786.81      -4.5109      32.4403
 3787.85      -8.8514      32.1006
 3788.89      -2.7759      34.9513
 3789.92       2.0553      36.9983
 3790.96       0.6068      36.2744
 3792.00      -0.5923      36.0571
 3793.04       1.9517      36.5177
 3794.07       4.7373      34.0393
 3795.11      -2.4047      31.1525
 3796.15       6.8879      36.2051
 3797.19       4.7955      32.8714
 3798.23      -3.1667      30.4601
 3799.26       3.3458      32.3880
 3800.30       0.5337      28.9787
 3801.34       5.6896      32.6777
 3802.38       4.9994      38.2424
 3803.41       0.8525      33.6123
 3804.45       0.7533      27.7845
 3805.49       1.6794      28.2427
 3806.53       0.9452      27.2209
 3807.57       0.7007      26.6381
 3808.60       1.8612      26.0836
 3809.64      -3.1800      26.2746
 3810.68       0.0040      27.8692
 3811.72       2.4228      26.5544
 3812.75      -0.9437      24.8364
 3813.79      -3.1322      26.6809
 3814.83      -5.4681      24.7109
 3815.87       2.3290      26.6425
 3816.90       3.3496      26.5410
 3817.94      -6.2666      21.7835
 3818.98      -7.2569      21.5902
 3820.02      -0.6777      23.4572
 3821.06       3.3069      24.5602
 3822.09      -1.9508      21.5447
 3823.13      -3.0174      19.5334
 3824.17       0.4072      20.8043
 3825.21      -5.2655      18.8845
 3826.24      -0.3711      20.0061
 3827.28       2.1951      21.8286
 3828.32       2.7026      21.6160
 3829.36       1.2800      21.0675
 3830.40      -0.4175      21.9439
 3831.43       3.8978      24.1025
 3832.47       0.6249      22.2609
 3833.51      -1.3576      20.6793
 3834.55       0.2848      20.0359
 3835.58       0.1681      18.8564
 3836.62      -1.9797      17.0344
 3837.66      -2.4183      15.7681
 3838.70      -0.7943      16.8378
 3839.74       0.9433      17.2269
 3840.77      -0.0353      17.1947
 3841.81      -1.1008      17.6703
 3842.85       5.5178      19.0773
 3843.89       4.3436      18.4605
 3844.92       3.2025      17.5594
 3845.96       2.5218      17.0912
 3847.00       2.9904      16.6058
 3848.04       4.1627      17.1104
 3849.07       0.5087      15.3944
 3850.11      -0.4638      15.0036
 3851.15       0.8359      15.7448
 3852.19       2.5900      16.2786
 3853.23       3.6135      16.4039
 3854.26       0.0506      15.1924
 3855.30      -2.9612      14.5134
 3856.34       3.5786      15.7896
 3857.38       3.3673      14.6689
 3858.41      -2.3005      13.1255
 3859.45      -2.1973      13.1234
 3860.49      -1.3174      14.3206
 3861.53       0.1661      14.4234
 3862.57      -4.0341      13.4583
 3863.60      -3.1070      13.3898
 3864.64      -3.4389      13.2113
 3865.68      -5.2428      12.8463
 3866.72       3.4836      14.9881
 3867.75       5.4860      15.0613
 3868.79       1.2548      13.2361
 3869.83      -1.3446      12.8144
 3870.87      -3.2295      11.7926
 3871.91       0.3593      12.8873
 3872.94       0.4517      13.6805
 3873.98      -2.0159      12.6518
 3875.02       1.6429      13.6293
 3876.06       3.8172      14.4306
 3877.09       1.6334      13.6389
 3878.13       3.1675      14.3223
 3879.17       4.3258      13.1956
 3880.21       3.2958      12.7923
 3881.24      -0.6428      11.7584
 3882.28       2.2173      11.9436
 3883.32       3.9613      12.7292
 3884.36      -1.6157      11.1142
 3885.40      -6.7030       9.4339
 3886.43       0.4369      10.3219
 3887.47       4.9462      11.7186
 3888.51       4.8804      12.0086
 3889.55       0.8781      10.2684
 3890.58      -2.2831      10.0276
 3891.62      -0.0764      10.7572
 3892.66       0.2727      10.7704
 3893.70      -0.2459      11.3743
 3894.74      -0.1419      11.0056
