 
TRANSIENT_NAME:     DES15X3hp  
SNID:               1279500    
OBS_DATE:           2015-09-16
MJD:                57281. 
PHASE:              +23.   
MJD_MAX:            57252.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2360  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72      64.8611     850.1520
 3757.75       8.6395     665.2510
 3758.79      49.6233     776.2750
 3759.83      24.3376     723.1350
 3760.87      28.4940     730.0420
 3761.90      13.7309     698.1150
 3762.94     -13.7733     606.5910
 3763.98       0.1059     624.0770
 3765.02      61.0219     743.0240
 3766.06     -15.5055     605.8420
 3767.09     -28.1547     580.2960
 3768.13      -6.3847     633.5730
 3769.17      31.4762     698.7370
 3770.21     -18.9828     547.5050
 3771.24     -16.1663     576.4810
 3772.28      49.8595     736.9430
 3773.32     -41.8876     515.9050
 3774.36      23.6752     681.7290
 3775.40      24.2178     628.7450
 3776.43       3.0837     610.1880
 3777.47      -7.4958     577.0190
 3778.51     -19.0502     558.7990
 3779.55      37.5976     670.5010
 3780.58     -15.5108     538.8320
 3781.62      43.6503     673.9600
 3782.66       3.9518     505.9400
 3783.70      26.1185     612.8570
 3784.73      12.9690     601.9840
 3785.77      16.5409     606.2610
 3786.81      17.8156     580.3660
 3787.85      11.0069     583.4070
 3788.89       1.8948     535.0590
 3789.92       4.2069     521.6130
 3790.96     -10.7904     480.8640
 3792.00      12.9685     581.0110
 3793.04      52.0447     668.3800
 3794.07      -2.9620     495.5590
 3795.11      25.6124     571.1440
 3796.15      55.9404     624.0240
 3797.19      30.0818     585.0550
 3798.23       1.8190     501.6690
 3799.26       1.4778     452.7310
 3800.30     -19.3707     433.8940
 3801.34      13.6355     464.7150
 3802.38      -7.9850     456.3620
 3803.41     -11.7070     442.0620
 3804.45       9.9681     443.6970
 3805.49       5.7553     434.7000
