 
TRANSIENT_NAME:     DES15X3itc 
SNID:               1314897    
OBS_DATE:           2015-10-10
MJD:                57305. 
PHASE:              +3.    
MJD_MAX:            57301.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3380  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3757.75      -1.1045      35.9672
 3758.79      -5.0516      32.1892
 3759.83      -1.1123      35.2636
 3760.87       0.3243      36.4078
 3761.90       3.3188      38.7842
 3762.94      -3.1466      34.8727
 3763.98      -4.7359      31.9050
 3765.02      -3.5825      32.6091
 3766.06      -2.1878      33.0156
 3767.09       1.7413      32.2167
 3768.13       5.5050      33.9944
 3769.17       4.2899      34.1809
 3770.21      -4.0320      31.1498
 3771.24      -6.7708      28.8338
 3772.28      -2.7364      31.4790
 3773.32       3.5997      33.9659
 3774.36       6.6611      35.6182
 3775.40       7.1572      35.0719
 3776.43       0.9684      32.4503
 3777.47       5.1934      35.8526
 3778.51       1.5579      34.1490
 3779.55       3.1887      33.4169
 3780.58       1.1225      32.7002
 3781.62      -5.0838      28.6389
 3782.66      -1.0138      29.3763
 3783.70       3.1371      32.1845
 3784.73      -3.4794      28.9564
 3785.77      -8.5522      25.9088
 3786.81       0.4634      29.4064
 3787.85       8.4011      32.0727
 3788.89      -6.2723      26.9656
 3789.92      -5.2673      27.2514
 3790.96       0.7781      28.9241
 3792.00       0.2126      28.6667
 3793.04      -1.7082      28.5783
 3794.07      -2.8066      26.6409
 3795.11       0.9024      26.8652
 3796.15      -1.9094      25.7693
 3797.19       4.0539      27.5329
 3798.23       2.9798      26.7327
 3799.26      -0.7238      25.3450
 3800.30       5.4209      27.0719
 3801.34       6.9466      27.1276
 3802.38      -3.4528      23.7212
 3803.41      -4.9932      22.3393
 3804.45       0.2388      24.2073
 3805.49       5.9700      25.3884
 3806.53       3.0913      23.1085
 3807.57      -0.4340      21.5671
 3808.60      -0.7342      21.5129
 3809.64       0.1104      21.9089
 3810.68      -0.6717      21.7064
 3811.72      -0.2010      22.9143
 3812.75       3.3411      23.4575
 3813.79       3.0608      22.5833
 3814.83      -0.2091      21.5115
 3815.87      -2.9371      20.4903
 3816.90      -4.1584      19.3277
 3817.94       3.2542      20.8776
 3818.98       5.7264      20.7113
 3820.02       0.8232      18.7057
 3821.06       0.9037      18.7020
 3822.09       5.6700      20.8975
 3823.13       0.8387      19.0281
 3824.17      -1.4003      17.6598
 3825.21       1.3678      17.4482
 3826.24       1.2627      16.9042
 3827.28       1.6317      16.8080
 3828.32       0.6741      17.0788
 3829.36      -2.0607      17.0648
 3830.40       0.0247      18.0666
 3831.43       0.6030      18.1958
 3832.47       5.4279      19.1502
 3833.51       4.8360      18.5452
 3834.55       1.8024      17.1147
 3835.58       1.7447      16.5690
 3836.62       4.1941      16.4040
 3837.66       2.9132      15.8109
 3838.70      -0.7016      14.3403
 3839.74      -2.0437      12.8392
 3840.77       2.9616      14.5274
 3841.81       6.0851      16.2024
 3842.85       4.4135      15.0462
 3843.89       0.8890      13.7591
 3844.92       2.2054      14.5773
 3845.96       1.5624      14.6203
 3847.00      -3.5702      12.8548
 3848.04      -5.9409      11.4273
 3849.07      -0.7876      12.5767
 3850.11       3.0347      13.6283
 3851.15       2.1972      13.2452
 3852.19       0.0095      12.6003
 3853.23      -2.6529      12.3548
 3854.26      -0.1295      12.6289
 3855.30      -2.0261      12.1610
 3856.34      -2.4919      11.3747
 3857.38      -2.6043      10.8250
 3858.41      -1.4122      10.2345
 3859.45       2.3978      11.2682
 3860.49       4.8801      12.5307
 3861.53       6.4240      13.2304
 3862.57       4.0327      12.9062
 3863.60       2.5781      12.7658
 3864.64       2.3544      12.4925
 3865.68      -0.6620      11.5370
 3866.72       1.6383      12.2168
 3867.75       1.8342      12.0684
 3868.79      -3.0307      10.3683
 3869.83      -5.1853       9.6123
 3870.87      -1.7816      10.1984
 3871.91       1.6544      11.1234
 3872.94      -1.9574      10.3967
 3873.98      -4.2291       9.6872
 3875.02      -2.4659      10.1343
 3876.06       0.8377      10.8593
 3877.09       3.7156      11.2702
 3878.13       1.5119      10.7927
 3879.17      -2.5504       9.5708
 3880.21      -0.6564       9.6988
 3881.24       1.0238       9.9529
 3882.28      -2.2299       9.4299
 3883.32      -2.4359       9.0869
 3884.36       0.4090       9.5662
 3885.40       0.5306       9.5012
 3886.43      -0.3974       9.1490
 3887.47      -0.8754       8.5629
 3888.51      -0.1956       8.4347
 3889.55      -1.8827       8.3812
 3890.58       0.5187       8.7385
 3891.62       3.8132       9.4817
 3892.66      -0.0742       8.3355
 3893.70      -0.3329       8.0066
 3894.74       3.3926       8.5573
 3895.77       3.8930       9.1603
 3896.81       2.2967       8.7492
 3897.85       3.8356       9.1297
 3898.89      -1.5138       7.4430
 3899.92      -3.7376       7.2782
 3900.96      -4.1106       7.4464
 3902.00      -1.4187       7.2349
 3903.04       3.3473       8.4773
 3904.07      -2.1573       7.7484
 3905.11      -2.1478       7.5010
 3906.15      -0.0758       8.3607
 3907.19      -4.5342       8.0726
 3908.23      -2.7888       8.4385
 3909.26      -0.7607       8.3711
 3910.30      -1.3936       8.0685
 3911.34       1.3645       8.6701
 3912.38      -0.1575       8.0757
 3913.41       0.6349       8.2556
 3914.45       3.2351       8.3337
 3915.49       0.2435       7.4603
 3916.53       0.5971       7.7093
 3917.57      -0.2778       7.5294
 3918.60      -4.4074       6.4018
 3919.64      -3.3475       6.2848
 3920.68       0.0517       6.5617
 3921.72       3.5072       7.0643
 3922.75       2.6283       6.7281
 3923.79      -0.6009       5.9633
 3924.83      -0.6430       5.7420
 3925.87      -1.9912       5.8238
 3926.91      -0.6749       6.1870
 3927.94       0.5349       5.7418
 3928.98      -0.7726       5.4869
 3930.02      -2.9079       4.8575
 3931.06      -0.9996       4.8059
 3932.09      -1.7284       4.3872
 3933.13       0.4815       4.5783
 3934.17      -0.0331       4.3726
 3935.21       1.8302       4.6623
 3936.24       1.0228       4.5717
 3937.28      -2.7006       4.1474
 3938.32      -2.0280       4.3322
 3939.36      -0.9002       4.7920
 3940.40      -1.9784       5.1552
 3941.43      -1.2973       5.4752
 3942.47       0.6045       5.2110
 3943.51       2.6056       5.5385
 3944.55       0.2163       4.9539
 3945.58      -1.0224       5.0399
 3946.62       0.3163       5.1051
 3947.66      -1.2110       4.6802
 3948.70       2.3070       5.1948
 3949.74       1.2932       4.8659
 3950.77      -0.7365       4.4140
 3951.81       1.2386       4.8372
 3952.85      -0.2668       4.8216
 3953.89       1.3621       5.4689
 3954.92      -2.4819       4.6788
 3955.96      -3.8913       4.1618
 3957.00       0.5079       4.7664
 3958.04      -1.4929       4.6777
 3959.08      -3.9126       4.1468
 3960.11      -2.1584       4.2131
 3961.15       1.1427       4.7519
 3962.19       2.3748       4.7874
 3963.23       0.7836       4.3172
 3964.26       3.4691       4.8175
 3965.30       0.6508       4.4980
 3966.34       0.9738       4.2219
 3967.38       0.2154       4.0419
 3968.41       0.7382       4.2232
 3969.45       0.7991       4.3206
 3970.49       0.9934       4.1703
 3971.53       0.4596       4.0798
 3972.57      -0.4998       3.9843
 3973.60      -1.2852       4.1767
 3974.64       2.1172       4.6030
 3975.68      -0.4375       4.3686
 3976.72      -3.1828       4.1496
 3977.75       3.0667       5.0567
 3978.79      -0.3775       4.3337
 3979.83      -4.1970       4.2856
 3980.87      -0.9653       5.1187
 3981.91       0.7839       4.4955
 3982.94      -0.8438       4.2415
 3983.98      -2.0090       4.1767
 3985.02       1.3732       4.7883
 3986.06      -1.1697       4.2383
 3987.09      -1.8790       4.5528
 3988.13      -1.6877       4.6387
 3989.17      -2.8101       3.9976
 3990.21       0.5948       4.8045
 3991.25       1.5163       4.6353
 3992.28       0.4642       4.4707
 3993.32      -0.5643       4.4310
 3994.36      -0.2407       4.2999
 3995.40       1.7424       4.7308
 3996.43      -2.4456       4.0958
 3997.47       0.7170       4.6666
 3998.51      -1.2460       4.6097
 3999.55       0.2777       5.0482
 4000.58       1.9477       5.2198
 4001.62       1.4701       5.3281
 4002.66      -0.2437       5.1520
 4003.70      -0.4596       4.7704
 4004.74       0.3031       4.7814
 4005.77       2.5168       5.4564
 4006.81       3.6623       5.8038
 4007.85       1.3077       5.7168
 4008.89      -0.9813       5.5023
 4009.92      -0.3551       5.5988
 4010.96      -1.3798       5.4209
 4012.00       0.3362       5.7693
 4013.04      -1.0835       5.4779
 4014.08      -0.8451       5.3471
 4015.11      -0.5180       5.3607
 4016.15       1.0211       5.4640
 4017.19       1.6156       5.4726
 4018.23      -0.4647       5.2015
 4019.26      -0.5902       5.0907
 4020.30      -1.0582       5.1409
 4021.34      -2.7079       4.9719
 4022.38      -1.5309       4.9002
 4023.42       0.5220       5.4148
 4024.45      -0.5039       5.1243
