 
TRANSIENT_NAME:     DES15X3kxu 
SNID:               1329312    
OBS_DATE:           2015-10-10
MJD:                57305. 
PHASE:              -4.    
MJD_MAX:            57310.3
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3450  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3757.75       2.8350      21.9479
 3758.79       1.2597      20.3141
 3759.83      -2.4717      19.0097
 3760.87       1.2142      19.9373
 3761.90       3.9668      21.4602
 3762.94       3.8358      20.3508
 3763.98       0.3532      19.6718
 3765.02       1.3512      19.9993
 3766.06       3.1903      20.1877
 3767.09       0.1025      18.4243
 3768.13      -4.1927      17.4513
 3769.17      -3.3409      17.2549
 3770.21      -1.7421      17.0821
 3771.24       4.0246      19.4398
 3772.28       7.2080      20.6391
 3773.32      -0.7173      17.4206
 3774.36      -1.5991      18.0782
 3775.40       1.9601      19.0806
 3776.43      -0.2926      17.4384
 3777.47       0.8007      18.0522
 3778.51       3.2958      18.5099
 3779.55       1.0250      18.0997
 3780.58      -2.2382      17.0656
 3781.62      -0.8448      16.9489
 3782.66       2.4079      17.6434
 3783.70      -1.9273      17.2608
 3784.73      -1.9562      16.8615
 3785.77       1.2691      16.8517
 3786.81      -0.4853      16.1712
 3787.85      -3.1706      15.8466
 3788.89      -2.4513      15.4463
 3789.92      -0.2936      15.6594
 3790.96      -2.3230      15.1720
 3792.00       2.3775      16.4922
 3793.04       6.0335      17.5071
 3794.07       4.3184      16.4792
 3795.11       1.6685      15.9382
 3796.15      -2.5389      14.6629
 3797.19       0.0905      14.4749
 3798.23       3.6071      15.3881
 3799.26       1.1030      14.7612
 3800.30       0.0630      14.0994
 3801.34       3.3095      14.4879
 3802.38       3.8589      14.8227
 3803.41       0.0938      13.7201
 3804.45      -3.6080      12.5681
 3805.49      -0.2995      13.1506
 3806.53      -1.4007      12.1154
 3807.57      -0.5673      11.7623
 3808.60      -0.7243      11.5170
 3809.64      -1.7368      11.8501
 3810.68      -0.4568      11.9694
 3811.72      -1.0117      11.6776
 3812.75      -2.1363      11.0616
 3813.79      -3.1983      10.7296
 3814.83      -0.0634      12.1232
 3815.87       2.1654      12.7829
 3816.90      -2.4907      11.0253
 3817.94      -3.2847      10.5594
 3818.98       1.4185      11.0155
 3820.02       3.4688      11.3438
 3821.06       3.2083      11.2962
 3822.09       3.4110      11.2069
 3823.13       2.7101      10.4875
 3824.17       1.1227      10.0960
 3825.21      -0.4194       9.2456
 3826.24       0.1019       8.7674
 3827.28       0.2103       9.0443
 3828.32      -2.5559       8.7526
 3829.36      -0.6024       9.4897
 3830.40      -2.0268       9.2083
 3831.43      -1.7363       9.0130
 3832.47       0.1264       9.3842
 3833.51      -0.8572       9.0036
 3834.55      -1.7119       8.5288
 3835.58       1.0714       8.9510
 3836.62       3.6708       9.1515
 3837.66       1.3727       8.2822
 3838.70       2.6017       8.4157
 3839.74       1.8289       8.0461
 3840.77      -2.8695       6.9690
 3841.81      -1.5295       7.4747
 3842.85      -1.2223       7.3530
 3843.89      -1.9921       7.0979
 3844.92      -1.1210       7.3092
 3845.96      -0.1589       7.3121
 3847.00       2.7528       7.9201
 3848.04      -0.8327       6.9147
 3849.07      -1.9612       6.7165
 3850.11      -0.3373       7.2365
 3851.15      -1.3945       7.0185
 3852.19       3.6265       7.6343
 3853.23       2.3665       7.3059
 3854.26       0.0938       6.5886
 3855.30      -1.4264       6.3029
 3856.34      -0.1915       6.5241
 3857.38       1.4744       6.6623
