 
TRANSIENT_NAME:     DES15X3old 
SNID:               1345798    
OBS_DATE:           2016-01-11
MJD:                57398. 
PHASE:              pre-max (based on r-band light-curve)
MJD_MAX:            ---
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.3490  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3762.00   1.4421e-02  ---
 3764.00   1.4496e-02  ---
 3766.00   1.4571e-02  ---
 3768.00   1.4646e-02  ---
 3770.00   1.4720e-02  ---
 3772.00   1.4795e-02  ---
 3774.00   1.4870e-02  ---
 3776.00   1.4945e-02  ---
 3778.00   1.5020e-02  ---
 3780.00   1.5095e-02  ---
 3782.00   1.5170e-02  ---
 3784.00   1.5245e-02  ---
 3786.00   1.5320e-02  ---
 3788.00   1.5395e-02  ---
 3790.00   1.5470e-02  ---
 3792.00   1.5545e-02  ---
 3794.00   1.5620e-02  ---
 3796.00   1.5695e-02  ---
 3798.00   1.5770e-02  ---
 3800.00   1.5845e-02  ---
 3802.00   1.5920e-02  ---
 3804.00   1.5995e-02  ---
 3806.00   1.6070e-02  ---
 3808.00   1.6145e-02  ---
 3810.00   1.6220e-02  ---
 3812.00   1.6295e-02  ---
 3814.00   1.6370e-02  ---
 3816.00   1.6444e-02  ---
 3818.00   1.6519e-02  ---
 3820.00   1.6594e-02  ---
 3822.00   1.6669e-02  ---
 3824.00   1.6744e-02  ---
 3826.00   1.6819e-02  ---
 3828.00   1.6894e-02  ---
 3830.00   1.6969e-02  ---
 3832.00   1.7044e-02  ---
 3834.00   1.7119e-02  ---
 3836.00   1.7194e-02  ---
 3838.00   1.7269e-02  ---
 3840.00   1.7344e-02  ---
 3842.00   1.7419e-02  ---
 3844.00   1.7494e-02  ---
 3846.00   1.7569e-02  ---
 3848.00   1.7644e-02  ---
 3850.00   1.7719e-02  ---
 3852.00   1.7794e-02  ---
 3854.00   1.7869e-02  ---
 3856.00   1.7944e-02  ---
 3858.00   1.8019e-02  ---
 3860.00   1.8094e-02  ---
 3862.00   1.8168e-02  ---
 3864.00   1.8243e-02  ---
 3866.00   1.8318e-02  ---
 3868.00   1.8393e-02  ---
 3870.00   1.8468e-02  ---
 3872.00   1.8543e-02  ---
 3874.00   1.8618e-02  ---
 3876.00   1.8693e-02  ---
 3878.00   1.8768e-02  ---
 3880.00   1.8843e-02  ---
 3882.00   1.8918e-02  ---
 3884.00   1.8993e-02  ---
 3886.00   1.9068e-02  ---
 3888.00   1.9143e-02  ---
 3890.00   1.9218e-02  ---
 3892.00   1.9293e-02  ---
 3894.00   1.9368e-02  ---
 3896.00   1.9443e-02  ---
 3898.00   1.9518e-02  ---
 3900.00   1.9593e-02  ---
 3902.00   1.9668e-02  ---
 3904.00   1.9743e-02  ---
 3906.00   1.9818e-02  ---
 3908.00   1.9893e-02  ---
 3910.00   1.9967e-02  ---
 3912.00   2.0042e-02  ---
 3914.00   2.0117e-02  ---
 3916.00   2.0192e-02  ---
 3918.00   2.0267e-02  ---
 3920.00   2.0342e-02  ---
 3922.00   2.0417e-02  ---
 3924.00   2.0492e-02  ---
 3926.00   2.0567e-02  ---
 3928.00   2.0642e-02  ---
 3930.00   2.0717e-02  ---
 3932.00   2.0792e-02  ---
 3934.00   2.0867e-02  ---
 3936.00   2.0942e-02  ---
 3938.00   2.1017e-02  ---
 3940.00   2.1092e-02  ---
 3942.00   2.1167e-02  ---
 3944.00   2.1242e-02  ---
 3946.00   2.1317e-02  ---
 3948.00   2.1392e-02  ---
 3950.00   2.1467e-02  ---
 3952.00   2.1542e-02  ---
 3954.00   2.1617e-02  ---
 3956.00   2.1691e-02  ---
 3958.00   2.1766e-02  ---
 3960.00   2.1841e-02  ---
 3962.00   2.1916e-02  ---
 3964.00   2.1991e-02  ---
 3966.00   2.2066e-02  ---
 3968.00   2.2141e-02  ---
 3970.00   2.2216e-02  ---
 3972.00   2.2291e-02  ---
 3974.00   2.2366e-02  ---
 3976.00   2.2441e-02  ---
 3978.00   2.2516e-02  ---
