 
TRANSIENT_NAME:     DES14C1kia 
SNID:               1304705    
OBS_DATE:           2015-01-14
MJD:                57036. 
PHASE_EXP:          +67.   
MJD_EXP:            56958.3 (derived from r-band light-curve)
TYPE:               81 
SPEC_EVAL:          TDE
REDSHIFT:           0.1614  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4800.76   2.2516e-17   3.1218e-18
 4805.37   1.8182e-17   2.7552e-18
 4809.99   3.1989e-17   2.6043e-18
 4814.60   2.2942e-17   2.3227e-18
 4819.21   2.3821e-17   2.1643e-18
 4823.82   2.5937e-17   2.0551e-18
 4828.44   2.6160e-17   1.8960e-18
 4833.05   2.3542e-17   1.7426e-18
 4837.66   2.8707e-17   1.6715e-18
 4842.27   2.4370e-17   1.5221e-18
 4846.89   2.6145e-17   1.4435e-18
 4851.50   2.5280e-17   1.3408e-18
 4856.11   2.3707e-17   1.2628e-18
 4860.73   2.3731e-17   1.1864e-18
 4865.34   2.6790e-17   1.1543e-18
 4869.95   2.3783e-17   1.0986e-18
 4874.56   2.4673e-17   1.0319e-18
 4879.18   2.6523e-17   1.0006e-18
 4883.79   2.3753e-17   9.5731e-19
 4888.40   2.5537e-17   9.2690e-19
 4893.01   2.5020e-17   8.9040e-19
 4897.63   2.4635e-17   8.5556e-19
 4902.24   2.3921e-17   8.1886e-19
 4906.85   2.1737e-17   7.7253e-19
 4911.46   2.0661e-17   7.4165e-19
 4916.08   2.0127e-17   7.1149e-19
 4920.69   2.1386e-17   6.9421e-19
 4925.30   2.1856e-17   6.8166e-19
 4929.92   2.2230e-17   6.6661e-19
 4934.53   2.2831e-17   6.5826e-19
 4939.14   2.3302e-17   6.4939e-19
 4943.75   2.1606e-17   6.2417e-19
 4948.37   2.0960e-17   6.0739e-19
 4952.98   2.1557e-17   5.9560e-19
 4957.59   2.0805e-17   7.4962e-19
 4962.20   2.1344e-17   7.2441e-19
 4966.82   2.0754e-17   5.6176e-19
 4971.43   2.0649e-17   5.6010e-19
 4976.04   2.0037e-17   5.5350e-19
 4980.65   1.9638e-17   5.4190e-19
 4985.27   1.9934e-17   5.2745e-19
 4989.88   1.9874e-17   5.2351e-19
 4994.49   1.9895e-17   5.1501e-19
 4999.10   2.0708e-17   4.8307e-19
 5003.72   2.0712e-17   4.8214e-19
 5008.33   2.0819e-17   4.8518e-19
 5012.94   1.9818e-17   4.8692e-19
 5017.56   2.1222e-17   4.8830e-19
 5022.17   2.0980e-17   4.8105e-19
 5026.78   1.9809e-17   4.7340e-19
 5031.39   2.0096e-17   4.7094e-19
 5036.01   1.9692e-17   4.6444e-19
 5040.62   2.0000e-17   4.6287e-19
 5045.23   2.0000e-17   4.5663e-19
 5049.84   2.0859e-17   4.5877e-19
 5054.46   2.0716e-17   4.5769e-19
 5059.07   2.0907e-17   4.5555e-19
 5063.68   2.0512e-17   4.5244e-19
 5068.29   2.1484e-17   4.5600e-19
 5072.91   2.2465e-17   4.5501e-19
 5077.52   2.1943e-17   4.4861e-19
 5082.13   2.1960e-17   4.4802e-19
 5086.75   2.1612e-17   4.4324e-19
 5091.36   2.1431e-17   4.4170e-19
 5095.97   2.1413e-17   4.3954e-19
 5100.58   2.0728e-17   4.3430e-19
 5105.20   2.2442e-17   4.4150e-19
 5109.81   2.3197e-17   4.4496e-19
 5114.42   2.2175e-17   4.3682e-19
 5119.03   2.1351e-17   4.3278e-19
 5123.65   2.2118e-17   4.3363e-19
 5128.26   2.2710e-17   4.3522e-19
 5132.87   2.2454e-17   4.4145e-19
 5137.48   2.2260e-17   4.4509e-19
 5142.10   2.3115e-17   6.0315e-19
 5146.71   2.3194e-17   6.2037e-19
 5151.32   2.3180e-17   6.0630e-19
 5155.94   2.3316e-17   5.5794e-19
 5160.55   2.5029e-17   4.4403e-19
 5165.16   2.4025e-17   4.3529e-19
 5169.77   2.4683e-17   4.3293e-19
 5174.39   2.4047e-17   4.3037e-19
 5179.00   2.3989e-17   4.3122e-19
 5183.61   2.3564e-17   4.3227e-19
 5188.22   2.4123e-17   4.3992e-19
 5192.84   2.5662e-17   4.7154e-19
 5197.45   2.5076e-17   4.9540e-19
 5202.06   2.6222e-17   4.9722e-19
 5206.67   2.5132e-17   4.7122e-19
 5211.29   2.5729e-17   4.4249e-19
 5215.90   2.5605e-17   4.3774e-19
 5220.51   2.5739e-17   4.4259e-19
 5225.12   2.6824e-17   4.4512e-19
 5229.74   2.7186e-17   4.4483e-19
 5234.35   2.6400e-17   4.4125e-19
 5238.96   2.6320e-17   4.4917e-19
 5243.58   2.6994e-17   4.4719e-19
 5248.19   2.6559e-17   4.2789e-19
 5252.80   2.6640e-17   4.3893e-19
 5257.41   2.6402e-17   4.3591e-19
 5262.03   2.7038e-17   4.2334e-19
 5266.64   2.6950e-17   4.1602e-19
 5271.25   2.6833e-17   4.2173e-19
 5275.86   2.6762e-17   4.2886e-19
 5280.48   2.7663e-17   4.3192e-19
 5285.09   2.7225e-17   4.2533e-19
 5289.70   2.7366e-17   4.2440e-19
 5294.31   2.7956e-17   4.2848e-19
 5298.93   2.7936e-17   4.3539e-19
 5303.54   2.8570e-17   4.3355e-19
 5308.15   2.8465e-17   4.3130e-19
 5312.77   2.9299e-17   4.3405e-19
 5317.38   2.8240e-17   4.3273e-19
 5321.99   2.9079e-17   4.3507e-19
 5326.60   2.8472e-17   4.2957e-19
 5331.22   2.8081e-17   4.2797e-19
 5335.83   2.8154e-17   4.2125e-19
 5340.44   2.8452e-17   4.2736e-19
 5345.05   2.8252e-17   4.4024e-19
 5349.67   2.8717e-17   4.6106e-19
 5354.28   2.9867e-17   4.7627e-19
 5358.89   2.8795e-17   4.7259e-19
 5363.50   3.0384e-17   4.5580e-19
 5368.12   2.8980e-17   4.3786e-19
 5372.73   2.9177e-17   4.3412e-19
 5377.34   2.9722e-17   4.3352e-19
 5381.96   2.8918e-17   4.2956e-19
 5386.57   2.9047e-17   4.2225e-19
 5391.18   2.9188e-17   4.1659e-19
 5395.79   2.9221e-17   4.1223e-19
 5400.41   2.7962e-17   4.0502e-19
 5405.02   2.8253e-17   4.0441e-19
 5409.63   2.9598e-17   4.0853e-19
 5414.24   2.9235e-17   4.0844e-19
 5418.86   2.8976e-17   4.0969e-19
 5423.47   2.8161e-17   4.0478e-19
 5428.08   2.8260e-17   4.0098e-19
 5432.69   2.8437e-17   3.9880e-19
 5437.31   2.9416e-17   4.0207e-19
 5441.92   2.8726e-17   3.9813e-19
 5446.53   2.8493e-17   3.9715e-19
 5451.15   2.8243e-17   3.9933e-19
 5455.76   2.8305e-17   4.1417e-19
 5460.37   2.7944e-17   4.2411e-19
 5464.98   2.6764e-17   4.1575e-19
 5469.60   2.7450e-17   4.0050e-19
 5474.21   2.7189e-17   3.8216e-19
 5478.82   2.7775e-17   3.7727e-19
 5483.43   2.7807e-17   3.7824e-19
 5488.05   2.8709e-17   3.8057e-19
 5492.66   2.7509e-17   3.7546e-19
 5497.27   2.7907e-17   3.7509e-19
 5501.88   2.7662e-17   3.7326e-19
 5506.50   2.8654e-17   3.7464e-19
 5511.11   2.7785e-17   3.7055e-19
 5515.72   2.8017e-17   3.6930e-19
 5520.33   2.8082e-17   3.6740e-19
 5524.95   2.8413e-17   3.6565e-19
 5529.56   2.7877e-17   3.6193e-19
 5534.17   2.7061e-17   3.5984e-19
 5538.79   2.6452e-17   3.6344e-19
 5543.40   2.6952e-17   3.6880e-19
 5548.01   2.8072e-17   3.7144e-19
