 
TRANSIENT_NAME:     DES14C1kia 
SNID:               1304705    
OBS_DATE:           2015-01-21
MJD:                57043. 
PHASE_EXP:          +73.   
MJD_EXP:            56958.3 (derived from r-band light-curve)
TYPE:               81 
SPEC_EVAL:          TDE
REDSHIFT:           0.1618  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          KECK-I
INSTRUMENT:         LRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3258.13   1.5787e-01  ---
 3258.74   1.4804e-01  ---
 3259.35   8.1574e-02  ---
 3259.96   6.3767e-02  ---
 3260.57   8.3041e-02  ---
 3261.18   9.4457e-02  ---
 3261.79   9.7677e-02  ---
 3262.40   1.2246e-01  ---
 3263.00   8.4642e-02  ---
 3263.61   1.0038e-01  ---
 3264.22   4.1377e-02  ---
 3264.83   8.0808e-02  ---
 3265.44   1.2148e-01  ---
 3266.05   1.1418e-01  ---
 3266.66   1.0986e-01  ---
 3267.27   1.1453e-01  ---
 3267.88   1.1625e-01  ---
 3268.49   1.0423e-01  ---
 3269.10   8.4164e-02  ---
 3269.71   1.1780e-01  ---
 3270.32   1.1967e-01  ---
 3270.93   1.1996e-01  ---
 3271.54   6.5440e-02  ---
 3272.15   8.8421e-02  ---
 3272.76   6.4198e-02  ---
 3273.37   1.0054e-01  ---
 3273.98   1.2561e-01  ---
 3274.59   1.2347e-01  ---
 3275.20   1.1716e-01  ---
 3275.81   8.1528e-02  ---
 3276.42   9.1344e-02  ---
 3277.03   6.9568e-02  ---
 3277.64   5.8429e-02  ---
 3278.25   7.2066e-02  ---
 3278.86   8.5163e-02  ---
 3279.47   8.5281e-02  ---
 3280.08   8.5543e-02  ---
 3280.69   7.1705e-02  ---
 3281.30   7.9457e-02  ---
 3281.91   1.2065e-01  ---
 3282.52   1.0385e-01  ---
 3283.13   1.0100e-01  ---
 3283.74   8.8305e-02  ---
 3284.34   1.0413e-01  ---
 3284.95   1.0042e-01  ---
 3285.56   1.0890e-01  ---
 3286.17   7.7894e-02  ---
 3286.78   4.5038e-02  ---
 3287.39   3.2909e-02  ---
 3288.00   1.1260e-01  ---
 3288.61   1.0845e-01  ---
 3289.22   5.9848e-02  ---
 3289.83   4.2924e-02  ---
 3290.44   9.1722e-02  ---
 3291.05   8.0870e-02  ---
 3291.66   1.1870e-01  ---
 3292.27   8.0106e-02  ---
 3292.88   5.8933e-02  ---
 3293.49   7.1153e-02  ---
 3294.10   9.7638e-02  ---
 3294.71   9.3235e-02  ---
 3295.32   8.3093e-02  ---
 3295.93   1.1175e-01  ---
 3296.54   1.0726e-01  ---
 3297.15   6.6334e-02  ---
 3297.76   5.7801e-02  ---
 3298.37   1.0967e-01  ---
 3298.98   7.5890e-02  ---
 3299.59   9.2585e-02  ---
 3300.20   5.6127e-02  ---
 3300.81   7.3609e-02  ---
 3301.42   7.5386e-02  ---
 3302.03   7.8411e-02  ---
 3302.64   8.4039e-02  ---
 3303.25   7.3388e-02  ---
 3303.86   7.1459e-02  ---
 3304.47   8.4601e-02  ---
 3305.08   6.8981e-02  ---
 3305.68   9.0159e-02  ---
 3306.29   6.5410e-02  ---
 3306.90   8.0938e-02  ---
 3307.51   7.3664e-02  ---
 3308.12   7.8740e-02  ---
 3308.73   9.0705e-02  ---
 3309.34   7.7664e-02  ---
 3309.95   8.3990e-02  ---
 3310.56   9.7334e-02  ---
 3311.17   1.2006e-01  ---
 3311.78   8.0277e-02  ---
 3312.39   5.7870e-02  ---
 3313.00   5.7383e-02  ---
 3313.61   6.0019e-02  ---
 3314.22   7.0751e-02  ---
 3314.83   7.3928e-02  ---
 3315.44   8.6287e-02  ---
 3316.05   9.1243e-02  ---
 3316.66   1.0032e-01  ---
 3317.27   8.8311e-02  ---
 3317.88   5.8658e-02  ---
 3318.49   9.9198e-02  ---
 3319.10   8.5693e-02  ---
 3319.71   1.0086e-01  ---
 3320.32   8.2950e-02  ---
 3320.93   5.6690e-02  ---
 3321.54   6.5114e-02  ---
 3322.15   7.5828e-02  ---
 3322.76   1.0289e-01  ---
 3323.37   1.0433e-01  ---
 3323.98   1.0263e-01  ---
 3324.59   9.3392e-02  ---
 3325.20   8.0847e-02  ---
 3325.81   9.6349e-02  ---
 3326.42   8.2322e-02  ---
 3327.02   8.3604e-02  ---
 3327.63   6.4560e-02  ---
 3328.24   6.2474e-02  ---
 3328.85   6.6003e-02  ---
 3329.46   8.2821e-02  ---
 3330.07   6.8747e-02  ---
 3330.68   1.1073e-01  ---
 3331.29   1.0227e-01  ---
 3331.90   9.1142e-02  ---
 3332.51   7.7009e-02  ---
 3333.12   6.4518e-02  ---
 3333.73   7.0723e-02  ---
 3334.34   8.0193e-02  ---
 3334.95   9.9515e-02  ---
 3335.56   8.1991e-02  ---
 3336.17   7.7929e-02  ---
 3336.78   1.0054e-01  ---
 3337.39   9.2244e-02  ---
 3338.00   7.9524e-02  ---
 3338.61   8.1618e-02  ---
 3339.22   6.3445e-02  ---
 3339.83   6.1559e-02  ---
 3340.44   5.2707e-02  ---
 3341.05   3.9795e-02  ---
 3341.66   6.2137e-02  ---
 3342.27   9.8570e-02  ---
 3342.88   9.1480e-02  ---
 3343.49   8.3981e-02  ---
 3344.10   7.3121e-02  ---
 3344.71   8.7665e-02  ---
 3345.32   9.6829e-02  ---
 3345.93   8.6256e-02  ---
 3346.54   7.4911e-02  ---
 3347.15   7.1124e-02  ---
 3347.76   9.0738e-02  ---
 3348.36   9.0161e-02  ---
 3348.97   5.9419e-02  ---
 3349.58   7.9674e-02  ---
 3350.19   6.9202e-02  ---
 3350.80   8.6539e-02  ---
 3351.41   8.2711e-02  ---
 3352.02   9.1336e-02  ---
 3352.63   9.3718e-02  ---
