 
TRANSIENT_NAME:     DES14C1kia 
SNID:               1304705    
OBS_DATE:           2014-12-28
MJD:                57019. 
PHASE_EXP:          +52.   
MJD_EXP:            56958.3 (derived from r-band light-curve)
TYPE:               81 
SPEC_EVAL:          TDE
REDSHIFT:           0.1600  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          SOAR
INSTRUMENT:         Goodman
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3470.00   1.8361e-01  ---
 3472.00   1.7304e-01  ---
 3474.00   1.7242e-01  ---
 3476.00   5.2949e-02  ---
 3478.00   6.8767e-02  ---
 3480.00   1.1856e-01  ---
 3482.00   1.6865e-01  ---
 3484.00   1.5364e-01  ---
 3486.00   1.9446e-01  ---
 3488.00   1.8068e-01  ---
 3490.00   8.3804e-02  ---
 3492.00   8.0448e-02  ---
 3494.00  -4.3931e-02  ---
 3496.00   7.6417e-02  ---
 3498.00   1.6081e-01  ---
 3500.00   1.9378e-01  ---
 3502.00   9.7721e-02  ---
 3504.00   8.7347e-03  ---
 3506.00   5.2072e-02  ---
 3508.00   1.3362e-01  ---
 3510.00   8.4739e-02  ---
 3512.00   1.2084e-01  ---
 3514.00   1.3459e-01  ---
 3516.00   9.4174e-02  ---
 3518.00   1.0299e-01  ---
 3520.00   1.0891e-01  ---
 3522.00   7.4469e-02  ---
 3524.00   1.7503e-01  ---
 3526.00   2.3999e-02  ---
 3528.00   3.2250e-02  ---
 3530.00   1.5060e-01  ---
 3532.00   1.8235e-01  ---
 3534.00   1.3573e-01  ---
 3536.00   7.8607e-02  ---
 3538.00   7.1621e-02  ---
 3540.00   1.2796e-01  ---
 3542.00   1.1913e-01  ---
 3544.00   1.8489e-01  ---
 3546.00   6.9291e-02  ---
 3548.00   4.0143e-02  ---
 3550.00   9.7949e-02  ---
 3552.00   1.3298e-01  ---
 3554.00   8.0173e-02  ---
 3556.00   1.3086e-01  ---
 3558.00   1.4312e-01  ---
 3560.00   1.0612e-01  ---
 3562.00   7.7243e-02  ---
 3564.00   7.5310e-02  ---
 3566.00   1.1188e-01  ---
 3568.00   6.0053e-02  ---
 3570.00   6.3488e-02  ---
 3572.00   1.1577e-01  ---
 3574.00   1.1962e-01  ---
 3576.00   9.6335e-02  ---
 3578.00   8.8151e-02  ---
 3580.00   1.0506e-01  ---
 3582.00   7.9660e-02  ---
 3584.00   9.6737e-02  ---
 3586.00   1.3849e-01  ---
 3588.00   1.2727e-01  ---
 3590.00   9.5212e-02  ---
 3592.00   8.9039e-02  ---
 3594.00   7.7768e-02  ---
 3596.00   7.9848e-02  ---
 3598.00   4.2971e-02  ---
 3600.00   1.1383e-02  ---
 3602.00   4.5210e-02  ---
 3604.00   4.2946e-02  ---
 3606.00   6.5347e-02  ---
 3608.00   1.3690e-01  ---
 3610.00   1.6606e-01  ---
 3612.00   1.4152e-01  ---
 3614.00   6.3410e-02  ---
 3616.00   5.9545e-02  ---
 3618.00   6.1702e-02  ---
 3620.00   8.3239e-02  ---
 3622.00   1.2863e-01  ---
 3624.00   1.0026e-01  ---
 3626.00   4.1121e-02  ---
 3628.00   8.8362e-02  ---
 3630.00   1.9307e-01  ---
 3632.00   1.6558e-01  ---
 3634.00   8.9366e-02  ---
 3636.00   7.7347e-02  ---
 3638.00   5.9483e-02  ---
 3640.00   8.4399e-02  ---
 3642.00   8.1194e-02  ---
 3644.00   4.2050e-02  ---
 3646.00   8.3618e-02  ---
 3648.00   8.8154e-02  ---
 3650.00   4.3643e-02  ---
 3652.00   6.2919e-02  ---
 3654.00   9.5848e-02  ---
 3656.00   1.0149e-01  ---
 3658.00   1.0248e-01  ---
 3660.00   1.1328e-01  ---
 3662.00   1.0185e-01  ---
 3664.00   8.6114e-02  ---
 3666.00   1.1914e-01  ---
 3668.00   9.3140e-02  ---
 3670.00   5.5363e-02  ---
 3672.00   8.3657e-02  ---
 3674.00   1.0259e-01  ---
 3676.00   1.0566e-01  ---
 3678.00   9.5264e-02  ---
 3680.00   8.6391e-02  ---
 3682.00   1.1226e-01  ---
 3684.00   1.2091e-01  ---
 3686.00   9.5155e-02  ---
 3688.00   9.5578e-02  ---
 3690.00   9.6075e-02  ---
 3692.00   7.9601e-02  ---
 3694.00   9.8873e-02  ---
 3696.00   1.3871e-01  ---
 3698.00   1.0729e-01  ---
 3700.00   6.8003e-02  ---
 3702.00   6.2929e-02  ---
 3704.00   6.2097e-02  ---
 3706.00   7.9773e-02  ---
 3708.00   8.4792e-02  ---
 3710.00   7.7179e-02  ---
 3712.00   7.5879e-02  ---
 3714.00   9.0397e-02  ---
 3716.00   1.0310e-01  ---
 3718.00   9.9450e-02  ---
 3720.00   8.6984e-02  ---
 3722.00   8.6986e-02  ---
 3724.00   8.1982e-02  ---
 3726.00   8.4927e-02  ---
 3728.00   6.0398e-02  ---
 3730.00   5.6406e-02  ---
 3732.00   8.3828e-02  ---
 3734.00   8.1496e-02  ---
 3736.00   9.8618e-02  ---
 3738.00   1.2376e-01  ---
 3740.00   1.1928e-01  ---
 3742.00   9.2750e-02  ---
 3744.00   5.3226e-02  ---
 3746.00   5.4364e-02  ---
 3748.00   7.2973e-02  ---
 3750.00   5.9952e-02  ---
 3752.00   8.2433e-02  ---
 3754.00   8.9189e-02  ---
 3756.00   8.2781e-02  ---
 3758.00   6.1921e-02  ---
 3760.00   6.5045e-02  ---
 3762.00   8.3396e-02  ---
 3764.00   1.0103e-01  ---
 3766.00   7.8813e-02  ---
 3768.00   6.7401e-02  ---
 3770.00   9.7521e-02  ---
 3772.00   7.7312e-02  ---
 3774.00   6.4808e-02  ---
 3776.00   8.3772e-02  ---
 3778.00   8.4453e-02  ---
 3780.00   9.4881e-02  ---
 3782.00   1.0670e-01  ---
 3784.00   8.6472e-02  ---
 3786.00   7.6087e-02  ---
 3788.00   7.0863e-02  ---
 3790.00   6.2384e-02  ---
 3792.00   6.9846e-02  ---
 3794.00   1.0390e-01  ---
 3796.00   7.8808e-02  ---
 3798.00   3.4614e-02  ---
 3800.00   6.0194e-02  ---
 3802.00   8.7436e-02  ---
 3804.00   6.7722e-02  ---
 3806.00   6.9343e-02  ---
 3808.00   8.0072e-02  ---
 3810.00   3.9106e-02  ---
 3812.00   5.8607e-02  ---
 3814.00   8.8321e-02  ---
 3816.00   7.1923e-02  ---
 3818.00   9.2571e-02  ---
 3820.00   6.6691e-02  ---
 3822.00   6.7261e-02  ---
 3824.00   8.4550e-02  ---
 3826.00   6.9350e-02  ---
 3828.00   4.8039e-02  ---
 3830.00   5.9520e-02  ---
 3832.00   8.2007e-02  ---
 3834.00   7.5262e-02  ---
 3836.00   7.5658e-02  ---
 3838.00   7.5751e-02  ---
 3840.00   7.7475e-02  ---
 3842.00   6.0298e-02  ---
 3844.00   6.6882e-02  ---
 3846.00   5.1349e-02  ---
 3848.00   6.8286e-02  ---
 3850.00   7.7217e-02  ---
 3852.00   6.8534e-02  ---
 3854.00   7.4371e-02  ---
 3856.00   7.9499e-02  ---
 3858.00   7.5191e-02  ---
 3860.00   6.9775e-02  ---
 3862.00   7.3033e-02  ---
 3864.00   6.8944e-02  ---
 3866.00   7.3215e-02  ---
 3868.00   7.2408e-02  ---
 3870.00   5.8396e-02  ---
 3872.00   6.9948e-02  ---
 3874.00   7.2998e-02  ---
 3876.00   6.4754e-02  ---
