Name specz mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_z e_mag_z logm e_logm
DES13C3dgs 0.3507 21.8 0.0 21.04 0.0 20.81 0.0 20.59 0.0 9.57 0.1
DES13E1ao 0.1714 22.84 0.02 22.32 0.01 22.18 0.02 22.08 0.02 8.41 0.1
DES13C2dyc 0.2159 19.13 0.0 17.89 0.0 17.39 0.0 17.16 0.0 10.98 0.14
DES13S1qv 0.183 22.17 0.01 21.6 0.01 21.37 0.01 21.25 0.01 8.79 0.11
DES13E1goh 0.4543 25.48 0.11 24.32 0.05 24.22 0.07 23.81 0.06 8.56 0.13
DES13C1juw 0.196 22.18 0.01 21.13 0.0 20.68 0.01 20.53 0.01 9.43 0.1
DES13X1kae 0.1492 19.22 0.0 18.34 0.0 17.84 0.0 17.09 0.0 10.7 0.1
DES13X3nyc 0.442 23.56 0.02 22.64 0.01 22.28 0.01 22.08 0.01 9.23 0.1
DES13C1ryv 0.2118 18.74 0.0 17.82 0.0 17.5 0.0 17.31 0.0 10.72 0.11
DES13E1sae 0.1847 19.64 0.0 19.12 0.0 18.88 0.0 18.86 0.0 9.67 0.1
DES13E2tbn 0.3501 23.19 0.02 22.46 0.01 22.25 0.02 22.05 0.02 8.93 0.1
DES13X3syi 0.3059 20.21 0.0 19.34 0.0 18.99 0.0 18.82 0.0 10.38 0.1
DES13X3woy 0.3232 20.23 0.0 18.75 0.0 18.16 0.0 17.98 0.0 11.16 0.1
DES15S2ar 0.2471 19.53 0.0 18.3 0.0 17.84 0.0 17.52 0.0 10.95 0.11
DES15X3hp 0.2357 21.42 0.0 20.62 0.0 20.27 0.0 20.06 0.0 9.67 0.1
DES15X3iv 0.0176 14.85 0.0 14.34 0.0 14.2 0.0 13.86 0.0 9.7 0.1
DES15E2nk 0.3079 21.33 0.01 20.52 0.0 20.18 0.0 19.9 0.0 9.92 0.1
DES15S2og 0.3849 23.83 0.04 22.61 0.02 22.31 0.02 21.99 0.02 9.37 0.1
DES15X2asq 0.2801 20.03 0.0 19.35 0.0 19.03 0.0 18.91 0.0 10.1 0.1
DES15C1atm 0.208 20.78 0.0 19.58 0.0 19.11 0.0 18.78 0.0 10.4 0.12
DES15E2atw 0.1474 19.08 0.0 18.05 0.0 17.64 0.0 17.26 0.0 10.65 0.1
DES15C2aty 0.1486 18.61 0.0 17.79 0.0 17.42 0.0 17.21 0.0 10.47 0.1
DES15X3auw 0.151 19.17 0.0 18.28 0.0 17.92 0.0 17.61 0.0 10.38 0.11
DES15E2cwm 0.2909 20.48 0.0 19.41 0.0 18.95 0.0 18.65 0.0 10.58 0.1
DES15S2dyb 0.5629 23.83 0.04 23.09 0.03 22.76 0.03 22.72 0.04 9.01 0.11
DES15C3axd 0.4199 22.24 0.01 21.44 0.0 21.26 0.0 20.96 0.01 9.44 0.1
DES14E2u 0.2929 21.03 0.01 20.45 0.0 20.28 0.0 20.1 0.01 9.38 0.11
DES14C2pw 0.102 17.22 0.0 16.37 0.0 15.65 0.0 15.71 0.0 11.01 0.15
DES15C2dyj 0.3956 21.79 0.01 20.42 0.0 19.92 0.0 19.61 0.0 10.57 0.11
DES14E1tb 0.3724 27.08 0.49 25.48 0.13 25.62 0.2 25.82 0.38 7.65 0.15
DES14S2qg 0.115 17.38 0.0 16.62 0.0 16.21 0.0 15.94 0.0 10.74 0.1
DES14S2qf 0.2736 21.77 0.01 20.42 0.0 19.93 0.0 19.61 0.0 10.16 0.11
DES14S2qb 0.2345 22.95 0.02 22.08 0.01 21.69 0.01 21.59 0.01 9.08 0.1
DES14X1qn 0.2258 22.87 0.02 22.44 0.03 22.2 0.02 21.87 0.03 8.57 0.1
