Name specz mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_z e_mag_z logm e_logm
DES13X3gms 0.6479 23.62 0.02 23.02 0.01 22.61 0.02 22.61 0.02 9.13 0.1
DES13X3gmd 0.7808 23.54 0.02 22.91 0.01 22.27 0.01 22.02 0.01 9.74 0.1
DES13X1hav 0.5824 24.38 0.09 23.63 0.07 23.24 0.04 23.13 0.05 8.95 0.12
DES13E2lpk 0.4754 21.68 0.01 20.49 0.0 20.04 0.0 19.76 0.0 10.55 0.1
DES13X3nyg 0.7121 23.84 0.03 23.39 0.02 22.96 0.02 22.92 0.03 9.06 0.1
DES13C1tgd 0.1965 21.28 0.0 20.31 0.0 19.75 0.0 19.59 0.0 9.9 0.1
DES13C3uig 0.6735 23.15 0.01 22.18 0.01 21.58 0.0 21.34 0.01 10.14 0.1
DES13X2wvv 0.475 22.86 0.02 21.9 0.01 21.62 0.01 21.39 0.01 9.49 0.1
DES13S2wxf 0.5699 22.16 0.01 21.31 0.01 20.98 0.01 20.92 0.01 9.83 0.1
DES13C3bcok 0.3458 20.02 0.0 18.62 0.0 18.09 0.0 17.73 0.0 11.23 0.11
DES14S2anq 0.0521 17.95 0.0 17.57 0.0 17.41 0.0 17.25 0.0 9.3 0.1
DES14X1bnh 0.8298 22.72 0.06 21.95 0.02 21.16 0.01 20.64 0.01 10.86 0.1
DES15X2ead 0.2318 20.77 0.0 20.09 0.0 19.74 0.0 19.63 0.0 9.77 0.1
DES15C2eal 0.2235 23.64 0.03 23.0 0.02 22.92 0.03 22.77 0.05 8.34 0.1
DES15S1fli 0.4474 21.91 0.01 20.99 0.01 20.77 0.01 20.49 0.01 9.78 0.1
DES15S1fll 0.2265 21.45 0.01 20.96 0.01 20.8 0.01 20.78 0.01 9.06 0.11
DES13X3npb 0.4954 21.84 0.01 20.79 0.0 20.33 0.0 20.03 0.0 10.39 0.1
DES14X3pkl 0.2954 23.2 0.01 22.41 0.01 22.07 0.01 21.85 0.01 9.07 0.1
DES14S2plb 0.1153 19.03 0.0 18.38 0.0 18.02 0.0 17.78 0.0 9.92 0.1
DES14S2pli 0.3548 21.94 0.01 20.87 0.0 20.5 0.0 20.19 0.0 10.02 0.1
DES14C3tnz 0.7045 23.02 0.01 22.26 0.01 21.71 0.01 21.51 0.01 9.81 0.11
DES14C3tvw 0.7039 22.39 0.01 21.32 0.0 20.5 0.0 20.1 0.0 10.92 0.1
DES15C3lpq 0.6137 24.0 0.03 23.29 0.02 23.12 0.02 22.95 0.04 8.9 0.1
DES15C3lzm 0.3269 21.12 0.0 20.48 0.0 20.34 0.0 20.03 0.0 9.59 0.1
DES15C3mem 0.6162 21.21 0.0 20.29 0.0 19.81 0.0 19.58 0.0 10.68 0.1
DES15C3mgq 0.2303 23.44 0.01 22.97 0.01 22.91 0.01 22.76 0.02 8.25 0.1
DES15X3mxf 0.4367 23.37 0.02 22.43 0.01 22.08 0.01 21.84 0.01 9.33 0.1
DES15C3nat 0.8393 24.0 0.02 23.39 0.01 22.79 0.01 22.45 0.02 9.55 0.1
DES15E2nqh 0.5153 23.97 0.03 23.3 0.03 23.06 0.03 22.98 0.04 8.7 0.11
DES15C3opk 0.5698 23.83 0.02 23.05 0.01 22.69 0.01 22.43 0.02 9.22 0.1
DES15C3opp 0.4424 24.07 0.03 23.26 0.01 23.2 0.02 22.84 0.02 8.67 0.1
DES16E2pv 0.7261 23.63 0.04 23.0 0.03 22.47 0.02 22.36 0.03 9.47 0.11
DES16S1bbp 0.1902 21.92 0.01 21.43 0.01 21.19 0.01 21.13 0.01 8.72 0.11
DES16C3axz 0.2267 20.99 0.0 20.42 0.0 20.11 0.0 19.97 0.0 9.51 0.1
DES16C1cbd 0.5411 22.59 0.02 20.94 0.01 20.22 0.0 19.88 0.0 10.65 0.11
DES16X3cxn 0.5846 23.9 0.03 23.05 0.01 22.59 0.01 22.35 0.01 9.51 0.1
DES16S1dxu 0.1353 21.7 0.01 21.36 0.01 21.17 0.01 21.14 0.01 8.38 0.11
DES16X3ega 0.2576 20.13 0.0 19.54 0.0 19.26 0.0 19.25 0.0 9.79 0.1
DES16X1eho 0.8074 23.7 0.09 22.29 0.02 21.28 0.01 20.86 0.01 10.64 0.11
DES16X3erw 0.4589 23.14 0.01 22.23 0.01 21.98 0.01 21.73 0.01 9.32 0.1
DES16C2ggt 0.3106 21.79 0.01 21.09 0.01 20.87 0.01 20.67 0.01 9.42 0.1
DES16C3gin 0.3475 22.28 0.01 21.53 0.0 21.31 0.0 21.07 0.01 9.37 0.1
DES17X3cds 0.4944 23.32 0.01 22.45 0.01 22.3 0.01 22.12 0.01 9.11 0.1
DES17X3dxu 0.8557 23.34 0.02 22.84 0.01 22.22 0.01 21.98 0.01 9.7 0.1
DES17S2fee 0.2374 19.42 0.0 18.17 0.0 17.72 0.0 17.43 0.0 10.87 0.13
DES17C3fwd 0.3456 21.1 0.0 20.46 0.0 20.32 0.0 20.11 0.0 9.6 0.1
DES17C3gop 0.6919 23.54 0.02 22.75 0.01 22.18 0.01 21.95 0.01 9.81 0.1
DES17C2hno 0.5995 23.63 0.03 22.69 0.02 22.29 0.02 22.24 0.02 9.43 0.1
DES17X3hxi 0.6246 23.74 0.02 23.37 0.01 23.03 0.01 23.59 0.04 8.32 0.1
